city,investment,building,handover_date,flat,area_m2,rooms,floor,logy,price_new_zlm2,price_old_zlm2,promo,link,img,date_scraped,total_price_zl,key
krakow,APARTAMENTY PARK MATECZNEGO,D,,D-66,47.922,2 pokoje z aneksem,5 piętro,BALKON,,203002.0,False,/pl-pl/krakow/mieszkanie?id=apartamenty park matecznego_1_3_d_mk_66,/getmedia/fd0ef190-c566-43cb-9c4f-9be186c7a6b0/APARTAMENTY%20PARK%20MATECZNEGO_1_3_D_MK_66_Rzut%203D_1.jpg?width=276,2026-07-07,,krakow|APARTAMENTY PARK MATECZNEGO|D|D-66
wroclaw,HUBSKA 100,A,,A 15,77.712,4 pokoje z aneksem,1 piętro,BALKON,,132002.0,False,/pl-pl/wroclaw/mieszkanie?id=hubska 100_2_1_a_mk_15,/getmedia/7974062b-aaee-44e8-9a98-d53386f083eb/HUBSKA%20100_2_1_A_MK_15_Rzut%203D_1.jpg?width=276,2026-07-07,,wroclaw|HUBSKA 100|A|A 15
warszawa,APARTAMENTY MYŚLIBORSKA PARK,G,,G 6,84.232,4 pokoje z aneksem,Parter,,,153502.0,False,/pl-pl/warszawa/mieszkanie?id=mysliborska 11_1_1_g_mk_6,/getmedia/d1cce8ed-53f6-44aa-a59a-926c8ef65066/[MY%c5%9aLIBORSKA%2011_1_1_G_0_6][MK][RZUT][Plan%20mieszkania]_l.jpg?width=276,2026-07-07,,warszawa|APARTAMENTY MYŚLIBORSKA PARK|G|G 6
warszawa,DZIELNICA MIESZKANIOWA METRO ZACHÓD,A,,A 22,33.842,1 pokój z aneksem,3 piętro,BALKON,,185002.0,False,/pl-pl/warszawa/mieszkanie?id=metro zachod_6_1_a_mk_22,/getmedia/4f19fdda-a0dd-4b35-b59b-f6e6dab28769/METRO%20ZACH%c3%93D_6_1_A_MK_22_Rzut%203D_1.jpg?width=276,2026-07-07,,warszawa|DZIELNICA MIESZKANIOWA METRO ZACHÓD|A|A 22
warszawa,OSIEDLE URBINO,D,,D 10,35.202,2 pokoje z aneksem,2 piętro,BALKON,,179002.0,False,/pl-pl/warszawa/mieszkanie?id=urbino_4_2_d_mk_10,/getmedia/8daff5bb-68c7-442c-a125-f2db824f4c04/URBINO_4_2_D_MK_10_Rzut%203D_1.jpg?width=276,2026-07-07,,warszawa|OSIEDLE URBINO|D|D 10
warszawa,OSIEDLE WILNO,B,,B 16,58.642,3 pokoje z aneksem,3 piętro,LOGGIA,,144502.0,False,/pl-pl/warszawa/mieszkanie?id=wilno 9_2_1_b_mk_16,/getmedia/b250b58b-b4a4-48af-b39d-0c523d451ac7/[WILNO%209_2_1_B_3_16][MK][RZUT][Plan%20mieszkania]_l.jpg?width=276,2026-07-07,,warszawa|OSIEDLE WILNO|B|B 16
trojmiasto,KONSTELACJA,C10,,C10 9,36.662,2 pokoje z aneksem,Parter,,,128502.0,False,/pl-pl/trojmiasto/mieszkanie?id=konstelacja_1_8_c10_mk_9,/getmedia/60b8e496-91e5-4730-a4d7-fda915e0679d/KONSTELACJA_1_8_C10_MK_9_Rzut%203D_1.png?width=276,2026-07-07,,trojmiasto|KONSTELACJA|C10|C10 9
krakow,APARTAMENTY PARK MATECZNEGO,G,,G-35,79.052,4 pokoje z aneksem,1 piętro,BALKON,,199002.0,False,/pl-pl/krakow/mieszkanie?id=apartamenty park matecznego_2_1_g_mk_35,/getmedia/c8e130ea-69e7-4492-afa6-c3e5a642000c/APARTAMENTY%20PARK%20MATECZNEGO_2_1_G_MK_35_Rzut%203D_1.jpg?width=276,2026-07-08,,krakow|APARTAMENTY PARK MATECZNEGO|G|G-35
wroclaw,WILLE BISKUPIN,N,,N 1,63.972,3 pokoje z aneksem,Parter,,,198002.0,False,/pl-pl/wroclaw/mieszkanie?id=wille biskupin_1_3_n_mk_1,/getmedia/2b1b7556-70eb-4de7-9dd6-dd1bc6ffdbe6/WILLE%20BISKUPIN_1_3_N_MK_1_Rzut%203D_1.jpg?width=276,2026-07-08,,wroclaw|WILLE BISKUPIN|N|N 1
warszawa,APARTAMENTY GRZYBOWSKA 11,A,,A 71,28.752,1 pokój z aneksem,4 piętro,BALKON,,337002.0,False,/pl-pl/warszawa/mieszkanie?id=apartamenty grzybowska 11_1_1_a_mk_71,/getmedia/dff13a9c-8f50-46d7-9ef4-9b703331c441/APARTAMENTY%20GRZYBOWSKA%2011_1_1_A_MK_71_Rzut%203D_1.jpg?width=276,2026-07-09,,warszawa|APARTAMENTY GRZYBOWSKA 11|A|A 71
