inwestycja,miasto,liczba_zdjetych,liczba_dodanych,dostepnych_2026-06-21,dostepnych_2026-06-27
29. ALEJA,krakow,5,0,57,52
APARTAMENTY GRZYBOWSKA 11,warszawa,1,0,85,84
APARTAMENTY KAMIEŃSKIEGO,wroclaw,2,0,41,39
APARTAMENTY LITERACKA,warszawa,11,2,191,183
APARTAMENTY MYŚLIBORSKA PARK,warszawa,4,2,159,157
APARTAMENTY NAD RZEKĄ,wroclaw,1,0,1,0
APARTAMENTY PARK MATECZNEGO,krakow,4,1,169,167
DZIELNICA MIESZKANIOWA METRO ZACHÓD,warszawa,9,5,83,80
ESENCJA,trojmiasto,1,0,56,55
GDAŃSKIE ZACISZE,trojmiasto,1,0,73,72
HUBSKA 100,wroclaw,1,0,22,21
KONSTELACJA,trojmiasto,1,0,45,44
LEŚNA GÓRA,trojmiasto,1,0,33,32
MOKOTÓW SPORTOWY,warszawa,4,301,35,363
ORZECHOWA,trojmiasto,2,0,117,115
OSIEDLE ARKADIA,wroclaw,3,2,74,73
OSIEDLE BOKSERSKA 71,warszawa,5,0,255,250
OSIEDLE MIĘDZYLESKA,wroclaw,3,61,78,205
OSIEDLE MYŚLIBORSKA,warszawa,5,1,99,95
OSIEDLE PRZY BŁONIACH 3,trojmiasto,5,1,87,83
OSIEDLE RAPSODIA,wroclaw,2,5,84,87
OSIEDLE URBINO,warszawa,4,4,124,125
OSIEDLE WILNO,warszawa,3,162,134,366
OSIEDLE ZIELNA,wroclaw,1,0,3,2
PRZYSTANEK PRĄDNIK,krakow,5,1,98,94
PRZYSTAŃ BRZEŹNO,trojmiasto,4,0,130,126
SYNTEZA,trojmiasto,2,0,19,17
WARSZAWSKA,trojmiasto,1,5,118,122
WILLE BISKUPIN,wroclaw,4,0,68,64
ZAJEZDNIA MOTŁAWA,trojmiasto,1,6,41,46
APARTAMENTY BEETHOVENA,warszawa,0,3,50,53
APARTAMENTY METRO WILANOWSKA,warszawa,0,1,217,218
APARTAMENTY NAD OŁAWKĄ,wroclaw,0,0,26,26
APARTAMENTY RUDNICKIEGO,warszawa,0,0,1,1
DOKI,trojmiasto,0,0,127,127
LOCUS 2,trojmiasto,0,0,69,69
OSIEDLE MIESZKANIOWE GÓRKA NARODOWA,krakow,0,0,8,8
OSIEDLE PRZY MALBORSKIEJ,krakow,0,0,11,11
OSIEDLE PRZY RYŻOWEJ,warszawa,0,0,1,1
OSIEDLE PRZY WIELICKIEJ,krakow,0,0,195,195
OSOBOWICKA 114,wroclaw,0,0,44,44
WZGÓRZE MARKOWCA,trojmiasto,0,0,68,68
