inwestycja,miasto,liczba_zdjetych,liczba_dodanych,dostepnych_2026-07-05,dostepnych_2026-07-11
APARTAMENTY BEETHOVENA,warszawa,1,1,53,53
APARTAMENTY KAMIEŃSKIEGO,wroclaw,2,0,38,36
APARTAMENTY LITERACKA,warszawa,8,1,184,177
APARTAMENTY MYŚLIBORSKA PARK,warszawa,7,1,153,147
APARTAMENTY NAD OŁAWKĄ,wroclaw,2,0,24,22
APARTAMENTY PARK MATECZNEGO,krakow,3,4,165,167
APARTAMENTY RUDNICKIEGO,warszawa,1,0,1,0
DZIELNICA MIESZKANIOWA METRO ZACHÓD,warszawa,3,3,72,72
GDAŃSKIE ZACISZE,trojmiasto,4,0,70,66
HUBSKA 100,wroclaw,3,1,18,16
KONSTELACJA,trojmiasto,2,1,41,40
LOCUS 2,trojmiasto,2,0,66,64
MOKOTÓW SPORTOWY,warszawa,16,0,330,315
OSIEDLE ARKADIA,wroclaw,1,0,70,69
OSIEDLE BOKSERSKA 71,warszawa,5,1,250,246
OSIEDLE MIESZKANIOWE GÓRKA NARODOWA,krakow,2,0,7,6
OSIEDLE MYŚLIBORSKA,warszawa,2,1,92,91
OSIEDLE PRZY BŁONIACH 3,trojmiasto,1,0,78,77
OSIEDLE PRZY WIELICKIEJ,krakow,1,0,193,192
OSIEDLE RAPSODIA,wroclaw,6,0,84,78
OSIEDLE URBINO,warszawa,8,2,121,115
OSIEDLE WILNO,warszawa,8,2,345,339
OSOBOWICKA 114,wroclaw,1,0,44,43
PRZYSTANEK PRĄDNIK,krakow,1,0,84,83
PRZYSTAŃ BRZEŹNO,trojmiasto,2,0,126,124
SYNTEZA,trojmiasto,1,0,17,16
WARSZAWSKA,trojmiasto,4,0,120,116
WILLE BISKUPIN,wroclaw,1,1,62,62
WZGÓRZE MARKOWCA,trojmiasto,1,0,68,67
ZAJEZDNIA MOTŁAWA,trojmiasto,1,0,46,45
APARTAMENTY GRZYBOWSKA 11,warszawa,0,1,81,82
ORZECHOWA,trojmiasto,0,7,115,122
29. ALEJA,krakow,0,0,50,50
APARTAMENTY METRO WILANOWSKA,warszawa,0,0,220,220
APARTAMENTY NAD RZEKĄ,wroclaw,0,0,3,3
DOKI,trojmiasto,0,0,128,128
ESENCJA,trojmiasto,0,0,53,53
LEŚNA GÓRA,trojmiasto,0,0,31,31
OSIEDLE MIĘDZYLESKA,wroclaw,0,0,200,198
OSIEDLE PRZY MALBORSKIEJ,krakow,0,0,11,11
OSIEDLE PRZY RYŻOWEJ,warszawa,0,0,1,1
OSIEDLE ZIELNA,wroclaw,0,0,2,2
