inwestycja,miasto,liczba_zdjetych,liczba_dodanych,dostepnych_2026-03-29,dostepnych_2026-04-04
29. ALEJA,krakow,4,0,78,74
APARTAMENTY BEETHOVENA,warszawa,5,1,66,62
APARTAMENTY GRZYBOWSKA 11,warszawa,2,0,99,97
APARTAMENTY KAMIEŃSKIEGO,wroclaw,5,1,60,56
APARTAMENTY LITERACKA,warszawa,3,3,222,222
APARTAMENTY NAD OŁAWKĄ,wroclaw,2,0,48,46
APARTAMENTY PARK MATECZNEGO,krakow,5,1,212,208
DOKI,trojmiasto,1,0,143,142
DZIELNICA MIESZKANIOWA METRO ZACHÓD,warszawa,9,11,162,163
HUBSKA 100,wroclaw,1,0,37,36
KONSTELACJA,trojmiasto,5,4,77,76
LOCUS 2,trojmiasto,3,0,90,87
MOKOTÓW SPORTOWY,warszawa,3,1,46,44
OSIEDLE ARKADIA,wroclaw,1,0,94,93
OSIEDLE BOKSERSKA 71,warszawa,4,1,128,125
OSIEDLE MIESZKANIOWE GÓRKA NARODOWA,krakow,3,0,23,20
OSIEDLE MIĘDZYLESKA,wroclaw,3,0,95,92
OSIEDLE MYŚLIBORSKA,warszawa,4,0,120,116
OSIEDLE PRZY BŁONIACH 3,trojmiasto,2,0,120,118
OSIEDLE PRZY WIELICKIEJ,krakow,4,7,225,228
OSIEDLE RAPSODIA,wroclaw,5,0,110,105
OSIEDLE URBINO,warszawa,7,2,100,94
OSIEDLE WILNO,warszawa,7,1,41,34
OSOBOWICKA 114,wroclaw,1,0,50,49
PRZYSTANEK PRĄDNIK,krakow,1,0,117,116
PRZYSTAŃ BRZEŹNO,trojmiasto,1,0,63,62
SYNTEZA,trojmiasto,2,2,27,27
WARSZAWSKA,trojmiasto,5,0,67,62
WILLE BISKUPIN,wroclaw,5,0,50,45
ZAJEZDNIA MOTŁAWA,trojmiasto,5,0,56,51
APARTAMENTY RUDNICKIEGO,warszawa,0,2,3,5
ESENCJA,trojmiasto,0,1,56,57
APARTAMENTY NAD RZEKĄ,wroclaw,0,0,1,1
BEAUFORTA 2,trojmiasto,0,0,1,1
BRANIBORSKA 80,wroclaw,0,0,1,1
GDAŃSKIE ZACISZE,trojmiasto,0,0,62,62
LEŚNA GÓRA,trojmiasto,0,0,36,36
OSIEDLE PRZY ALEJACH,warszawa,0,0,1,1
OSIEDLE PRZY MALBORSKIEJ,krakow,0,0,19,19
OSIEDLE PRZY RYŻOWEJ,warszawa,0,0,1,1
OSIEDLE ZIELNA,wroclaw,0,0,6,6
