city,investment,building,handover_date,flat,area_m2,rooms,floor,logy,price_new_zlm2,price_old_zlm2,promo,link,img,date_scraped,total_price_zl,key
krakow,OSIEDLE PRZY WIELICKIEJ,A,,A-38,44.082,2 pokoje z aneksem,4 piętro,BALKON,,,False,/pl-pl/krakow/mieszkanie?id=osiedle przy wielickiej_1_1_a_mk_38,/getmedia/0321ea88-e0ff-4af0-80ae-242cb13fef3e/OSIEDLE%20PRZY%20WIELICKIEJ_1_1_A_MK_38_Rzut%203D_1.jpg?width=276,2026-02-24,,krakow|OSIEDLE PRZY WIELICKIEJ|A|A-38
wroclaw,OSIEDLE ARKADIA,B2,,B2 25,70.412,4 pokoje z aneksem,2 piętro,BALKON,,,False,/pl-pl/wroclaw/mieszkanie?id=osiedle arkadia_1_1_b2_mk_25,/getmedia/ffda69f0-7a93-4c4e-9259-60da18ea9183/OSIEDLE%20ARKADIA_1_1_B2_MK_25_Rzut%203D_1.jpg?width=276,2026-02-24,,wroclaw|OSIEDLE ARKADIA|B2|B2 25
wroclaw,OSIEDLE MIĘDZYLESKA,B,,B 214,50.362,3 pokoje z aneksem,Parter,OGRÓDEK,,,False,/pl-pl/wroclaw/mieszkanie?id=miedzyleska_2_1_b_mk_214,/getmedia/b616e4c6-139c-45e0-be2f-41c54c05c60c/MI%c4%98DZYLESKA_2_1_B_MK_214_Rzut%203D_1.jpg?width=276,2026-02-24,,wroclaw|OSIEDLE MIĘDZYLESKA|B|B 214
wroclaw,OSIEDLE ZIELNA,A,,A 8,51.272,3 pokoje z aneksem,1 piętro,BALKON,,,False,/pl-pl/wroclaw/mieszkanie?id=osiedle zielna_4_2_a_mk_8,/getmedia/88e67284-3de8-4921-b917-08d26fb6b4ef/OSIEDLE%20ZIELNA_4_2_A_MK_8_Rzut%203D_1.webp?width=276,2026-02-24,,wroclaw|OSIEDLE ZIELNA|A|A 8
wroclaw,WILLE BISKUPIN,P,,P 2,44.602,2 pokoje z aneksem,Parter,OGRÓDEK,,,False,/pl-pl/wroclaw/mieszkanie?id=wille biskupin_1_3_p_mk_2,/getmedia/24dc3be8-90b3-422a-85b3-5026a92092e8/WILLE%20BISKUPIN_1_3_P_MK_2_Rzut%203D_1.jpg?width=276,2026-02-24,,wroclaw|WILLE BISKUPIN|P|P 2
warszawa,APARTAMENTY BEETHOVENA,D,,D 13,25.862,1 pokój z aneksem,4 piętro,,223002.0,240002.0,True,/pl-pl/warszawa/mieszkanie?id=apartamenty beethovena_2_1_d_mk_13,/getmedia/f308543d-d3df-49fc-ba68-b399acc20957/APARTAMENTY%20BEETHOVENA_2_1_D_MK_13_Rzut%203D_1.jpg?width=276,2026-02-24,5767277.723999999,warszawa|APARTAMENTY BEETHOVENA|D|D 13
warszawa,APARTAMENTY BEETHOVENA,A,,A 83,60.232,3 pokoje z aneksem,2 piętro,BALKON,,,False,/pl-pl/warszawa/mieszkanie?id=apartamenty beethovena_1_1_a_mk_83,/getmedia/7465d5a2-0c64-46ab-91f0-d887b7979e87/APARTAMENTY%20BEETHOVENA_1_1_A_MK_83_Rzut%203D_1.jpg?width=276,2026-02-24,,warszawa|APARTAMENTY BEETHOVENA|A|A 83
warszawa,APARTAMENTY BEETHOVENA,B,,B 7,77.642,4 pokoje z aneksem,1 piętro,BALKON,,,False,/pl-pl/warszawa/mieszkanie?id=apartamenty beethovena_1_1_b_mk_7,/getmedia/b9715498-cd10-4eda-ad06-89851b8f5567/APARTAMENTY%20BEETHOVENA_1_1_B_MK_7_Rzut%203D_1.jpg?width=276,2026-02-24,,warszawa|APARTAMENTY BEETHOVENA|B|B 7
warszawa,APARTAMENTY GRZYBOWSKA 11,A,,A 30,38.302,1 pokój z aneksem,2 piętro,BALKON,,,False,/pl-pl/warszawa/mieszkanie?id=apartamenty grzybowska 11_1_1_a_mk_30,/getmedia/b8167ca9-10a1-424f-87a4-d8c9a28297a7/APARTAMENTY%20GRZYBOWSKA%2011_1_1_A_MK_30_Rzut%203D_1.jpg?width=276,2026-02-24,,warszawa|APARTAMENTY GRZYBOWSKA 11|A|A 30
warszawa,APARTAMENTY GRZYBOWSKA 11,A,,A 31,45.202,1 pokój z aneksem,2 piętro,LOGGIA,,,False,/pl-pl/warszawa/mieszkanie?id=apartamenty grzybowska 11_1_1_a_mk_31,/getmedia/30b9c3f9-a1ee-47cd-aa23-de2868d18281/APARTAMENTY%20GRZYBOWSKA%2011_1_1_A_MK_31_Rzut%203D_1.jpg?width=276,2026-02-24,,warszawa|APARTAMENTY GRZYBOWSKA 11|A|A 31
warszawa,DZIELNICA MIESZKANIOWA METRO ZACHÓD,A,,A 58,30.982,2 pokoje z aneksem,Parter,OGRÓDEK,,,False,/pl-pl/warszawa/mieszkanie?id=metro zachod_8_1_a_mk_58,/getmedia/bcdbb0cc-b2f8-4697-8fe9-423d9a061b3f/METRO%20ZACH%c3%93D_8_1_A_MK_58_Rzut%203D_1.jpg?width=276,2026-02-24,,warszawa|DZIELNICA MIESZKANIOWA METRO ZACHÓD|A|A 58
warszawa,DZIELNICA MIESZKANIOWA METRO ZACHÓD,C,,C 6,30.432,1 pokój z aneksem,Parter,OGRÓDEK,,,False,/pl-pl/warszawa/mieszkanie?id=metro zachod_8_1_c_mk_6,/getmedia/245cf470-2a26-4aa4-9cf2-661924e96ee3/METRO%20ZACH%c3%93D_8_1_C_MK_6_Rzut%203D_1.jpg?width=276,2026-02-24,,warszawa|DZIELNICA MIESZKANIOWA METRO ZACHÓD|C|C 6
warszawa,DZIELNICA MIESZKANIOWA METRO ZACHÓD,D,,D 99,88.832,4 pokoje,2 piętro,BALKON,,,False,/pl-pl/warszawa/mieszkanie?id=metro zachod_8_2_d_mk_99,/getmedia/1b13ab55-e7a4-4fc9-af00-388a957fbb3d/METRO%20ZACH%c3%93D_8_2_D_MK_99_Rzut%203D_1.jpg?width=276,2026-02-24,,warszawa|DZIELNICA MIESZKANIOWA METRO ZACHÓD|D|D 99
warszawa,OSIEDLE MYŚLIBORSKA,B,,B 60,48.372,3 pokoje z aneksem,1 piętro,BALKON,,,False,/pl-pl/warszawa/mieszkanie?id=mysliborska 27_1_1_b_mk_60,/getmedia/ce1241b2-7a1c-481a-a977-17006c983475/MY%c5%9aLIBORSKA%2027_1_1_B_MK_60_Rzut%203D_1.jpg?width=276,2026-02-24,,warszawa|OSIEDLE MYŚLIBORSKA|B|B 60
warszawa,OSIEDLE URBINO,D,,D 31,68.612,3 pokoje z aneksem,3 piętro,LOGGIA,,,False,/pl-pl/warszawa/mieszkanie?id=urbino_1_4_d_mk_31,/getmedia/605ae6cb-2ade-4408-a57b-883511258d2f/URBINO_1_4_D_MK_31_Rzut%203D_1.jpg?width=276,2026-02-24,,warszawa|OSIEDLE URBINO|D|D 31
trojmiasto,KONSTELACJA,C15,,C15 30,60.502,3 pokoje z aneksem,3 piętro,BALKON,,,False,/pl-pl/trojmiasto/mieszkanie?id=konstelacja_1_11_c15_mk_30,/getmedia/b398f552-82f5-4506-b6fe-754ae0160523/KONSTELACJA_1_11_C15_MK_30_Rzut%203D_1.png?width=276,2026-02-24,,trojmiasto|KONSTELACJA|C15|C15 30
warszawa,APARTAMENTY LITERACKA,E,,E 2,39.522,2 pokoje z aneksem,1 piętro,LOGGIA,,,False,/pl-pl/warszawa/mieszkanie?id=apartamenty literacka_2_2_e_mk_2,/getmedia/ec0ba3e9-71e4-44c6-865e-62e74455ab37/[APARTAMENTY%20LITERACKA_2_2_E_1_2][MK][RZUT][Plan%20Mieszkania]_l.jpg?width=276,2026-02-25,,warszawa|APARTAMENTY LITERACKA|E|E 2
warszawa,APARTAMENTY LITERACKA,E,,E 3,37.992,2 pokoje z aneksem,1 piętro,LOGGIA,,,False,/pl-pl/warszawa/mieszkanie?id=apartamenty literacka_2_2_e_mk_3,/getmedia/f167ca6a-05e4-46a7-bab9-823d7513c3ac/[APARTAMENTY%20LITERACKA_2_2_E_1_3][MK][RZUT][Plan%20Mieszkania]_l.jpg?width=276,2026-02-25,,warszawa|APARTAMENTY LITERACKA|E|E 3
