inwestycja,miasto,liczba_zdjetych,liczba_dodanych,dostepnych_2025-11-09,dostepnych_2025-11-15
29. ALEJA,krakow,2,0,125,123
APARTAMENTY BEETHOVENA,warszawa,1,0,111,110
APARTAMENTY GRZYBOWSKA 11,warszawa,3,2,118,117
APARTAMENTY NAD OŁAWKĄ,wroclaw,1,0,105,104
APARTAMENTY PARK MATECZNEGO,krakow,1,0,196,195
APARTAMENTY RUDNICKIEGO,warszawa,1,0,38,37
DZIELNICA MIESZKANIOWA METRO ZACHÓD,warszawa,3,1,182,180
JASKÓŁCZA,trojmiasto,1,0,3,2
KONSTELACJA,trojmiasto,2,0,52,50
MOKOTÓW SPORTOWY,warszawa,3,0,117,114
OSIEDLE BOKSERSKA 71,warszawa,5,0,188,183
OSIEDLE MIESZKANIOWE GÓRKA NARODOWA,krakow,2,1,61,60
OSIEDLE PRZY BŁONIACH 3,trojmiasto,1,0,168,167
OSIEDLE URBINO,warszawa,9,2,95,88
OSIEDLE WILNO,warszawa,7,1,121,115
OSIEDLE ZIELNA,wroclaw,2,0,20,18
PRZYSTAŃ BRZEŹNO,trojmiasto,2,0,40,38
WARSZAWSKA,trojmiasto,1,1,123,123
WZGÓRZE HOPLITY,trojmiasto,1,0,12,11
APARTAMENTY LITERACKA,warszawa,0,1,37,38
LOCUS 2,trojmiasto,0,1,64,65
OSIEDLE RAPSODIA,wroclaw,0,1,79,80
APARTAMENTY NAD RZEKĄ,wroclaw,0,0,5,5
BRANIBORSKA 80,wroclaw,0,0,3,3
DOKI,trojmiasto,0,0,180,180
ESENCJA,trojmiasto,0,0,66,66
HUBSKA 100,wroclaw,0,0,69,69
LEŚNA GÓRA,trojmiasto,0,0,44,44
OSIEDLE ARKADIA,wroclaw,0,0,40,40
OSIEDLE HARMONIA,wroclaw,0,0,2,2
OSIEDLE HARMONIA MOKOTÓW,warszawa,0,0,25,25
OSIEDLE MIĘDZYLESKA,wroclaw,0,0,141,141
OSIEDLE MYŚLIBORSKA,warszawa,0,0,163,163
OSIEDLE PRZY ALEJACH,warszawa,0,0,12,12
OSIEDLE PRZY FORCIE,warszawa,0,0,1,1
OSIEDLE PRZY MALBORSKIEJ,krakow,0,0,24,24
OSIEDLE PRZY RYŻOWEJ,warszawa,0,0,2,2
OSIEDLE PRZY WIELICKIEJ,krakow,0,0,101,101
OSOBOWICKA 114,wroclaw,0,0,62,62
SYNTEZA,trojmiasto,0,0,56,56
WIDOKI,trojmiasto,0,0,1,1
WILLE BISKUPIN,wroclaw,0,0,56,56
