city,investment,building,handover_date,flat,area_m2,rooms,floor,logy,price_new_zlm2,price_old_zlm2,promo,link,img,date_scraped,total_price_zl,key
krakow,OSIEDLE PRZY MALBORSKIEJ,B,,B-8,36.972,2 pokoje z aneksem,1 piętro,LOGGIA,159802.0,170002.0,True,/pl-pl/krakow/mieszkanie?id=osiedle przy malborskiej_2_1_b_mk_8,/getmedia/0cf7b092-e400-4048-a68b-5d85784cf0d2/OSIEDLE%20PRZY%20MALBORSKIEJ_2_1_B_MK_8_Rzut%203D_1.jpg?width=276,2026-04-08,5908199.544,krakow|OSIEDLE PRZY MALBORSKIEJ|B|B-8
wroclaw,APARTAMENTY KAMIEŃSKIEGO,B,,B 29,60.782,3 pokoje z aneksem,3 piętro,BALKON,,,False,/pl-pl/wroclaw/mieszkanie?id=apartamenty kamienskiego_1_1_b_mk_29,/getmedia/22e8a650-f515-49a6-a8f8-4488ee9ccafe/[APARTAMENTY%20KAMIE%c5%83SKIEGO_1_1_B_3_29][MK][RZUT][Plan%20mieszkania]_l.jpg?width=276,2026-04-08,,wroclaw|APARTAMENTY KAMIEŃSKIEGO|B|B 29
wroclaw,APARTAMENTY NAD RZEKĄ,A,,A 55,86.302,4 pokoje z aneksem,1 piętro,BALKON,,,False,/pl-pl/wroclaw/mieszkanie?id=apartamenty nad rzeka_1_1_a_mk_55,/getmedia/76fa1094-74bb-4659-a337-08452708f6b5/APARTAMENTY%20NAD%20RZEK%c4%84_1_1_A_MK_55_Rzut%203D_1.jpg?width=276,2026-04-08,,wroclaw|APARTAMENTY NAD RZEKĄ|A|A 55
wroclaw,OSIEDLE ARKADIA,B2,,B2 22,38.452,2 pokoje z aneksem,1 piętro,BALKON,,,False,/pl-pl/wroclaw/mieszkanie?id=osiedle arkadia_1_1_b2_mk_22,/getmedia/9a9c351c-3b50-48ad-84d7-5c8fcb81bcb3/OSIEDLE%20ARKADIA_1_1_B2_MK_22_Rzut%203D_1.jpg?width=276,2026-04-08,,wroclaw|OSIEDLE ARKADIA|B2|B2 22
wroclaw,OSIEDLE MIĘDZYLESKA,A,,A 70,64.732,4 pokoje z aneksem,1 piętro,LOGGIA,,,False,/pl-pl/wroclaw/mieszkanie?id=miedzyleska_3_1_a_mk_70,/getmedia/2fe05571-8508-43b4-9392-2c7f5b148da7/MI%c4%98DZYLESKA_3_1_A_MK_70_Rzut%203D_1.jpg?width=276,2026-04-08,,wroclaw|OSIEDLE MIĘDZYLESKA|A|A 70
wroclaw,WILLE BISKUPIN,M,,M 5,56.132,3 pokoje z aneksem,1 piętro,BALKON,,,False,/pl-pl/wroclaw/mieszkanie?id=wille biskupin_1_3_m_mk_5,/getmedia/8c0a026b-69e4-4dec-a89d-ba7692f79bd2/WILLE%20BISKUPIN_1_3_M_MK_5_Rzut%203D_1.jpg?width=276,2026-04-08,,wroclaw|WILLE BISKUPIN|M|M 5
warszawa,APARTAMENTY GRZYBOWSKA 11,A,,A 22,26.092,1 pokój z aneksem,1 piętro,BALKON,,,False,/pl-pl/warszawa/mieszkanie?id=apartamenty grzybowska 11_1_1_a_mk_22,/getmedia/2216b11e-7e70-491f-98d2-c9f189ecbb7b/APARTAMENTY%20GRZYBOWSKA%2011_1_1_A_MK_22_Rzut%203D_1.jpg?width=276,2026-04-08,,warszawa|APARTAMENTY GRZYBOWSKA 11|A|A 22
warszawa,APARTAMENTY LITERACKA,C,,C 3,37.822,2 pokoje z aneksem,1 piętro,BALKON,,,False,/pl-pl/warszawa/mieszkanie?id=apartamenty literacka_2_1_c_mk_3,/getmedia/778d19e5-d1b3-4d3e-856b-ed1240143cb4/APARTAMENTY%20LITERACKA_2_1_C_MK_3_Rzut%203D_1.jpg?width=276,2026-04-08,,warszawa|APARTAMENTY LITERACKA|C|C 3
warszawa,DZIELNICA MIESZKANIOWA METRO ZACHÓD,B,,B 88,56.202,3 pokoje z aneksem,3 piętro,BALKON,,,False,/pl-pl/warszawa/mieszkanie?id=metro zachod_8_2_b_mk_88,/getmedia/b76f9f2f-17e9-4987-9d8e-5b6a3152f466/METRO%20ZACH%c3%93D_8_2_B_MK_88_Rzut%203D_1.jpg?width=276,2026-04-08,,warszawa|DZIELNICA MIESZKANIOWA METRO ZACHÓD|B|B 88
warszawa,MOKOTÓW SPORTOWY,A,,A 2,39.382,1 pokój z aneksem,Parter,OGRÓDEK,,,False,/pl-pl/warszawa/mieszkanie?id=mokotow sportowy_3_1_a_mk_2,/getmedia/55e6b812-828e-4010-b77e-0280dce43893/MOKOT%c3%93W%20SPORTOWY_3_1_A_MK_2_Rzut%203D_1.jpg?width=276,2026-04-08,,warszawa|MOKOTÓW SPORTOWY|A|A 2
