inwestycja,miasto,liczba_zdjetych,liczba_dodanych,dostepnych_2025-11-16,dostepnych_2025-11-22
29. ALEJA,krakow,2,0,122,120
APARTAMENTY BEETHOVENA,warszawa,4,0,111,108
APARTAMENTY GRZYBOWSKA 11,warszawa,5,7,116,118
APARTAMENTY LITERACKA,warszawa,1,0,37,36
APARTAMENTY NAD OŁAWKĄ,wroclaw,5,2,104,101
APARTAMENTY NAD RZEKĄ,wroclaw,1,0,5,5
APARTAMENTY PARK MATECZNEGO,krakow,5,0,193,188
APARTAMENTY RUDNICKIEGO,warszawa,8,1,36,29
DOKI,trojmiasto,2,0,180,178
DZIELNICA MIESZKANIOWA METRO ZACHÓD,warszawa,11,211,183,382
HUBSKA 100,wroclaw,3,4,68,69
KONSTELACJA,trojmiasto,4,0,50,46
LEŚNA GÓRA,trojmiasto,1,0,44,43
LOCUS 2,trojmiasto,1,1,64,64
MOKOTÓW SPORTOWY,warszawa,4,3,113,113
OSIEDLE BOKSERSKA 71,warszawa,8,0,183,176
OSIEDLE HARMONIA MOKOTÓW,warszawa,4,0,23,19
OSIEDLE MIESZKANIOWE GÓRKA NARODOWA,krakow,7,9,59,61
OSIEDLE MIĘDZYLESKA,wroclaw,4,6,141,143
OSIEDLE PRZY ALEJACH,warszawa,1,0,14,13
OSIEDLE PRZY BŁONIACH 3,trojmiasto,5,0,167,162
OSIEDLE PRZY FORCIE,warszawa,1,0,1,0
OSIEDLE PRZY MALBORSKIEJ,krakow,1,0,25,24
OSIEDLE RAPSODIA,wroclaw,7,2,80,75
OSIEDLE URBINO,warszawa,9,4,91,88
OSIEDLE WILNO,warszawa,10,1,117,111
OSIEDLE ZIELNA,wroclaw,3,2,18,17
OSOBOWICKA 114,wroclaw,1,0,62,61
PRZYSTAŃ BRZEŹNO,trojmiasto,6,2,36,32
SYNTEZA,trojmiasto,5,1,56,52
WARSZAWSKA,trojmiasto,6,0,122,116
WZGÓRZE HOPLITY,trojmiasto,3,0,10,8
APARTAMENTY BIAŁEJ KONICZYNY,warszawa,0,1,0,1
LEMA,trojmiasto,0,1,0,1
OSIEDLE MYŚLIBORSKA,warszawa,0,1,163,164
PERSPEKTYWA,trojmiasto,0,1,0,1
WILLE BISKUPIN,wroclaw,0,6,55,61
BRANIBORSKA 80,wroclaw,0,0,3,3
ESENCJA,trojmiasto,0,0,66,66
JASKÓŁCZA,trojmiasto,0,0,2,2
OSIEDLE ARKADIA,wroclaw,0,0,40,40
OSIEDLE HARMONIA,wroclaw,0,0,2,2
OSIEDLE PRZY RYŻOWEJ,warszawa,0,0,2,2
OSIEDLE PRZY WIELICKIEJ,krakow,0,0,100,100
WIDOKI,trojmiasto,0,0,1,1
