inwestycja,miasto,liczba_zdjetych,liczba_dodanych,dostepnych_2026-05-17,dostepnych_2026-05-23
29. ALEJA,krakow,1,0,63,62
APARTAMENTY BEETHOVENA,warszawa,1,2,50,51
APARTAMENTY GRZYBOWSKA 11,warszawa,1,0,89,88
APARTAMENTY KAMIEŃSKIEGO,wroclaw,2,2,44,44
APARTAMENTY LITERACKA,warszawa,6,3,205,202
APARTAMENTY METRO WILANOWSKA,warszawa,9,1,232,225
APARTAMENTY NAD OŁAWKĄ,wroclaw,4,1,37,34
APARTAMENTY PARK MATECZNEGO,krakow,2,3,184,185
BRANIBORSKA 80,wroclaw,1,0,2,1
DOKI,trojmiasto,2,1,131,130
DZIELNICA MIESZKANIOWA METRO ZACHÓD,warszawa,22,2,136,116
ESENCJA,trojmiasto,2,0,58,56
GDAŃSKIE ZACISZE,trojmiasto,2,0,75,73
HUBSKA 100,wroclaw,1,1,27,27
KONSTELACJA,trojmiasto,6,0,65,59
LOCUS 2,trojmiasto,1,0,76,75
MOKOTÓW SPORTOWY,warszawa,4,3,34,33
OSIEDLE ARKADIA,wroclaw,3,0,82,79
OSIEDLE BOKSERSKA 71,warszawa,5,0,259,254
OSIEDLE MIESZKANIOWE GÓRKA NARODOWA,krakow,1,1,12,12
OSIEDLE MIĘDZYLESKA,wroclaw,3,1,87,85
OSIEDLE PRZY BŁONIACH 3,trojmiasto,1,0,104,103
OSIEDLE PRZY MALBORSKIEJ,krakow,2,0,17,15
OSIEDLE PRZY WIELICKIEJ,krakow,2,2,214,215
OSIEDLE RAPSODIA,wroclaw,5,1,94,90
OSIEDLE URBINO,warszawa,10,1,156,146
OSIEDLE WILNO,warszawa,5,4,146,145
PRZYSTANEK PRĄDNIK,krakow,2,0,105,103
PRZYSTAŃ BRZEŹNO,trojmiasto,6,0,135,129
WARSZAWSKA,trojmiasto,1,0,48,47
WILLE BISKUPIN,wroclaw,1,2,74,75
WZGÓRZE MARKOWCA,trojmiasto,6,0,78,72
ZAJEZDNIA MOTŁAWA,trojmiasto,1,0,45,44
APARTAMENTY NAD RZEKĄ,wroclaw,0,0,4,4
APARTAMENTY RUDNICKIEGO,warszawa,0,0,3,3
LEŚNA GÓRA,trojmiasto,0,0,34,34
OSIEDLE MYŚLIBORSKA,warszawa,0,0,108,108
OSIEDLE PRZY RYŻOWEJ,warszawa,0,0,1,1
OSIEDLE ZIELNA,wroclaw,0,0,3,3
OSOBOWICKA 114,wroclaw,0,0,47,47
SYNTEZA,trojmiasto,0,0,22,22
