inwestycja,miasto,liczba_zdjetych,liczba_dodanych,dostepnych_2026-06-14,dostepnych_2026-06-20
29. ALEJA,krakow,1,0,59,58
APARTAMENTY BEETHOVENA,warszawa,1,2,49,50
APARTAMENTY GRZYBOWSKA 11,warszawa,2,0,87,85
APARTAMENTY KAMIEŃSKIEGO,wroclaw,1,0,42,41
APARTAMENTY LITERACKA,warszawa,12,3,199,191
APARTAMENTY METRO WILANOWSKA,warszawa,4,2,218,216
APARTAMENTY MYŚLIBORSKA PARK,warszawa,3,160,0,160
APARTAMENTY NAD OŁAWKĄ,wroclaw,3,0,29,26
APARTAMENTY NAD RZEKĄ,wroclaw,3,0,4,1
APARTAMENTY PARK MATECZNEGO,krakow,4,1,172,169
BRANIBORSKA 80,wroclaw,1,0,1,0
DZIELNICA MIESZKANIOWA METRO ZACHÓD,warszawa,9,0,95,86
HUBSKA 100,wroclaw,1,0,23,22
KONSTELACJA,trojmiasto,1,0,47,46
LOCUS 2,trojmiasto,2,0,71,69
MOKOTÓW SPORTOWY,warszawa,2,0,36,34
OSIEDLE ARKADIA,wroclaw,3,1,75,73
OSIEDLE MIĘDZYLESKA,wroclaw,1,1,79,79
OSIEDLE MYŚLIBORSKA,warszawa,2,0,102,100
OSIEDLE PRZY BŁONIACH 3,trojmiasto,5,0,93,88
OSIEDLE PRZY MALBORSKIEJ,krakow,2,1,13,12
OSIEDLE PRZY WIELICKIEJ,krakow,9,0,204,195
OSIEDLE RAPSODIA,wroclaw,3,0,86,83
OSIEDLE URBINO,warszawa,5,1,128,124
OSIEDLE WILNO,warszawa,5,0,141,136
PRZYSTANEK PRĄDNIK,krakow,2,0,100,98
WARSZAWSKA,trojmiasto,2,0,120,118
WILLE BISKUPIN,wroclaw,5,0,72,67
WZGÓRZE MARKOWCA,trojmiasto,2,0,70,68
ZAJEZDNIA MOTŁAWA,trojmiasto,1,0,42,41
OSIEDLE BOKSERSKA 71,warszawa,0,2,254,256
APARTAMENTY RUDNICKIEGO,warszawa,0,0,1,1
DOKI,trojmiasto,0,0,127,127
ESENCJA,trojmiasto,0,0,56,56
GDAŃSKIE ZACISZE,trojmiasto,0,0,73,73
LEŚNA GÓRA,trojmiasto,0,0,34,34
ORZECHOWA,trojmiasto,0,0,117,117
OSIEDLE MIESZKANIOWE GÓRKA NARODOWA,krakow,0,0,8,8
OSIEDLE PRZY RYŻOWEJ,warszawa,0,0,1,1
OSIEDLE ZIELNA,wroclaw,0,0,3,3
OSOBOWICKA 114,wroclaw,0,0,44,44
PRZYSTAŃ BRZEŹNO,trojmiasto,0,0,130,130
SYNTEZA,trojmiasto,0,0,19,19
