inwestycja,miasto,liczba_zdjetych,liczba_dodanych,dostepnych_2026-08-02,dostepnych_2026-08-08
29. ALEJA,krakow,3,0,42,39
APARTAMENTY BEETHOVENA,warszawa,8,0,56,49
APARTAMENTY GRZYBOWSKA 11,warszawa,1,0,79,78
APARTAMENTY KAMIEŃSKIEGO,wroclaw,3,0,31,28
APARTAMENTY LITERACKA,warszawa,7,0,160,153
APARTAMENTY METRO WILANOWSKA,warszawa,4,0,219,215
APARTAMENTY MYŚLIBORSKA PARK,warszawa,3,0,147,144
APARTAMENTY NAD OŁAWKĄ,wroclaw,2,1,14,13
APARTAMENTY PARK MATECZNEGO,krakow,4,4,151,151
APARTAMENTY RUDNICKIEGO,warszawa,1,0,1,0
DOKI,trojmiasto,3,0,120,117
DZIELNICA MIESZKANIOWA METRO ZACHÓD,warszawa,5,1,50,46
ESENCJA,trojmiasto,1,0,53,52
HUBSKA 100,wroclaw,2,1,14,13
JASKÓŁCZA,trojmiasto,1,0,1,0
LOCUS 2,trojmiasto,1,0,62,61
MOKOTÓW SPORTOWY,warszawa,3,1,284,281
ORZECHOWA,trojmiasto,1,0,121,120
OSIEDLE ARKADIA,wroclaw,2,0,61,59
OSIEDLE BOKSERSKA 71,warszawa,5,0,239,234
OSIEDLE MIĘDZYLESKA,wroclaw,1,0,200,199
OSIEDLE MYŚLIBORSKA,warszawa,1,0,84,83
OSIEDLE PRZY BŁONIACH 3,trojmiasto,3,0,124,121
OSIEDLE PRZY MALBORSKIEJ,krakow,1,0,10,9
OSIEDLE PRZY WIELICKIEJ,krakow,6,2,186,182
OSIEDLE RAPSODIA,wroclaw,1,0,76,75
OSIEDLE URBINO,warszawa,14,2,91,83
OSIEDLE WILNO,warszawa,2,0,318,318
PRZYSTANEK PRĄDNIK,krakow,2,0,76,74
PRZYSTAŃ BRZEŹNO,trojmiasto,2,1,123,122
SYNTEZA,trojmiasto,2,0,10,8
WARSZAWSKA,trojmiasto,3,0,105,102
WILLE BISKUPIN,wroclaw,5,3,68,66
ZAJEZDNIA MOTŁAWA,trojmiasto,1,3,44,46
OSIEDLE MIESZKANIOWE GÓRKA NARODOWA,krakow,0,1,4,5
OSIEDLE PARK ŚWIETLIKÓW,wroclaw,0,1,59,60
APARTAMENTY NAD RZEKĄ,wroclaw,0,0,3,3
GDAŃSKIE ZACISZE,trojmiasto,0,0,66,66
KONSTELACJA,trojmiasto,0,0,38,38
LEŚNA GÓRA,trojmiasto,0,0,32,32
OSIEDLE PRZY RYŻOWEJ,warszawa,0,0,1,1
OSIEDLE ZIELNA,wroclaw,0,0,1,1
OSOBOWICKA 114,wroclaw,0,0,42,42
WZGÓRZE MARKOWCA,trojmiasto,0,0,62,62
