inwestycja,miasto,liczba_zdjetych,liczba_dodanych,dostepnych_2025-11-02,dostepnych_2025-11-08
29. ALEJA,krakow,11,0,136,125
APARTAMENTY BEETHOVENA,warszawa,2,1,113,112
APARTAMENTY GRZYBOWSKA 11,warszawa,6,6,119,119
APARTAMENTY LITERACKA,warszawa,7,0,47,40
APARTAMENTY NAD OŁAWKĄ,wroclaw,2,0,107,105
APARTAMENTY NAD RZEKĄ,wroclaw,1,0,6,5
APARTAMENTY PARK MATECZNEGO,krakow,10,0,206,196
APARTAMENTY RUDNICKIEGO,warszawa,12,2,48,40
DOKI,trojmiasto,2,0,182,180
DZIELNICA MIESZKANIOWA METRO ZACHÓD,warszawa,11,2,191,183
HUBSKA 100,wroclaw,1,0,70,69
JASKÓŁCZA,trojmiasto,2,0,5,3
LOCUS 2,trojmiasto,1,0,65,64
MOKOTÓW SPORTOWY,warszawa,5,2,122,118
OSIEDLE ARKADIA,wroclaw,1,0,41,40
OSIEDLE BOKSERSKA 71,warszawa,4,2,190,188
OSIEDLE HARMONIA MOKOTÓW,warszawa,4,2,27,25
OSIEDLE MIESZKANIOWE GÓRKA NARODOWA,krakow,2,1,62,61
OSIEDLE MIĘDZYLESKA,wroclaw,1,0,142,141
OSIEDLE MYŚLIBORSKA,warszawa,2,1,164,163
OSIEDLE PRZY ALEJACH,warszawa,1,1,12,12
OSIEDLE RAPSODIA,wroclaw,4,0,83,79
OSIEDLE URBINO,warszawa,10,4,100,96
OSIEDLE WILNO,warszawa,4,0,130,124
OSIEDLE ZIELNA,wroclaw,2,0,23,21
PERSPEKTYWA,trojmiasto,1,0,1,0
PRZYSTAŃ BRZEŹNO,trojmiasto,3,0,43,40
SYNTEZA,trojmiasto,3,0,59,56
WARSZAWSKA,trojmiasto,3,0,126,123
OSIEDLE HARMONIA,wroclaw,0,1,1,2
BRANIBORSKA 80,wroclaw,0,0,3,3
ESENCJA,trojmiasto,0,0,66,66
KONSTELACJA,trojmiasto,0,0,52,52
LEŚNA GÓRA,trojmiasto,0,0,44,44
OSIEDLE PRZY BŁONIACH 3,trojmiasto,0,0,168,168
OSIEDLE PRZY FORCIE,warszawa,0,0,1,1
OSIEDLE PRZY MALBORSKIEJ,krakow,0,0,24,24
OSIEDLE PRZY RYŻOWEJ,warszawa,0,0,2,2
OSIEDLE PRZY WIELICKIEJ,krakow,0,0,101,101
OSOBOWICKA 114,wroclaw,0,0,62,62
WIDOKI,trojmiasto,0,0,1,1
WILLE BISKUPIN,wroclaw,0,0,56,56
WZGÓRZE HOPLITY,trojmiasto,0,0,12,12
