inwestycja,miasto,liczba_zdjetych,liczba_dodanych,dostepnych_2026-09-20,dostepnych_2026-09-26
29. ALEJA,krakow,2,0,22,20
APARTAMENTY BEETHOVENA,warszawa,2,1,45,44
APARTAMENTY LITERACKA,warszawa,9,2,126,120
APARTAMENTY METRO WILANOWSKA,warszawa,4,1,197,194
APARTAMENTY MYŚLIBORSKA PARK,warszawa,7,0,132,125
APARTAMENTY NAD OŁAWKĄ,wroclaw,2,0,8,6
APARTAMENTY PARK MATECZNEGO,krakow,5,1,132,128
DOKI,trojmiasto,2,0,105,103
DZIELNICA MIESZKANIOWA METRO ZACHÓD,warszawa,4,2,28,27
LOCUS 2,trojmiasto,1,1,52,52
MOKOTÓW SPORTOWY,warszawa,10,17,219,228
ORZECHOWA,trojmiasto,1,0,115,114
OSIEDLE ARKADIA,wroclaw,4,0,43,39
OSIEDLE BOKSERSKA 71,warszawa,6,1,197,193
OSIEDLE MIESZKANIOWE GÓRKA NARODOWA,krakow,2,0,3,1
OSIEDLE MIĘDZYLESKA,wroclaw,1,0,188,186
OSIEDLE MYŚLIBORSKA,warszawa,5,2,61,59
OSIEDLE PARK ŚWIETLIKÓW,wroclaw,2,2,54,54
OSIEDLE PRZY BŁONIACH 3,trojmiasto,7,0,96,89
OSIEDLE PRZY MALBORSKIEJ,krakow,1,0,5,4
OSIEDLE PRZY WIELICKIEJ,krakow,1,1,185,185
OSIEDLE RAPSODIA,wroclaw,6,0,60,54
OSIEDLE URBINO,warszawa,8,19,127,139
OSIEDLE WILNO,warszawa,5,3,294,288
OSIEDLE ZIELNA,wroclaw,1,0,1,0
PRZYSTANEK PRĄDNIK,krakow,6,1,270,265
PRZYSTAŃ BRZEŹNO,trojmiasto,1,1,97,97
SYNTEZA,trojmiasto,1,0,4,3
WARSZAWSKA,trojmiasto,2,0,79,77
WILLE BISKUPIN,wroclaw,6,2,50,46
WZGÓRZE MARKOWCA,trojmiasto,1,0,61,60
ZAJEZDNIA MOTŁAWA,trojmiasto,2,0,124,122
APARTAMENTY GRZYBOWSKA 11,warszawa,0,1,77,78
HUBSKA 100,wroclaw,0,3,1,4
OSOBOWICKA 114,wroclaw,0,1,34,35
APARTAMENTY KAMIEŃSKIEGO,wroclaw,0,0,24,24
APARTAMENTY NAD RZEKĄ,wroclaw,0,0,1,1
ESENCJA,trojmiasto,0,0,52,52
GDAŃSKIE ZACISZE,trojmiasto,0,0,64,64
KONSTELACJA,trojmiasto,0,0,92,92
LEŚNA GÓRA,trojmiasto,0,0,27,27
OSIEDLE PRZY RYŻOWEJ,warszawa,0,0,1,1
