inwestycja,miasto,liczba_zdjetych,liczba_dodanych,dostepnych_2026-04-12,dostepnych_2026-04-18
29. ALEJA,krakow,4,1,74,71
APARTAMENTY BEETHOVENA,warszawa,7,2,59,54
APARTAMENTY GRZYBOWSKA 11,warszawa,6,1,100,95
APARTAMENTY KAMIEŃSKIEGO,wroclaw,3,0,54,51
APARTAMENTY LITERACKA,warszawa,6,4,218,217
APARTAMENTY NAD OŁAWKĄ,wroclaw,2,2,47,47
APARTAMENTY PARK MATECZNEGO,krakow,3,1,208,206
APARTAMENTY RUDNICKIEGO,warszawa,1,2,5,6
DOKI,trojmiasto,1,0,142,141
DZIELNICA MIESZKANIOWA METRO ZACHÓD,warszawa,9,7,162,161
HUBSKA 100,wroclaw,3,0,35,32
KONSTELACJA,trojmiasto,3,2,72,72
LOCUS 2,trojmiasto,1,0,85,84
MOKOTÓW SPORTOWY,warszawa,2,4,48,50
OSIEDLE ARKADIA,wroclaw,1,0,89,88
OSIEDLE BOKSERSKA 71,warszawa,1,4,118,121
OSIEDLE MIESZKANIOWE GÓRKA NARODOWA,krakow,3,1,20,18
OSIEDLE MIĘDZYLESKA,wroclaw,2,2,93,93
OSIEDLE MYŚLIBORSKA,warszawa,3,2,114,113
OSIEDLE PRZY BŁONIACH 3,trojmiasto,1,0,114,113
OSIEDLE PRZY MALBORSKIEJ,krakow,3,0,20,17
OSIEDLE PRZY WIELICKIEJ,krakow,5,0,225,220
OSIEDLE RAPSODIA,wroclaw,2,2,103,103
OSIEDLE URBINO,warszawa,1,98,92,192
OSIEDLE WILNO,warszawa,5,145,33,177
OSIEDLE ZIELNA,wroclaw,1,0,5,4
PRZYSTANEK PRĄDNIK,krakow,1,0,112,111
SYNTEZA,trojmiasto,1,0,27,26
WARSZAWSKA,trojmiasto,6,0,62,56
WILLE BISKUPIN,wroclaw,3,42,46,86
ZAJEZDNIA MOTŁAWA,trojmiasto,2,0,51,49
OSIEDLE PRZY RYŻOWEJ,warszawa,0,1,1,2
APARTAMENTY NAD RZEKĄ,wroclaw,0,0,2,2
BEAUFORTA 2,trojmiasto,0,0,1,1
BRANIBORSKA 80,wroclaw,0,0,1,1
ESENCJA,trojmiasto,0,0,57,57
GDAŃSKIE ZACISZE,trojmiasto,0,0,59,59
LEŚNA GÓRA,trojmiasto,0,0,36,36
OSOBOWICKA 114,wroclaw,0,0,48,48
PRZYSTAŃ BRZEŹNO,trojmiasto,0,0,61,61
