inwestycja,miasto,liczba_zdjetych,liczba_dodanych,dostepnych_2025-12-28,dostepnych_2026-01-03
29. ALEJA,krakow,1,0,102,101
APARTAMENTY BEETHOVENA,warszawa,2,1,105,104
APARTAMENTY GRZYBOWSKA 11,warszawa,1,2,107,108
APARTAMENTY LITERACKA,warszawa,2,3,20,21
APARTAMENTY NAD OŁAWKĄ,wroclaw,6,0,90,84
APARTAMENTY PARK MATECZNEGO,krakow,7,1,173,167
APARTAMENTY RUDNICKIEGO,warszawa,1,0,25,24
DOKI,trojmiasto,3,2,161,160
DZIELNICA MIESZKANIOWA METRO ZACHÓD,warszawa,13,7,308,301
ESENCJA,trojmiasto,1,0,63,62
HUBSKA 100,wroclaw,1,1,59,59
KONSTELACJA,trojmiasto,10,3,128,121
LOCUS 2,trojmiasto,5,0,58,53
MOKOTÓW SPORTOWY,warszawa,8,4,100,97
OSIEDLE BOKSERSKA 71,warszawa,3,1,169,167
OSIEDLE HARMONIA MOKOTÓW,warszawa,3,0,12,10
OSIEDLE MIESZKANIOWE GÓRKA NARODOWA,krakow,5,0,48,43
OSIEDLE MIĘDZYLESKA,wroclaw,1,1,132,132
OSIEDLE MYŚLIBORSKA,warszawa,1,2,145,146
OSIEDLE PRZY ALEJACH,warszawa,1,0,4,3
OSIEDLE PRZY BŁONIACH 3,trojmiasto,1,0,156,155
OSIEDLE PRZY MALBORSKIEJ,krakow,1,0,21,20
OSIEDLE PRZY WIELICKIEJ,krakow,2,0,91,89
OSIEDLE RAPSODIA,wroclaw,6,0,56,50
OSIEDLE WILNO,warszawa,6,0,138,128
PRZYSTAŃ BRZEŹNO,trojmiasto,3,0,38,35
SYNTEZA,trojmiasto,2,0,48,46
WARSZAWSKA,trojmiasto,5,0,107,102
WILLE BISKUPIN,wroclaw,1,0,59,58
WZGÓRZE HOPLITY,trojmiasto,1,0,5,4
ZAJEZDNIA MOTŁAWA,trojmiasto,2,0,65,63
OSIEDLE PRZY RYŻOWEJ,warszawa,0,1,2,3
APARTAMENTY NAD RZEKĄ,wroclaw,0,0,6,6
BRANIBORSKA 80,wroclaw,0,0,3,3
JASKÓŁCZA,trojmiasto,0,0,2,2
LEMA,trojmiasto,0,0,1,1
LEŚNA GÓRA,trojmiasto,0,0,42,42
OSIEDLE ARKADIA,wroclaw,0,0,34,34
OSIEDLE HARMONIA,wroclaw,0,0,2,2
OSIEDLE PRZY FORCIE,warszawa,0,0,1,1
OSIEDLE URBINO,warszawa,0,0,172,174
OSIEDLE ZIELNA,wroclaw,0,0,11,11
OSOBOWICKA 114,wroclaw,0,0,60,60
PERSPEKTYWA,trojmiasto,0,0,1,1
WIDOKI,trojmiasto,0,0,1,1
