city,investment,building,handover_date,flat,area_m2,rooms,floor,logy,price_new_zlm2,price_old_zlm2,promo,link,img,date_scraped,total_price_zl,key
warszawa,APARTAMENTY LITERACKA,E,,E 24,100.172,5 pokoi z aneksem,3 piętro,BALKON,,,False,/pl-pl/warszawa/mieszkanie?id=apartamenty literacka_2_2_e_mk_24,/getmedia/0cbaaa35-cf02-422f-bb6a-cc9aa1998166/[APARTAMENTY%20LITERACKA_2_2_E_3_24][MK][RZUT][Plan%20Mieszkania]_l.jpg?width=276,2026-03-10,,warszawa|APARTAMENTY LITERACKA|E|E 24
warszawa,MOKOTÓW SPORTOWY,A,,A 6,38.072,2 pokoje z aneksem,1 piętro,BALKON,158502.0,167002.0,True,/pl-pl/warszawa/mieszkanie?id=mokotow sportowy_3_1_a_mk_6,/getmedia/0bcb689a-c710-4231-a7c9-44b8c1e0347d/MOKOT%c3%93W%20SPORTOWY_3_1_A_MK_6_Rzut%203D_1.jpg?width=276,2026-03-10,6034488.144,warszawa|MOKOTÓW SPORTOWY|A|A 6
warszawa,MOKOTÓW SPORTOWY,A,,A 30,38.202,2 pokoje z aneksem,4 piętro,BALKON,,,False,/pl-pl/warszawa/mieszkanie?id=mokotow sportowy_3_1_a_mk_30,/getmedia/759d7108-23bb-4023-98d3-5a85324a68a1/MOKOT%c3%93W%20SPORTOWY_3_1_A_MK_30_Rzut%203D_1.jpg?width=276,2026-03-10,,warszawa|MOKOTÓW SPORTOWY|A|A 30
warszawa,OSIEDLE MYŚLIBORSKA,A,,A 61,58.742,3 pokoje z aneksem,4 piętro,BALKON,,,False,/pl-pl/warszawa/mieszkanie?id=mysliborska 27_1_1_a_mk_61,/getmedia/7aabed10-99ee-4e80-967c-8a10223e2c7e/MY%c5%9aLIBORSKA%2027_1_1_A_MK_61_Rzut%203D_1.jpg?width=276,2026-03-10,,warszawa|OSIEDLE MYŚLIBORSKA|A|A 61
warszawa,OSIEDLE MYŚLIBORSKA,B,,B 10,35.072,2 pokoje z aneksem,2 piętro,BALKON,,,False,/pl-pl/warszawa/mieszkanie?id=mysliborska 27_1_1_b_mk_10,/getmedia/c406ba58-2892-4c41-be2b-52e0bcc0dc07/MY%c5%9aLIBORSKA%2027_1_1_B_MK_10_Rzut%203D_1.jpg?width=276,2026-03-10,,warszawa|OSIEDLE MYŚLIBORSKA|B|B 10
krakow,APARTAMENTY PARK MATECZNEGO,D,,D-34,49.682,3 pokoje z aneksem,3 piętro,BALKON,,,False,/pl-pl/krakow/mieszkanie?id=apartamenty park matecznego_1_3_d_mk_34,/getmedia/e45beefb-76bd-45f9-8bbe-26a793256e6c/APARTAMENTY%20PARK%20MATECZNEGO_1_3_D_MK_34_Rzut%203D_1.jpg?width=276,2026-03-11,,krakow|APARTAMENTY PARK MATECZNEGO|D|D-34
krakow,OSIEDLE MIESZKANIOWE GÓRKA NARODOWA,C,,C-49,48.912,2 pokoje z aneksem,2 piętro,LOGGIA,,,False,/pl-pl/krakow/mieszkanie?id=gorka narodowa_5_2_c_mk_49,/getmedia/2ecb69a6-7008-4447-aca2-08469170370e/G%c3%93RKA%20NARODOWA_5_2_C_MK_49_Rzut%203D_1.jpg?width=276,2026-03-11,,krakow|OSIEDLE MIESZKANIOWE GÓRKA NARODOWA|C|C-49
wroclaw,HUBSKA 100,A,,A 64,40.312,2 pokoje z aneksem,4 piętro,LOGGIA,,,False,/pl-pl/wroclaw/mieszkanie?id=hubska 100_2_1_a_mk_64,/getmedia/7e07e304-eac4-4600-bf64-8547c93249c4/HUBSKA%20100_2_1_A_MK_64_Rzut%203D_1.jpg?width=276,2026-03-11,,wroclaw|HUBSKA 100|A|A 64
wroclaw,HUBSKA 100,B,,B 6,53.992,3 pokoje z aneksem,Parter,OGRÓDEK,,,False,/pl-pl/wroclaw/mieszkanie?id=hubska 100_1_1_b_mk_6,/getmedia/18c969c4-5727-4ded-b946-5350240df9eb/HUBSKA%20100_1_1_B_MK_6_Rzut%203D_1.jpg?width=276,2026-03-11,,wroclaw|HUBSKA 100|B|B 6
wroclaw,OSIEDLE ZIELNA,B,,B 18,34.852,2 pokoje z aneksem,2 piętro,BALKON,,,False,/pl-pl/wroclaw/mieszkanie?id=osiedle zielna_4_2_b_mk_18,/getmedia/d377f5e9-368b-4004-b2be-cc681c5da552/OSIEDLE%20ZIELNA_4_2_B_MK_18_Rzut%203D_1.webp?width=276,2026-03-11,,wroclaw|OSIEDLE ZIELNA|B|B 18
warszawa,APARTAMENTY GRZYBOWSKA 11,A,,A 76,38.592,1 pokój z aneksem,4 piętro,BALKON,,,False,/pl-pl/warszawa/mieszkanie?id=apartamenty grzybowska 11_1_1_a_mk_76,/getmedia/6cafef60-00a4-47fa-a3ba-0ed445e8b04f/APARTAMENTY%20GRZYBOWSKA%2011_1_1_A_MK_76_Rzut%203D_1.jpg?width=276,2026-03-11,,warszawa|APARTAMENTY GRZYBOWSKA 11|A|A 76
warszawa,APARTAMENTY GRZYBOWSKA 11,A,,A 139,33.602,1 pokój z aneksem,7 piętro,BALKON,,,False,/pl-pl/warszawa/mieszkanie?id=apartamenty grzybowska 11_1_1_a_mk_139,/getmedia/e8f964f8-8828-4d68-aed5-c7ac6b023759/APARTAMENTY%20GRZYBOWSKA%2011_1_1_A_MK_139_Rzut%203D_1.jpg?width=276,2026-03-11,,warszawa|APARTAMENTY GRZYBOWSKA 11|A|A 139
warszawa,APARTAMENTY LITERACKA,C,,C 12,65.292,4 pokoje z aneksem,2 piętro,BALKON,,,False,/pl-pl/warszawa/mieszkanie?id=apartamenty literacka_2_1_c_mk_12,/getmedia/b1975c37-2b09-4889-b570-13281ab2b67e/APARTAMENTY%20LITERACKA_2_1_C_MK_12_Rzut%203D_1.jpg?width=276,2026-03-11,,warszawa|APARTAMENTY LITERACKA|C|C 12
warszawa,DZIELNICA MIESZKANIOWA METRO ZACHÓD,D,,D 39,68.982,3 pokoje,Parter,OGRÓDEK,,,False,/pl-pl/warszawa/mieszkanie?id=metro zachod_8_2_d_mk_39,/getmedia/a3ac64fe-c412-40ca-b099-b2c60017e056/METRO%20ZACH%c3%93D_8_2_D_MK_39_Rzut%203D_1.jpg?width=276,2026-03-11,,warszawa|DZIELNICA MIESZKANIOWA METRO ZACHÓD|D|D 39
warszawa,DZIELNICA MIESZKANIOWA METRO ZACHÓD,D,,D 40,98.942,4 pokoje,Parter,OGRÓDEK,,,False,/pl-pl/warszawa/mieszkanie?id=metro zachod_8_2_d_mk_40,/getmedia/251e7a8a-6c81-41a2-bd3e-99055a0560e9/METRO%20ZACH%c3%93D_8_2_D_MK_40_Rzut%203D_1.jpg?width=276,2026-03-11,,warszawa|DZIELNICA MIESZKANIOWA METRO ZACHÓD|D|D 40
warszawa,MOKOTÓW SPORTOWY,A,,A 62,38.172,2 pokoje z aneksem,4 piętro,BALKON,159502.0,168002.0,True,/pl-pl/warszawa/mieszkanie?id=mokotow sportowy_3_1_a_mk_62,/getmedia/30519d4c-0c12-4806-bc93-eb2267d54d43/MOKOT%c3%93W%20SPORTOWY_3_1_A_MK_62_Rzut%203D_1.jpg?width=276,2026-03-11,6088510.344,warszawa|MOKOTÓW SPORTOWY|A|A 62
warszawa,MOKOTÓW SPORTOWY,A,,A 9,38.142,2 pokoje z aneksem,1 piętro,BALKON,,,False,/pl-pl/warszawa/mieszkanie?id=mokotow sportowy_3_1_a_mk_9,/getmedia/9f30a29c-242b-4d9d-8208-094247714288/MOKOT%c3%93W%20SPORTOWY_3_1_A_MK_9_Rzut%203D_1.jpg?width=276,2026-03-11,,warszawa|MOKOTÓW SPORTOWY|A|A 9
warszawa,MOKOTÓW SPORTOWY,C,,C 21,59.422,3 pokoje z aneksem,3 piętro,BALKON,,,False,/pl-pl/warszawa/mieszkanie?id=mokotow sportowy_1_1b_c_mk_21,/getmedia/38019bac-5ff7-4fe7-bfd5-9049aab76cc7/MOKOT%c3%93W%20SPORTOWY_1_1b_C_MK_21_Rzut%203D_1.jpg?width=276,2026-03-11,,warszawa|MOKOTÓW SPORTOWY|C|C 21
warszawa,OSIEDLE BOKSERSKA 71,C,,C 21,58.022,3 pokoje z aneksem,5 piętro,BALKON,,,False,/pl-pl/warszawa/mieszkanie?id=bokserska 71_2_2_c_mk_21,/getmedia/fe919b86-bee3-4830-89ea-51fe24189250/BOKSERSKA%2071_2_2_C_MK_21_Rzut%203D_1.jpg?width=276,2026-03-11,,warszawa|OSIEDLE BOKSERSKA 71|C|C 21
warszawa,OSIEDLE BOKSERSKA 71,C,,C 56,41.042,2 pokoje z aneksem,5 piętro,BALKON,,,False,/pl-pl/warszawa/mieszkanie?id=bokserska 71_2_2_c_mk_56,/getmedia/aa542485-0f2c-4d2c-b07b-e1a6887307ea/BOKSERSKA%2071_2_2_C_MK_56_Rzut%203D_1.jpg?width=276,2026-03-11,,warszawa|OSIEDLE BOKSERSKA 71|C|C 56
warszawa,OSIEDLE WILNO,A,,A 117,44.522,2 pokoje z aneksem,2 piętro,LOGGIA,,,False,/pl-pl/warszawa/mieszkanie?id=wilno 7_3_2_a_mk_117,/getmedia/a0afeb72-3ec0-42a5-949b-2188f35e7130/WILNO%207_3_2_A_MK_117_Rzut%203D_1.jpg?width=276,2026-03-11,,warszawa|OSIEDLE WILNO|A|A 117
wroclaw,OSIEDLE MIĘDZYLESKA,B,,B 78,59.672,3 pokoje z aneksem,1 piętro,BALKON,,,False,/pl-pl/wroclaw/mieszkanie?id=miedzyleska_2_1_b_mk_78,/getmedia/979a7b78-4208-42c5-bdab-4a07d1ff31e2/MI%c4%98DZYLESKA_2_1_B_MK_78_Rzut%203D_1.jpg?width=276,2026-03-12,,wroclaw|OSIEDLE MIĘDZYLESKA|B|B 78
warszawa,APARTAMENTY LITERACKA,C,,C 3,37.822,2 pokoje z aneksem,1 piętro,BALKON,180002.0,190002.0,True,/pl-pl/warszawa/mieszkanie?id=apartamenty literacka_2_1_c_mk_3,/getmedia/778d19e5-d1b3-4d3e-856b-ed1240143cb4/APARTAMENTY%20LITERACKA_2_1_C_MK_3_Rzut%203D_1.jpg?width=276,2026-03-12,6808035.644,warszawa|APARTAMENTY LITERACKA|C|C 3
warszawa,APARTAMENTY LITERACKA,E,,E 74,57.552,3 pokoje z aneksem,6 piętro,LOGGIA,,,False,/pl-pl/warszawa/mieszkanie?id=apartamenty literacka_2_2_e_mk_74,/getmedia/eb5b008a-e177-4b75-bf38-7c20ca27be1b/[APARTAMENTY%20LITERACKA_2_2_E_6_74][MK][RZUT][Plan%20Mieszkania]_l.jpg?width=276,2026-03-12,,warszawa|APARTAMENTY LITERACKA|E|E 74
warszawa,APARTAMENTY LITERACKA,F,,F 26,99.252,5 pokoi,4 piętro,LOGGIA,,,False,/pl-pl/warszawa/mieszkanie?id=apartamenty literacka_2_3_f_mk_26,/getmedia/9707ef55-4a01-4a63-8923-8e73bc9899d3/[APARTAMENTY%20LITERACKA_2_3_F_4_26][MK][RZUT][Plan%20Mieszkania]_l.jpg?width=276,2026-03-12,,warszawa|APARTAMENTY LITERACKA|F|F 26
warszawa,OSIEDLE MYŚLIBORSKA,A,,A 73,36.462,2 pokoje z aneksem,1 piętro,BALKON,,,False,/pl-pl/warszawa/mieszkanie?id=mysliborska 27_1_1_a_mk_73,/getmedia/8c979457-7d97-466f-a047-d0bf62260274/MY%c5%9aLIBORSKA%2027_1_1_A_MK_73_Rzut%203D_1.jpg?width=276,2026-03-12,,warszawa|OSIEDLE MYŚLIBORSKA|A|A 73
warszawa,OSIEDLE MYŚLIBORSKA,A,,A 81,36.462,2 pokoje z aneksem,3 piętro,BALKON,,,False,/pl-pl/warszawa/mieszkanie?id=mysliborska 27_1_1_a_mk_81,/getmedia/cd2d34ef-6550-4034-8ca7-6a96f9cc65df/MY%c5%9aLIBORSKA%2027_1_1_A_MK_81_Rzut%203D_1.jpg?width=276,2026-03-12,,warszawa|OSIEDLE MYŚLIBORSKA|A|A 81
warszawa,OSIEDLE MYŚLIBORSKA,A,,A 85,36.462,2 pokoje z aneksem,4 piętro,BALKON,,,False,/pl-pl/warszawa/mieszkanie?id=mysliborska 27_1_1_a_mk_85,/getmedia/6d0d1443-16f7-4ef9-bf56-ff26beb67758/MY%c5%9aLIBORSKA%2027_1_1_A_MK_85_Rzut%203D_1.jpg?width=276,2026-03-12,,warszawa|OSIEDLE MYŚLIBORSKA|A|A 85
