inwestycja,miasto,liczba_zdjetych,liczba_dodanych,dostepnych_2026-05-03,dostepnych_2026-05-09
29. ALEJA,krakow,1,1,64,64
APARTAMENTY BEETHOVENA,warszawa,3,0,56,53
APARTAMENTY GRZYBOWSKA 11,warszawa,1,2,89,90
APARTAMENTY LITERACKA,warszawa,10,0,214,204
APARTAMENTY METRO WILANOWSKA,warszawa,15,244,0,244
APARTAMENTY NAD OŁAWKĄ,wroclaw,1,0,38,37
APARTAMENTY PARK MATECZNEGO,krakow,4,1,192,189
APARTAMENTY RUDNICKIEGO,warszawa,3,0,7,4
DOKI,trojmiasto,1,0,134,133
DZIELNICA MIESZKANIOWA METRO ZACHÓD,warszawa,2,2,143,143
KONSTELACJA,trojmiasto,2,0,65,63
MOKOTÓW SPORTOWY,warszawa,3,8,38,43
OSIEDLE BOKSERSKA 71,warszawa,5,169,104,269
OSIEDLE MYŚLIBORSKA,warszawa,3,0,111,108
OSIEDLE PRZY ALEJACH,warszawa,1,0,1,0
OSIEDLE PRZY MALBORSKIEJ,krakow,1,0,19,18
OSIEDLE PRZY RYŻOWEJ,warszawa,1,0,2,1
OSIEDLE URBINO,warszawa,3,2,169,168
OSIEDLE WILNO,warszawa,3,0,159,155
PRZYSTAŃ BRZEŹNO,trojmiasto,1,42,99,140
SYNTEZA,trojmiasto,1,0,24,23
WARSZAWSKA,trojmiasto,1,0,50,49
WZGÓRZE MARKOWCA,trojmiasto,5,1,85,81
ESENCJA,trojmiasto,0,1,56,57
LOCUS 2,trojmiasto,0,1,77,78
OSIEDLE PRZY WIELICKIEJ,krakow,0,1,217,218
APARTAMENTY KAMIEŃSKIEGO,wroclaw,0,0,45,45
APARTAMENTY NAD RZEKĄ,wroclaw,0,0,4,4
BRANIBORSKA 80,wroclaw,0,0,2,2
GDAŃSKIE ZACISZE,trojmiasto,0,0,75,75
HUBSKA 100,wroclaw,0,0,30,30
LEŚNA GÓRA,trojmiasto,0,0,35,35
OSIEDLE ARKADIA,wroclaw,0,0,84,84
OSIEDLE MIESZKANIOWE GÓRKA NARODOWA,krakow,0,0,13,13
OSIEDLE MIĘDZYLESKA,wroclaw,0,0,87,87
OSIEDLE PRZY BŁONIACH 3,trojmiasto,0,0,106,106
OSIEDLE RAPSODIA,wroclaw,0,0,98,98
OSIEDLE ZIELNA,wroclaw,0,0,3,3
OSOBOWICKA 114,wroclaw,0,0,47,47
PRZYSTANEK PRĄDNIK,krakow,0,0,107,107
WIDOKI,trojmiasto,0,0,1,1
WILLE BISKUPIN,wroclaw,0,0,80,80
ZAJEZDNIA MOTŁAWA,trojmiasto,0,0,46,46
