city,investment,building,handover_date,flat,area_m2,rooms,floor,logy,price_new_zlm2,price_old_zlm2,promo,link,img,date_scraped,total_price_zl,key
trojmiasto,SYNTEZA,F,,F 17,35.042,2 pokoje z aneksem,1 piętro,BALKON,,173002.0,False,/pl-pl/trojmiasto/mieszkanie?id=synteza_1_4_f_mk_17,/getmedia/3735bd70-0dab-402e-8bd1-c6bc3a3b5099/SYNTEZA_1_4_F_MK_17_Rzut%203D_1.png?width=276,2026-07-22,,trojmiasto|SYNTEZA|F|F 17
wroclaw,APARTAMENTY KAMIEŃSKIEGO,B,,B 3,103.922,5 pokoi z aneksem,Parter,,,152002.0,False,/pl-pl/wroclaw/mieszkanie?id=apartamenty kamienskiego_1_1_b_mk_3,/getmedia/d8964e65-2ce4-434e-b0da-56af0783a159/APARTAMENTY%20KAMIE%c5%83SKIEGO_1_1_B_MK_3_Rzut%203D_1.jpg?width=276,2026-07-24,,wroclaw|APARTAMENTY KAMIEŃSKIEGO|B|B 3
wroclaw,APARTAMENTY NAD RZEKĄ,A,,A 76,76.522,3 pokoje z aneksem,2 piętro,BALKON,,152002.0,False,/pl-pl/wroclaw/mieszkanie?id=apartamenty nad rzeka_1_1_a_mk_76,/getmedia/56bcd98f-5450-4f22-af20-b9564159a38c/APARTAMENTY%20NAD%20RZEK%c4%84_1_1_A_MK_76_Rzut%203D_1.jpg?width=276,2026-07-24,,wroclaw|APARTAMENTY NAD RZEKĄ|A|A 76
wroclaw,OSIEDLE ARKADIA,B1,,B1 51,38.222,2 pokoje z aneksem,Parter,,,134002.0,False,/pl-pl/wroclaw/mieszkanie?id=osiedle arkadia_2_1_b1_mk_51,/getmedia/38ccc045-6c48-4406-9499-19602d0d1ac7/OSIEDLE%20ARKADIA_2_1_B1_MK_51_Rzut%203D_1.jpg?width=276,2026-07-24,,wroclaw|OSIEDLE ARKADIA|B1|B1 51
wroclaw,OSIEDLE ARKADIA,B1,,B1 53,38.222,2 pokoje z aneksem,Parter,,,134002.0,False,/pl-pl/wroclaw/mieszkanie?id=osiedle arkadia_2_1_b1_mk_53,/getmedia/80100488-974f-4ef2-bbe8-ce37a428b0c8/OSIEDLE%20ARKADIA_2_1_B1_MK_53_Rzut%203D_1.jpg?width=276,2026-07-24,,wroclaw|OSIEDLE ARKADIA|B1|B1 53
wroclaw,OSIEDLE RAPSODIA,C,,C 11,61.412,3 pokoje z aneksem,1 piętro,BALKON,,131002.0,False,/pl-pl/wroclaw/mieszkanie?id=osiedle rapsodia_2_1_c_mk_11,/getmedia/01a2f6c0-c639-4c29-9c8a-3a618b215d50/OSIEDLE%20RAPSODIA_2_1_C_MK_11_Rzut%203D_1.jpg?width=276,2026-07-24,,wroclaw|OSIEDLE RAPSODIA|C|C 11
wroclaw,OSIEDLE RAPSODIA,C,,C 26,41.082,2 pokoje z aneksem,3 piętro,BALKON,,146002.0,False,/pl-pl/wroclaw/mieszkanie?id=osiedle rapsodia_2_1_c_mk_26,/getmedia/c8567979-9bd9-4de6-97b8-a4df7aca866f/OSIEDLE%20RAPSODIA_2_1_C_MK_26_Rzut%203D_1.jpg?width=276,2026-07-24,,wroclaw|OSIEDLE RAPSODIA|C|C 26
wroclaw,OSIEDLE ZIELNA,B,,B 23,69.582,4 pokoje z aneksem,3 piętro,BALKON,,120002.0,False,/pl-pl/wroclaw/mieszkanie?id=osiedle zielna_4_2_b_mk_23,/getmedia/2f743a05-295a-4d77-a2e4-d5c68f805fa1/OSIEDLE%20ZIELNA_4_2_B_MK_23_Rzut%203D_1.webp?width=276,2026-07-24,,wroclaw|OSIEDLE ZIELNA|B|B 23
wroclaw,WILLE BISKUPIN,F,,F 8,57.192,3 pokoje z aneksem,2 piętro,BALKON,,190002.0,False,/pl-pl/wroclaw/mieszkanie?id=wille biskupin_1_1_f_mk_8,/getmedia/b68622a0-cdca-4ef9-bbc3-5f867a347bcc/WILLE%20BISKUPIN_1_1_F_MK_8_Rzut%203D_1.jpg?width=276,2026-07-24,,wroclaw|WILLE BISKUPIN|F|F 8
wroclaw,WILLE BISKUPIN,I,,I 6,75.962,4 pokoje z aneksem,1 piętro,BALKON,,197002.0,False,/pl-pl/wroclaw/mieszkanie?id=wille biskupin_1_2_i_mk_6,/getmedia/6049ae59-a95d-461c-a95a-43d4ac0d8359/WILLE%20BISKUPIN_1_2_I_MK_6_Rzut%203D_1.jpg?width=276,2026-07-24,,wroclaw|WILLE BISKUPIN|I|I 6
wroclaw,WILLE BISKUPIN,Y,,Y 7,58.932,3 pokoje z aneksem,2 piętro,BALKON,,192002.0,False,/pl-pl/wroclaw/mieszkanie?id=wille biskupin_2_2_y_mk_7,/getmedia/20a72343-9506-47f8-afa1-0729f1cb7d3a/[WILLE%20BISKUPIN_2_2_Y_2_7][MK][RZUT][Plan%20mieszkania]_l.jpg?width=276,2026-07-24,,wroclaw|WILLE BISKUPIN|Y|Y 7
warszawa,APARTAMENTY BEETHOVENA,A,,A 59,75.952,4 pokoje z aneksem,2 piętro,BALKON,204502.0,215002.0,True,/pl-pl/warszawa/mieszkanie?id=apartamenty beethovena_1_1_a_mk_59,/getmedia/75efc8bc-44ac-42f4-9637-24fd5b1e95f1/APARTAMENTY%20BEETHOVENA_1_1_A_MK_59_Rzut%203D_1.jpg?width=276,2026-07-24,15532335.904,warszawa|APARTAMENTY BEETHOVENA|A|A 59
warszawa,APARTAMENTY BEETHOVENA,A,,A 46,35.472,2 pokoje z aneksem,Parter,BALKON,,229002.0,False,/pl-pl/warszawa/mieszkanie?id=apartamenty beethovena_1_1_a_mk_46,/getmedia/5552646b-64b5-4685-b9f9-1197e7393f7c/APARTAMENTY%20BEETHOVENA_1_1_A_MK_46_Rzut%203D_1.jpg?width=276,2026-07-24,,warszawa|APARTAMENTY BEETHOVENA|A|A 46
warszawa,APARTAMENTY BEETHOVENA,B,,B 43,57.522,3 pokoje z aneksem,3 piętro,BALKON,,224002.0,False,/pl-pl/warszawa/mieszkanie?id=apartamenty beethovena_1_1_b_mk_43,/getmedia/1cb29736-fc1e-4ecc-a9eb-8ab1011fb112/APARTAMENTY%20BEETHOVENA_1_1_B_MK_43_Rzut%203D_1.jpg?width=276,2026-07-24,,warszawa|APARTAMENTY BEETHOVENA|B|B 43
warszawa,APARTAMENTY LITERACKA,F,,F 57,118.062,5 pokoi z aneksem,11 piętro,LOGGIA,,216002.0,False,/pl-pl/warszawa/mieszkanie?id=apartamenty literacka_2_3_f_mk_57,/getmedia/6cde9186-55f2-47e3-83dc-c8cd706c5339/APARTAMENTY%20LITERACKA_2_3_F_MK_57_Rzut%203D_1.jpg?width=276,2026-07-24,,warszawa|APARTAMENTY LITERACKA|F|F 57
warszawa,APARTAMENTY METRO WILANOWSKA,A,,A 127,39.922,2 pokoje z aneksem,3 piętro,LOGGIA,,282002.0,False,/pl-pl/warszawa/mieszkanie?id=apartamenty metro wilanowska_1_1_a_mk_127,/getmedia/55c30d3c-4076-4b3f-b2ae-8e5ff320c15f/APARTAMENTY%20METRO%20WILANOWSKA_1_1_A_MK_127_Rzut%203D_1.jpg?width=276,2026-07-24,,warszawa|APARTAMENTY METRO WILANOWSKA|A|A 127
warszawa,APARTAMENTY METRO WILANOWSKA,A,,A 255,47.962,3 pokoje z aneksem,5 piętro,LOGGIA,,257002.0,False,/pl-pl/warszawa/mieszkanie?id=apartamenty metro wilanowska_1_1_a_mk_255,/getmedia/6f65bd22-9280-4c15-85e5-b10b7dd25566/APARTAMENTY%20METRO%20WILANOWSKA_1_1_A_MK_255_Rzut%203D_1.jpg?width=276,2026-07-24,,warszawa|APARTAMENTY METRO WILANOWSKA|A|A 255
warszawa,APARTAMENTY MYŚLIBORSKA PARK,G,,G 1,59.652,3 pokoje z aneksem,Parter,,,158502.0,False,/pl-pl/warszawa/mieszkanie?id=mysliborska 11_1_1_g_mk_1,/getmedia/3c383ead-ceca-4324-bfef-8bb7f729c637/[MY%c5%9aLIBORSKA%2011_1_1_G_0_1][MK][RZUT][Plan%20mieszkania]_l.jpg?width=276,2026-07-24,,warszawa|APARTAMENTY MYŚLIBORSKA PARK|G|G 1
warszawa,APARTAMENTY MYŚLIBORSKA PARK,G,,G 15,38.542,2 pokoje z aneksem,2 piętro,BALKON,,170002.0,False,/pl-pl/warszawa/mieszkanie?id=mysliborska 11_1_1_g_mk_15,/getmedia/3591a576-bf22-4973-9425-9f03198443e8/[MY%c5%9aLIBORSKA%2011_1_1_G_2_15][MK][RZUT][Plan%20mieszkania]_l.jpg?width=276,2026-07-24,,warszawa|APARTAMENTY MYŚLIBORSKA PARK|G|G 15
warszawa,DZIELNICA MIESZKANIOWA METRO ZACHÓD,B,,B 42,35.892,2 pokoje z aneksem,Parter,,,197002.0,False,/pl-pl/warszawa/mieszkanie?id=metro zachod_8_2_b_mk_42,/getmedia/842bea9e-08c1-4711-b4b0-b0f67f51368a/METRO%20ZACH%c3%93D_8_2_B_MK_42_Rzut%203D_1.jpg?width=276,2026-07-24,,warszawa|DZIELNICA MIESZKANIOWA METRO ZACHÓD|B|B 42
warszawa,DZIELNICA MIESZKANIOWA METRO ZACHÓD,B,,B 60,35.892,2 pokoje z aneksem,3 piętro,BALKON,,198002.0,False,/pl-pl/warszawa/mieszkanie?id=metro zachod_8_2_b_mk_60,/getmedia/a0e707dd-258c-4249-8e8f-839b542f6910/METRO%20ZACH%c3%93D_8_2_B_MK_60_Rzut%203D_1.jpg?width=276,2026-07-24,,warszawa|DZIELNICA MIESZKANIOWA METRO ZACHÓD|B|B 60
warszawa,DZIELNICA MIESZKANIOWA METRO ZACHÓD,D,,D 90,80.162,4 pokoje z aneksem,1 piętro,BALKON,,175002.0,False,/pl-pl/warszawa/mieszkanie?id=metro zachod_8_2_d_mk_90,/getmedia/33d740f0-44ea-4ff1-aae1-32909ca11697/METRO%20ZACH%c3%93D_8_2_D_MK_90_Rzut%203D_1.jpg?width=276,2026-07-24,,warszawa|DZIELNICA MIESZKANIOWA METRO ZACHÓD|D|D 90
