inwestycja,miasto,liczba_zdjetych,liczba_dodanych,dostepnych_2026-03-08,dostepnych_2026-03-14
29. ALEJA,krakow,3,1,85,83
APARTAMENTY BEETHOVENA,warszawa,2,0,76,74
APARTAMENTY GRZYBOWSKA 11,warszawa,3,3,103,105
APARTAMENTY LITERACKA,warszawa,10,8,244,243
APARTAMENTY NAD OŁAWKĄ,wroclaw,4,0,57,53
APARTAMENTY PARK MATECZNEGO,krakow,4,2,223,221
DZIELNICA MIESZKANIOWA METRO ZACHÓD,warszawa,10,5,210,204
ESENCJA,trojmiasto,2,0,60,58
HUBSKA 100,wroclaw,6,2,42,38
KONSTELACJA,trojmiasto,1,0,86,85
LOCUS 2,trojmiasto,1,1,90,90
MOKOTÓW SPORTOWY,warszawa,6,6,60,60
OSIEDLE ARKADIA,wroclaw,9,0,118,109
OSIEDLE BOKSERSKA 71,warszawa,5,2,143,140
OSIEDLE MIESZKANIOWE GÓRKA NARODOWA,krakow,3,1,33,31
OSIEDLE MIĘDZYLESKA,wroclaw,5,1,107,103
OSIEDLE MYŚLIBORSKA,warszawa,2,8,117,123
OSIEDLE PRZY BŁONIACH 3,trojmiasto,2,0,132,130
OSIEDLE PRZY RYŻOWEJ,warszawa,1,0,2,1
OSIEDLE PRZY WIELICKIEJ,krakow,1,0,77,76
OSIEDLE RAPSODIA,wroclaw,10,2,124,116
OSIEDLE URBINO,warszawa,6,2,121,117
OSIEDLE WILNO,warszawa,5,1,62,57
OSIEDLE ZIELNA,wroclaw,1,1,7,7
OSOBOWICKA 114,wroclaw,4,0,55,51
PERSPEKTYWA,trojmiasto,1,0,1,0
PRZYSTAŃ BRZEŹNO,trojmiasto,2,0,27,25
SYNTEZA,trojmiasto,1,0,33,32
WARSZAWSKA,trojmiasto,3,0,78,75
WILLE BISKUPIN,wroclaw,1,0,56,55
ZAJEZDNIA MOTŁAWA,trojmiasto,3,0,62,59
APARTAMENTY RUDNICKIEGO,warszawa,0,1,10,11
APARTAMENTY NAD RZEKĄ,wroclaw,0,0,1,1
BRANIBORSKA 80,wroclaw,0,0,1,1
DOKI,trojmiasto,0,0,149,149
LEŚNA GÓRA,trojmiasto,0,0,37,37
OSIEDLE PRZY MALBORSKIEJ,krakow,0,0,21,21
