inwestycja,miasto,liczba_zdjetych,liczba_dodanych,dostepnych_2026-02-08,dostepnych_2026-02-14
29. ALEJA,krakow,1,0,97,96
APARTAMENTY BEETHOVENA,warszawa,12,1,91,80
APARTAMENTY GRZYBOWSKA 11,warszawa,2,0,104,102
APARTAMENTY LITERACKA,warszawa,1,1,10,10
APARTAMENTY NAD OŁAWKĄ,wroclaw,4,1,68,65
APARTAMENTY NAD RZEKĄ,wroclaw,2,0,6,4
APARTAMENTY PARK MATECZNEGO,krakow,2,0,154,153
APARTAMENTY RUDNICKIEGO,warszawa,2,1,15,14
DZIELNICA MIESZKANIOWA METRO ZACHÓD,warszawa,10,5,254,248
KONSTELACJA,trojmiasto,4,0,101,97
LEŚNA GÓRA,trojmiasto,1,0,39,38
LOCUS 2,trojmiasto,1,0,97,96
MOKOTÓW SPORTOWY,warszawa,7,6,83,82
OSIEDLE BOKSERSKA 71,warszawa,3,1,153,151
OSIEDLE MIESZKANIOWE GÓRKA NARODOWA,krakow,1,0,35,34
OSIEDLE MIĘDZYLESKA,wroclaw,3,0,121,118
OSIEDLE MYŚLIBORSKA,warszawa,1,0,132,131
OSIEDLE PRZY BŁONIACH 3,trojmiasto,4,0,144,140
OSIEDLE PRZY WIELICKIEJ,krakow,1,0,82,81
OSIEDLE RAPSODIA,wroclaw,6,1,138,133
OSIEDLE URBINO,warszawa,7,1,144,137
OSIEDLE WILNO,warszawa,3,0,80,77
OSOBOWICKA 114,wroclaw,1,1,57,57
PRZYSTAŃ BRZEŹNO,trojmiasto,1,0,33,32
SYNTEZA,trojmiasto,2,0,42,40
WARSZAWSKA,trojmiasto,5,0,92,87
OSIEDLE PRZY MALBORSKIEJ,krakow,0,1,20,21
ZAJEZDNIA MOTŁAWA,trojmiasto,0,1,66,67
BRANIBORSKA 80,wroclaw,0,0,2,2
DOKI,trojmiasto,0,0,156,156
ESENCJA,trojmiasto,0,0,60,60
HUBSKA 100,wroclaw,0,0,42,42
OSIEDLE ARKADIA,wroclaw,0,0,32,32
OSIEDLE HARMONIA,wroclaw,0,0,1,1
OSIEDLE PRZY RYŻOWEJ,warszawa,0,0,1,1
OSIEDLE ZIELNA,wroclaw,0,0,8,8
PERSPEKTYWA,trojmiasto,0,0,1,1
WILLE BISKUPIN,wroclaw,0,0,55,55
WZGÓRZE HOPLITY,trojmiasto,0,0,3,3
