inwestycja,miasto,liczba_zdjetych,liczba_dodanych,dostepnych_2026-03-01,dostepnych_2026-03-07
29. ALEJA,krakow,4,3,86,85
APARTAMENTY BEETHOVENA,warszawa,6,1,81,76
APARTAMENTY GRZYBOWSKA 11,warszawa,1,1,103,103
APARTAMENTY LITERACKA,warszawa,27,2,275,251
APARTAMENTY NAD OŁAWKĄ,wroclaw,2,1,58,57
APARTAMENTY NAD RZEKĄ,wroclaw,1,0,2,1
APARTAMENTY PARK MATECZNEGO,krakow,4,3,224,223
DOKI,trojmiasto,1,0,150,149
DZIELNICA MIESZKANIOWA METRO ZACHÓD,warszawa,12,5,218,211
KONSTELACJA,trojmiasto,2,0,88,86
LEŚNA GÓRA,trojmiasto,1,0,38,37
LOCUS 2,trojmiasto,1,0,91,90
MOKOTÓW SPORTOWY,warszawa,3,1,69,67
OSIEDLE ARKADIA,wroclaw,4,0,123,119
OSIEDLE BOKSERSKA 71,warszawa,2,0,145,143
OSIEDLE MIESZKANIOWE GÓRKA NARODOWA,krakow,1,2,32,33
OSIEDLE MIĘDZYLESKA,wroclaw,3,0,110,107
OSIEDLE MYŚLIBORSKA,warszawa,7,0,124,117
OSIEDLE PRZY BŁONIACH 3,trojmiasto,4,2,134,133
OSIEDLE PRZY WIELICKIEJ,krakow,2,0,79,77
OSIEDLE RAPSODIA,wroclaw,5,1,128,124
OSIEDLE URBINO,warszawa,2,0,125,120
OSIEDLE WILNO,warszawa,5,1,66,62
OSIEDLE ZIELNA,wroclaw,2,0,9,7
SYNTEZA,trojmiasto,1,0,34,33
WARSZAWSKA,trojmiasto,3,0,81,78
ZAJEZDNIA MOTŁAWA,trojmiasto,2,0,64,62
WILLE BISKUPIN,wroclaw,0,1,55,56
APARTAMENTY RUDNICKIEGO,warszawa,0,0,10,10
BRANIBORSKA 80,wroclaw,0,0,1,1
ESENCJA,trojmiasto,0,0,60,60
HUBSKA 100,wroclaw,0,0,42,42
OSIEDLE PRZY MALBORSKIEJ,krakow,0,0,21,21
OSIEDLE PRZY RYŻOWEJ,warszawa,0,0,2,2
OSOBOWICKA 114,wroclaw,0,0,55,55
PERSPEKTYWA,trojmiasto,0,0,1,1
PRZYSTAŃ BRZEŹNO,trojmiasto,0,0,27,27
