inwestycja,miasto,liczba_zdjetych,liczba_dodanych,dostepnych_2025-12-07,dostepnych_2025-12-13
29. ALEJA,krakow,9,2,114,107
APARTAMENTY BEETHOVENA,warszawa,4,1,106,103
APARTAMENTY GRZYBOWSKA 11,warszawa,4,2,114,112
APARTAMENTY LITERACKA,warszawa,4,3,26,25
APARTAMENTY NAD OŁAWKĄ,wroclaw,3,0,96,93
APARTAMENTY PARK MATECZNEGO,krakow,2,1,179,178
DOKI,trojmiasto,5,0,175,170
DZIELNICA MIESZKANIOWA METRO ZACHÓD,warszawa,13,12,329,330
ESENCJA,trojmiasto,1,0,67,66
HUBSKA 100,wroclaw,4,0,62,58
KONSTELACJA,trojmiasto,11,97,43,138
LEŚNA GÓRA,trojmiasto,1,0,43,42
LOCUS 2,trojmiasto,3,0,62,59
MOKOTÓW SPORTOWY,warszawa,3,0,110,107
OSIEDLE ARKADIA,wroclaw,1,0,39,38
OSIEDLE BOKSERSKA 71,warszawa,2,1,175,174
OSIEDLE HARMONIA MOKOTÓW,warszawa,2,6,12,16
OSIEDLE MIESZKANIOWE GÓRKA NARODOWA,krakow,5,0,53,48
OSIEDLE MIĘDZYLESKA,wroclaw,2,0,136,134
OSIEDLE MYŚLIBORSKA,warszawa,6,0,153,147
OSIEDLE PRZY ALEJACH,warszawa,6,2,6,3
OSIEDLE PRZY BŁONIACH 3,trojmiasto,2,0,159,158
OSIEDLE PRZY WIELICKIEJ,krakow,3,0,99,96
OSIEDLE RAPSODIA,wroclaw,6,0,65,59
OSIEDLE URBINO,warszawa,9,1,195,184
OSIEDLE WILNO,warszawa,12,0,147,136
OSOBOWICKA 114,wroclaw,1,0,61,60
PRZYSTAŃ BRZEŹNO,trojmiasto,1,0,51,50
SYNTEZA,trojmiasto,4,0,56,52
WARSZAWSKA,trojmiasto,3,1,112,110
WZGÓRZE HOPLITY,trojmiasto,1,1,7,7
ZAJEZDNIA MOTŁAWA,trojmiasto,10,3,69,63
APARTAMENTY NAD RZEKĄ,wroclaw,0,1,5,6
APARTAMENTY RUDNICKIEGO,warszawa,0,0,27,27
BRANIBORSKA 80,wroclaw,0,0,2,2
JASKÓŁCZA,trojmiasto,0,0,2,2
LEMA,trojmiasto,0,0,1,1
OSIEDLE HARMONIA,wroclaw,0,0,2,2
OSIEDLE PRZY FORCIE,warszawa,0,0,1,1
OSIEDLE PRZY MALBORSKIEJ,krakow,0,0,24,24
OSIEDLE PRZY RYŻOWEJ,warszawa,0,0,2,2
OSIEDLE ZIELNA,wroclaw,0,0,10,10
PERSPEKTYWA,trojmiasto,0,0,1,1
WIDOKI,trojmiasto,0,0,1,1
WILLE BISKUPIN,wroclaw,0,0,59,59
