inwestycja,miasto,liczba_zdjetych,liczba_dodanych,dostepnych_2026-04-19,dostepnych_2026-04-25
29. ALEJA,krakow,1,0,71,70
APARTAMENTY BEETHOVENA,warszawa,4,4,55,56
APARTAMENTY GRZYBOWSKA 11,warszawa,4,0,94,90
APARTAMENTY KAMIEŃSKIEGO,wroclaw,1,0,48,47
APARTAMENTY LITERACKA,warszawa,7,2,216,213
APARTAMENTY NAD OŁAWKĄ,wroclaw,4,0,45,41
APARTAMENTY PARK MATECZNEGO,krakow,8,1,205,198
APARTAMENTY RUDNICKIEGO,warszawa,1,1,6,7
BEAUFORTA 2,trojmiasto,1,0,1,0
DOKI,trojmiasto,6,3,141,138
DZIELNICA MIESZKANIOWA METRO ZACHÓD,warszawa,17,11,157,151
KONSTELACJA,trojmiasto,7,1,73,67
LOCUS 2,trojmiasto,4,0,84,80
MOKOTÓW SPORTOWY,warszawa,4,1,50,47
OSIEDLE ARKADIA,wroclaw,1,0,87,86
OSIEDLE BOKSERSKA 71,warszawa,15,2,117,104
OSIEDLE MIESZKANIOWE GÓRKA NARODOWA,krakow,3,0,17,14
OSIEDLE MIĘDZYLESKA,wroclaw,3,0,94,91
OSIEDLE MYŚLIBORSKA,warszawa,1,1,112,112
OSIEDLE PRZY BŁONIACH 3,trojmiasto,2,0,110,109
OSIEDLE PRZY WIELICKIEJ,krakow,1,2,217,218
OSIEDLE RAPSODIA,wroclaw,4,0,103,99
OSIEDLE URBINO,warszawa,7,4,185,180
OSIEDLE WILNO,warszawa,10,1,174,166
PRZYSTANEK PRĄDNIK,krakow,1,0,109,108
PRZYSTAŃ BRZEŹNO,trojmiasto,4,46,60,102
SYNTEZA,trojmiasto,1,0,25,24
WARSZAWSKA,trojmiasto,5,0,57,52
WILLE BISKUPIN,wroclaw,7,1,84,78
ZAJEZDNIA MOTŁAWA,trojmiasto,1,1,48,48
APARTAMENTY NAD RZEKĄ,wroclaw,0,1,2,3
GDAŃSKIE ZACISZE,trojmiasto,0,16,59,75
OSIEDLE PRZY ALEJACH,warszawa,0,1,0,1
WIDOKI,trojmiasto,0,1,0,1
BRANIBORSKA 80,wroclaw,0,0,1,1
ESENCJA,trojmiasto,0,0,57,57
HUBSKA 100,wroclaw,0,0,31,31
LEŚNA GÓRA,trojmiasto,0,0,36,36
OSIEDLE PRZY MALBORSKIEJ,krakow,0,0,19,19
OSIEDLE PRZY RYŻOWEJ,warszawa,0,0,2,2
OSIEDLE ZIELNA,wroclaw,0,0,4,4
OSOBOWICKA 114,wroclaw,0,0,47,47
