inwestycja,miasto,liczba_zdjetych,liczba_dodanych,dostepnych_2026-06-07,dostepnych_2026-06-13
APARTAMENTY BEETHOVENA,warszawa,3,1,53,51
APARTAMENTY GRZYBOWSKA 11,warszawa,2,0,88,86
APARTAMENTY KAMIEŃSKIEGO,wroclaw,1,1,42,42
APARTAMENTY LITERACKA,warszawa,8,5,201,199
APARTAMENTY METRO WILANOWSKA,warszawa,13,4,227,218
APARTAMENTY NAD OŁAWKĄ,wroclaw,2,1,30,29
APARTAMENTY PARK MATECZNEGO,krakow,2,0,175,173
APARTAMENTY RUDNICKIEGO,warszawa,1,0,2,1
DZIELNICA MIESZKANIOWA METRO ZACHÓD,warszawa,12,3,103,96
HUBSKA 100,wroclaw,3,0,26,23
KONSTELACJA,trojmiasto,2,0,49,47
LOCUS 2,trojmiasto,2,1,71,70
MOKOTÓW SPORTOWY,warszawa,2,2,36,36
OSIEDLE ARKADIA,wroclaw,3,0,78,75
OSIEDLE BOKSERSKA 71,warszawa,3,3,255,255
OSIEDLE MIĘDZYLESKA,wroclaw,4,2,81,79
OSIEDLE MYŚLIBORSKA,warszawa,2,0,104,102
OSIEDLE PRZY MALBORSKIEJ,krakow,2,0,14,13
OSIEDLE PRZY WIELICKIEJ,krakow,9,2,211,204
OSIEDLE URBINO,warszawa,11,2,137,129
OSIEDLE WILNO,warszawa,6,2,144,141
OSIEDLE ZIELNA,wroclaw,1,0,3,3
PRZYSTANEK PRĄDNIK,krakow,1,0,102,101
PRZYSTAŃ BRZEŹNO,trojmiasto,2,7,125,130
SYNTEZA,trojmiasto,2,0,21,19
WARSZAWSKA,trojmiasto,7,0,128,121
WILLE BISKUPIN,wroclaw,3,0,75,72
29. ALEJA,krakow,0,0,59,59
APARTAMENTY NAD RZEKĄ,wroclaw,0,0,4,4
BRANIBORSKA 80,wroclaw,0,0,1,1
DOKI,trojmiasto,0,0,127,127
ESENCJA,trojmiasto,0,0,56,56
GDAŃSKIE ZACISZE,trojmiasto,0,0,73,73
LEŚNA GÓRA,trojmiasto,0,0,34,34
OSIEDLE MIESZKANIOWE GÓRKA NARODOWA,krakow,0,0,9,9
OSIEDLE PRZY BŁONIACH 3,trojmiasto,0,0,93,93
OSIEDLE PRZY RYŻOWEJ,warszawa,0,0,1,1
OSIEDLE RAPSODIA,wroclaw,0,0,86,86
OSOBOWICKA 114,wroclaw,0,0,44,44
WZGÓRZE MARKOWCA,trojmiasto,0,0,70,70
ZAJEZDNIA MOTŁAWA,trojmiasto,0,0,42,42
