inwestycja,miasto,liczba_zdjetych,liczba_dodanych,dostepnych_2026-01-11,dostepnych_2026-01-17
29. ALEJA,krakow,2,1,100,99
APARTAMENTY BEETHOVENA,warszawa,3,1,104,102
APARTAMENTY GRZYBOWSKA 11,warszawa,1,3,104,106
APARTAMENTY LITERACKA,warszawa,6,0,23,17
APARTAMENTY NAD OŁAWKĄ,wroclaw,3,0,81,78
APARTAMENTY PARK MATECZNEGO,krakow,1,0,166,165
APARTAMENTY RUDNICKIEGO,warszawa,2,1,23,22
DZIELNICA MIESZKANIOWA METRO ZACHÓD,warszawa,31,7,304,282
ESENCJA,trojmiasto,1,0,62,61
HUBSKA 100,wroclaw,3,1,58,56
KONSTELACJA,trojmiasto,6,0,118,112
LEMA,trojmiasto,1,0,1,0
LEŚNA GÓRA,trojmiasto,1,0,42,41
MOKOTÓW SPORTOWY,warszawa,5,1,95,91
OSIEDLE ARKADIA,wroclaw,1,1,34,34
OSIEDLE BOKSERSKA 71,warszawa,1,1,161,161
OSIEDLE HARMONIA,wroclaw,1,0,2,1
OSIEDLE HARMONIA MOKOTÓW,warszawa,3,0,8,5
OSIEDLE MIESZKANIOWE GÓRKA NARODOWA,krakow,4,1,43,40
OSIEDLE MIĘDZYLESKA,wroclaw,2,0,133,131
OSIEDLE MYŚLIBORSKA,warszawa,2,3,143,144
OSIEDLE PRZY ALEJACH,warszawa,2,0,3,1
OSIEDLE PRZY BŁONIACH 3,trojmiasto,3,0,154,151
OSIEDLE PRZY FORCIE,warszawa,1,0,1,0
OSIEDLE RAPSODIA,wroclaw,3,118,48,163
OSIEDLE URBINO,warszawa,9,1,172,163
OSIEDLE WILNO,warszawa,10,1,117,107
OSIEDLE ZIELNA,wroclaw,1,0,12,11
OSOBOWICKA 114,wroclaw,1,0,60,59
PRZYSTAŃ BRZEŹNO,trojmiasto,3,3,34,34
WILLE BISKUPIN,wroclaw,1,0,58,57
ZAJEZDNIA MOTŁAWA,trojmiasto,1,14,62,75
OSIEDLE PRZY RYŻOWEJ,warszawa,0,1,2,3
OSIEDLE PRZY WIELICKIEJ,krakow,0,1,88,89
APARTAMENTY NAD RZEKĄ,wroclaw,0,0,6,6
BRANIBORSKA 80,wroclaw,0,0,3,3
DOKI,trojmiasto,0,0,160,160
JASKÓŁCZA,trojmiasto,0,0,1,1
LOCUS 2,trojmiasto,0,0,53,53
OSIEDLE PRZY MALBORSKIEJ,krakow,0,0,20,20
PERSPEKTYWA,trojmiasto,0,0,1,1
SYNTEZA,trojmiasto,0,0,45,45
WARSZAWSKA,trojmiasto,0,0,102,102
WZGÓRZE HOPLITY,trojmiasto,0,0,4,4
