city,investment,building,handover_date,flat,area_m2,rooms,floor,logy,price_new_zlm2,price_old_zlm2,promo,link,img,date_scraped,total_price_zl,key
warszawa,MOKOTÓW SPORTOWY,B,,B 3,81.252,5 pokoi z aneksem,Parter,LOGGIA,130002.0,138502.0,True,/pl-pl/warszawa/mieszkanie?id=mokotow sportowy_1_3_b_mk_3,/getmedia/27979ad1-5fca-4b02-8b06-9edb86ce9197/[MOKOT%c3%93W%20SPORTOWY_1_3_B_0_3][MK][RZUT][Plan%20mieszkania]_l.jpg?width=276,2026-09-15,10562922.504,warszawa|MOKOTÓW SPORTOWY|B|B 3
warszawa,MOKOTÓW SPORTOWY,C,,C 78,31.542,2 pokoje z aneksem,Parter,LOGGIA,,,False,/pl-pl/warszawa/mieszkanie?id=mokotow sportowy_1_3_c_mk_78,/getmedia/1f2773c5-7f63-4b7a-8289-b936b8f6491e/[MOKOT%c3%93W%20SPORTOWY_1_3_C_0_78][MK][RZUT][Plan%20mieszkania]_l.jpg?width=276,2026-09-15,,warszawa|MOKOTÓW SPORTOWY|C|C 78
warszawa,MOKOTÓW SPORTOWY,D,,D 48,26.812,1 pokój z aneksem,3 piętro,BALKON,,,False,/pl-pl/warszawa/mieszkanie?id=mokotow sportowy_1_3_d_mk_48,/getmedia/a9702872-80c4-44d9-bcf9-6abc594b9d31/MOKOT%c3%93W%20SPORTOWY_1_3_D_MK_48_Rzut%203D_1.jpg?width=276,2026-09-15,,warszawa|MOKOTÓW SPORTOWY|D|D 48
warszawa,OSIEDLE BOKSERSKA 71,E,,E 18,39.722,2 pokoje z aneksem,4 piętro,BALKON,,,False,/pl-pl/warszawa/mieszkanie?id=bokserska 71_2_3_e_mk_18,/getmedia/7b04cb34-7a33-40cc-8b86-61257edd4d7f/BOKSERSKA%2071_2_3_E_MK_18_Rzut%203D_1.jpg?width=276,2026-09-15,,warszawa|OSIEDLE BOKSERSKA 71|E|E 18
warszawa,OSIEDLE URBINO,C,,C 48,37.332,2 pokoje z aneksem,5 piętro,BALKON,,,False,/pl-pl/warszawa/mieszkanie?id=urbino_4_2_c_mk_48,/getmedia/6e31072e-d90a-4f1e-a454-7d56f4f61342/URBINO_4_2_C_MK_48_Rzut%203D_1.jpg?width=276,2026-09-15,,warszawa|OSIEDLE URBINO|C|C 48
warszawa,OSIEDLE URBINO,E,,E 21,64.892,4 pokoje z aneksem,4 piętro,"BALKON, LOGGIA",,,False,/pl-pl/warszawa/mieszkanie?id=urbino_4_3_e_mk_21,/getmedia/48166a3b-0efc-492c-957c-44a7d071b53b/[URBINO_4_3_E_4_21][MK][RZUT][Plan%20mieszkania]_l.jpg?width=276,2026-09-15,,warszawa|OSIEDLE URBINO|E|E 21
trojmiasto,OSIEDLE PRZY BŁONIACH 3,B4,,B4 40,36.082,2 pokoje z aneksem,3 piętro,BALKON,,,False,/pl-pl/trojmiasto/mieszkanie?id=przy bloniach 3_1_3_b4_mk_40,/getmedia/4cb3f9d5-9d5c-42b7-82e8-f88a02b5b02c/PRZY%20B%c5%81ONIACH%203_1_3_B4_MK_40_Rzut%203D_1.png?width=276,2026-09-15,,trojmiasto|OSIEDLE PRZY BŁONIACH 3|B4|B4 40
trojmiasto,ZAJEZDNIA MOTŁAWA,B1,,B1 10,28.972,1 pokój z aneksem,1 piętro,,,,False,/pl-pl/trojmiasto/mieszkanie?id=zajezdnia motlawa_1_1_b1_mk_10,/getmedia/034d5e62-b08c-44ef-b357-d300db31485a/ZAJEZDNIA%20MOT%c5%81AWA_1_1_B1_MK_10_Rzut%203D_1.png?width=276,2026-09-15,,trojmiasto|ZAJEZDNIA MOTŁAWA|B1|B1 10
krakow,OSIEDLE PRZY WIELICKIEJ,B,,B-116,74.392,4 pokoje z aneksem,6 piętro,BALKON,,,False,/pl-pl/krakow/mieszkanie?id=osiedle przy wielickiej_1_2_b_mk_116,/getmedia/4bb7d3d2-f979-4d53-8f70-c9006a0a0fc9/OSIEDLE%20PRZY%20WIELICKIEJ_1_2_B_MK_116_Rzut%203D_1.jpg?width=276,2026-09-16,,krakow|OSIEDLE PRZY WIELICKIEJ|B|B-116
warszawa,APARTAMENTY BEETHOVENA,A,,A 2,35.402,2 pokoje z aneksem,Parter,BALKON,,,False,/pl-pl/warszawa/mieszkanie?id=apartamenty beethovena_1_1_a_mk_2,/getmedia/4086f1fc-2813-4cee-b8eb-fb31bc2a27bd/APARTAMENTY%20BEETHOVENA_1_1_A_MK_2_Rzut%203D_1.jpg?width=276,2026-09-17,,warszawa|APARTAMENTY BEETHOVENA|A|A 2
