inwestycja,miasto,liczba_zdjetych,liczba_dodanych,dostepnych_2026-05-10,dostepnych_2026-05-16
29. ALEJA,krakow,1,0,64,63
APARTAMENTY BEETHOVENA,warszawa,3,1,52,50
APARTAMENTY GRZYBOWSKA 11,warszawa,1,0,90,89
APARTAMENTY KAMIEŃSKIEGO,wroclaw,2,0,45,43
APARTAMENTY LITERACKA,warszawa,3,5,203,205
APARTAMENTY METRO WILANOWSKA,warszawa,16,5,241,230
APARTAMENTY PARK MATECZNEGO,krakow,4,0,189,185
APARTAMENTY RUDNICKIEGO,warszawa,3,2,3,3
DOKI,trojmiasto,3,1,133,131
DZIELNICA MIESZKANIOWA METRO ZACHÓD,warszawa,7,2,141,136
HUBSKA 100,wroclaw,2,0,30,28
KONSTELACJA,trojmiasto,2,4,63,65
LEŚNA GÓRA,trojmiasto,1,0,35,34
LOCUS 2,trojmiasto,3,1,78,76
MOKOTÓW SPORTOWY,warszawa,7,2,40,35
OSIEDLE ARKADIA,wroclaw,2,0,84,82
OSIEDLE BOKSERSKA 71,warszawa,7,1,268,262
OSIEDLE MIESZKANIOWE GÓRKA NARODOWA,krakow,1,0,13,12
OSIEDLE MYŚLIBORSKA,warszawa,2,2,108,108
OSIEDLE PRZY BŁONIACH 3,trojmiasto,1,0,105,104
OSIEDLE PRZY MALBORSKIEJ,krakow,1,0,18,17
OSIEDLE PRZY WIELICKIEJ,krakow,4,0,218,214
OSIEDLE RAPSODIA,wroclaw,3,0,97,94
OSIEDLE URBINO,warszawa,8,1,168,159
OSIEDLE WILNO,warszawa,7,1,155,149
PRZYSTANEK PRĄDNIK,krakow,1,0,107,106
PRZYSTAŃ BRZEŹNO,trojmiasto,5,2,139,136
SYNTEZA,trojmiasto,1,0,23,22
WIDOKI,trojmiasto,1,0,1,0
WILLE BISKUPIN,wroclaw,6,0,80,74
WZGÓRZE MARKOWCA,trojmiasto,4,3,80,79
ZAJEZDNIA MOTŁAWA,trojmiasto,1,0,46,45
ESENCJA,trojmiasto,0,1,57,58
APARTAMENTY NAD OŁAWKĄ,wroclaw,0,0,37,37
APARTAMENTY NAD RZEKĄ,wroclaw,0,0,4,4
BRANIBORSKA 80,wroclaw,0,0,2,2
GDAŃSKIE ZACISZE,trojmiasto,0,0,75,75
OSIEDLE MIĘDZYLESKA,wroclaw,0,0,87,87
OSIEDLE PRZY RYŻOWEJ,warszawa,0,0,1,1
OSIEDLE ZIELNA,wroclaw,0,0,3,3
OSOBOWICKA 114,wroclaw,0,0,47,47
WARSZAWSKA,trojmiasto,0,0,49,49
