inwestycja,miasto,liczba_zdjetych,liczba_dodanych,dostepnych_2026-09-06,dostepnych_2026-09-12
APARTAMENTY BEETHOVENA,warszawa,1,3,47,49
APARTAMENTY GRZYBOWSKA 11,warszawa,2,1,77,76
APARTAMENTY LITERACKA,warszawa,5,3,135,133
APARTAMENTY METRO WILANOWSKA,warszawa,2,0,209,207
APARTAMENTY MYŚLIBORSKA PARK,warszawa,1,0,138,137
APARTAMENTY PARK MATECZNEGO,krakow,2,2,136,136
DOKI,trojmiasto,2,0,110,108
DZIELNICA MIESZKANIOWA METRO ZACHÓD,warszawa,3,2,33,32
HUBSKA 100,wroclaw,7,0,8,1
KONSTELACJA,trojmiasto,4,0,98,94
LEŚNA GÓRA,trojmiasto,2,0,29,27
LOCUS 2,trojmiasto,2,3,53,54
MOKOTÓW SPORTOWY,warszawa,10,2,250,242
OSIEDLE ARKADIA,wroclaw,1,0,45,44
OSIEDLE BOKSERSKA 71,warszawa,5,5,211,211
OSIEDLE MIĘDZYLESKA,wroclaw,3,0,194,189
OSIEDLE MYŚLIBORSKA,warszawa,8,2,73,67
OSIEDLE PARK ŚWIETLIKÓW,wroclaw,1,0,58,57
OSIEDLE PRZY BŁONIACH 3,trojmiasto,3,1,106,104
OSIEDLE PRZY MALBORSKIEJ,krakow,1,2,6,7
OSIEDLE PRZY WIELICKIEJ,krakow,2,1,186,185
OSIEDLE RAPSODIA,wroclaw,3,0,67,64
OSIEDLE URBINO,warszawa,4,7,140,144
OSIEDLE WILNO,warszawa,2,0,302,297
OSOBOWICKA 114,wroclaw,1,0,35,34
PRZYSTANEK PRĄDNIK,krakow,3,213,65,275
PRZYSTAŃ BRZEŹNO,trojmiasto,3,0,112,109
SYNTEZA,trojmiasto,3,0,7,4
WARSZAWSKA,trojmiasto,3,0,85,82
WILLE BISKUPIN,wroclaw,7,2,59,54
WZGÓRZE MARKOWCA,trojmiasto,1,0,62,61
ZAJEZDNIA MOTŁAWA,trojmiasto,31,0,155,124
APARTAMENTY KAMIEŃSKIEGO,wroclaw,0,1,23,24
APARTAMENTY NAD OŁAWKĄ,wroclaw,0,1,11,12
ESENCJA,trojmiasto,0,3,50,53
OSIEDLE MIESZKANIOWE GÓRKA NARODOWA,krakow,0,2,2,4
29. ALEJA,krakow,0,0,28,28
APARTAMENTY NAD RZEKĄ,wroclaw,0,0,2,2
APARTAMENTY RUDNICKIEGO,warszawa,0,0,1,1
GDAŃSKIE ZACISZE,trojmiasto,0,0,65,65
ORZECHOWA,trojmiasto,0,0,115,115
OSIEDLE PRZY RYŻOWEJ,warszawa,0,0,1,1
OSIEDLE ZIELNA,wroclaw,0,0,1,1
