inwestycja,miasto,liczba_zdjetych,liczba_dodanych,dostepnych_2026-03-22,dostepnych_2026-03-28
29. ALEJA,krakow,3,0,81,78
APARTAMENTY BEETHOVENA,warszawa,5,5,67,67
APARTAMENTY GRZYBOWSKA 11,warszawa,1,1,100,100
APARTAMENTY KAMIEŃSKIEGO,wroclaw,3,60,0,60
APARTAMENTY LITERACKA,warszawa,17,2,239,225
APARTAMENTY NAD OŁAWKĄ,wroclaw,5,0,53,48
APARTAMENTY PARK MATECZNEGO,krakow,3,1,215,213
APARTAMENTY RUDNICKIEGO,warszawa,3,1,7,5
DOKI,trojmiasto,4,0,147,143
DZIELNICA MIESZKANIOWA METRO ZACHÓD,warszawa,26,5,188,167
HUBSKA 100,wroclaw,1,0,38,37
KONSTELACJA,trojmiasto,1,0,78,77
LEŚNA GÓRA,trojmiasto,1,0,37,36
LOCUS 2,trojmiasto,2,0,92,90
MOKOTÓW SPORTOWY,warszawa,16,0,61,46
OSIEDLE ARKADIA,wroclaw,9,1,102,94
OSIEDLE BOKSERSKA 71,warszawa,10,3,136,130
OSIEDLE MIESZKANIOWE GÓRKA NARODOWA,krakow,3,0,27,24
OSIEDLE MIĘDZYLESKA,wroclaw,2,0,97,95
OSIEDLE MYŚLIBORSKA,warszawa,2,1,121,120
OSIEDLE PRZY BŁONIACH 3,trojmiasto,6,1,125,120
OSIEDLE PRZY WIELICKIEJ,krakow,6,152,77,227
OSIEDLE RAPSODIA,wroclaw,3,0,113,110
OSIEDLE URBINO,warszawa,8,3,106,100
OSIEDLE WILNO,warszawa,9,0,50,41
OSIEDLE ZIELNA,wroclaw,1,0,7,6
OSOBOWICKA 114,wroclaw,1,0,51,50
PRZYSTANEK PRĄDNIK,krakow,3,0,121,118
PRZYSTAŃ BRZEŹNO,trojmiasto,6,0,69,63
SYNTEZA,trojmiasto,2,0,29,27
WARSZAWSKA,trojmiasto,7,2,71,66
WILLE BISKUPIN,wroclaw,2,0,52,50
ZAJEZDNIA MOTŁAWA,trojmiasto,4,0,60,56
GDAŃSKIE ZACISZE,trojmiasto,0,62,0,62
OSIEDLE PRZY ALEJACH,warszawa,0,1,0,1
APARTAMENTY NAD RZEKĄ,wroclaw,0,0,1,1
BEAUFORTA 2,trojmiasto,0,0,1,1
BRANIBORSKA 80,wroclaw,0,0,1,1
ESENCJA,trojmiasto,0,0,56,56
OSIEDLE PRZY MALBORSKIEJ,krakow,0,0,21,21
OSIEDLE PRZY RYŻOWEJ,warszawa,0,0,1,1
