inwestycja,miasto,liczba_zdjetych,liczba_dodanych,dostepnych_2026-06-28,dostepnych_2026-07-04
29. ALEJA,krakow,2,0,52,50
APARTAMENTY GRZYBOWSKA 11,warszawa,2,0,84,82
APARTAMENTY KAMIEŃSKIEGO,wroclaw,1,0,39,38
APARTAMENTY LITERACKA,warszawa,5,5,184,184
APARTAMENTY MYŚLIBORSKA PARK,warszawa,2,0,156,154
APARTAMENTY NAD OŁAWKĄ,wroclaw,2,0,26,24
APARTAMENTY PARK MATECZNEGO,krakow,3,1,167,165
APARTAMENTY RUDNICKIEGO,warszawa,1,0,1,0
DZIELNICA MIESZKANIOWA METRO ZACHÓD,warszawa,8,2,77,71
ESENCJA,trojmiasto,1,0,54,53
GDAŃSKIE ZACISZE,trojmiasto,2,0,72,70
HUBSKA 100,wroclaw,2,0,21,19
KONSTELACJA,trojmiasto,2,0,44,42
LEŚNA GÓRA,trojmiasto,1,0,32,31
LOCUS 2,trojmiasto,3,0,69,66
MOKOTÓW SPORTOWY,warszawa,14,0,348,330
ORZECHOWA,trojmiasto,2,2,115,115
OSIEDLE ARKADIA,wroclaw,3,0,73,70
OSIEDLE BOKSERSKA 71,warszawa,2,1,251,250
OSIEDLE MIESZKANIOWE GÓRKA NARODOWA,krakow,1,0,8,7
OSIEDLE MIĘDZYLESKA,wroclaw,1,0,204,201
OSIEDLE MYŚLIBORSKA,warszawa,3,1,94,92
OSIEDLE PRZY BŁONIACH 3,trojmiasto,4,0,82,78
OSIEDLE PRZY WIELICKIEJ,krakow,2,0,195,193
OSIEDLE RAPSODIA,wroclaw,2,0,86,84
OSIEDLE URBINO,warszawa,3,0,125,122
OSIEDLE WILNO,warszawa,14,0,365,349
PRZYSTANEK PRĄDNIK,krakow,1,0,85,84
SYNTEZA,trojmiasto,1,0,18,17
WARSZAWSKA,trojmiasto,2,0,122,120
WILLE BISKUPIN,wroclaw,3,0,63,62
APARTAMENTY METRO WILANOWSKA,warszawa,0,4,216,220
APARTAMENTY NAD RZEKĄ,wroclaw,0,3,0,3
DOKI,trojmiasto,0,1,127,128
APARTAMENTY BEETHOVENA,warszawa,0,0,53,53
OSIEDLE PRZY MALBORSKIEJ,krakow,0,0,11,11
OSIEDLE PRZY RYŻOWEJ,warszawa,0,0,1,1
OSIEDLE ZIELNA,wroclaw,0,0,2,2
OSOBOWICKA 114,wroclaw,0,0,44,44
PRZYSTAŃ BRZEŹNO,trojmiasto,0,0,126,126
WZGÓRZE MARKOWCA,trojmiasto,0,0,68,68
ZAJEZDNIA MOTŁAWA,trojmiasto,0,0,46,46
