city,investment,building,handover_date,flat,area_m2,rooms,floor,logy,price_new_zlm2,price_old_zlm2,promo,link,img,date_scraped,total_price_zl,key
warszawa,APARTAMENTY BEETHOVENA,C,,C 13,86.482,4 pokoje z aneksem,1 piętro,BALKON,,,False,/pl-pl/warszawa/mieszkanie?id=apartamenty beethovena_2_1_c_mk_13,/getmedia/1438bd09-15fd-4feb-a2d6-ead9054c3588/APARTAMENTY%20BEETHOVENA_2_1_C_MK_13_Rzut%203D_1.jpg?width=276,2026-05-26,,warszawa|APARTAMENTY BEETHOVENA|C|C 13
warszawa,APARTAMENTY GRZYBOWSKA 11,A,,A 89,38.372,2 pokoje z aneksem,4 piętro,LOGGIA,,,False,/pl-pl/warszawa/mieszkanie?id=apartamenty grzybowska 11_1_1_a_mk_89,/getmedia/38cc87c5-4796-4373-a9d1-9dc3fde5b887/APARTAMENTY%20GRZYBOWSKA%2011_1_1_A_MK_89_Rzut%203D_1.jpg?width=276,2026-05-26,,warszawa|APARTAMENTY GRZYBOWSKA 11|A|A 89
warszawa,APARTAMENTY LITERACKA,F,,F 29,51.792,3 pokoje z aneksem,5 piętro,LOGGIA,,,False,/pl-pl/warszawa/mieszkanie?id=apartamenty literacka_2_3_f_mk_29,/getmedia/b5969d04-6585-4e10-9efa-5e97f61ebcbd/APARTAMENTY%20LITERACKA_2_3_F_MK_29_Rzut%203D_1.jpg?width=276,2026-05-26,,warszawa|APARTAMENTY LITERACKA|F|F 29
warszawa,APARTAMENTY METRO WILANOWSKA,A,,A 67,69.642,4 pokoje z aneksem,6 piętro,,,,False,/pl-pl/warszawa/mieszkanie?id=apartamenty metro wilanowska_1_1_a_mk_67,/getmedia/8b842788-baf3-4cf2-ade1-0aaefb7a1905/[APARTAMENTY%20METRO%20WILANOWSKA_1_1_A_6_67][MK][RZUT][Plan%20mieszkania]_l.jpg?width=276,2026-05-26,,warszawa|APARTAMENTY METRO WILANOWSKA|A|A 67
warszawa,APARTAMENTY METRO WILANOWSKA,A,,A 169,72.582,4 pokoje z aneksem,5 piętro,LOGGIA,,,False,/pl-pl/warszawa/mieszkanie?id=apartamenty metro wilanowska_1_1_a_mk_169,/getmedia/55b71b01-da11-424e-aa72-f9b5e2fab263/[APARTAMENTY%20METRO%20WILANOWSKA_1_1_A_5_169][MK][RZUT][Plan%20mieszkania]_l.jpg?width=276,2026-05-26,,warszawa|APARTAMENTY METRO WILANOWSKA|A|A 169
warszawa,DZIELNICA MIESZKANIOWA METRO ZACHÓD,B,,B 94,81.622,4 pokoje z aneksem,4 piętro,BALKON,,,False,/pl-pl/warszawa/mieszkanie?id=metro zachod_8_2_b_mk_94,/getmedia/fb0c8957-0816-47aa-a7e3-35d29f4fb163/METRO%20ZACH%c3%93D_8_2_B_MK_94_Rzut%203D_1.jpg?width=276,2026-05-26,,warszawa|DZIELNICA MIESZKANIOWA METRO ZACHÓD|B|B 94
warszawa,MOKOTÓW SPORTOWY,A,,A 4,39.252,2 pokoje z aneksem,1 piętro,BALKON,,,False,/pl-pl/warszawa/mieszkanie?id=mokotow sportowy_3_1_a_mk_4,/getmedia/fff23197-609f-47bb-9765-2c84369d4028/MOKOT%c3%93W%20SPORTOWY_3_1_A_MK_4_Rzut%203D_1.jpg?width=276,2026-05-26,,warszawa|MOKOTÓW SPORTOWY|A|A 4
trojmiasto,ZAJEZDNIA MOTŁAWA,B1,,B1 43,34.222,2 pokoje z aneksem,4 piętro,BALKON,,,False,/pl-pl/trojmiasto/mieszkanie?id=zajezdnia motlawa_1_1_b1_mk_43,/getmedia/69332605-959b-4e3d-94a0-4b5583cefc64/ZAJEZDNIA%20MOT%c5%81AWA_1_1_B1_MK_43_Rzut%203D_1.png?width=276,2026-05-26,,trojmiasto|ZAJEZDNIA MOTŁAWA|B1|B1 43
wroclaw,OSIEDLE RAPSODIA,D,,D 11,29.552,1 pokój z aneksem,1 piętro,BALKON,144402.0,152002.0,True,/pl-pl/wroclaw/mieszkanie?id=osiedle rapsodia_2_1_d_mk_11,/getmedia/4eae95b9-457b-47bb-b7ed-5c0543c998b1/OSIEDLE%20RAPSODIA_2_1_D_MK_11_Rzut%203D_1.jpg?width=276,2026-05-27,4267367.904,wroclaw|OSIEDLE RAPSODIA|D|D 11
warszawa,APARTAMENTY BEETHOVENA,A,,A 48,53.632,3 pokoje z aneksem,Parter,BALKON,,,False,/pl-pl/warszawa/mieszkanie?id=apartamenty beethovena_1_1_a_mk_48,/getmedia/6ac97c4a-0c1f-45b4-9fa1-7b19af8962d2/APARTAMENTY%20BEETHOVENA_1_1_A_MK_48_Rzut%203D_1.jpg?width=276,2026-05-27,,warszawa|APARTAMENTY BEETHOVENA|A|A 48
warszawa,APARTAMENTY LITERACKA,F,,F 30,37.342,2 pokoje z aneksem,5 piętro,LOGGIA,,,False,/pl-pl/warszawa/mieszkanie?id=apartamenty literacka_2_3_f_mk_30,/getmedia/be573903-db27-4545-91d6-27054daa1060/APARTAMENTY%20LITERACKA_2_3_F_MK_30_Rzut%203D_1.jpg?width=276,2026-05-27,,warszawa|APARTAMENTY LITERACKA|F|F 30
warszawa,APARTAMENTY METRO WILANOWSKA,A,,A 54,37.852,2 pokoje z aneksem,5 piętro,LOGGIA,,,False,/pl-pl/warszawa/mieszkanie?id=apartamenty metro wilanowska_1_1_a_mk_54,/getmedia/6233de13-8bc3-4d9c-be71-8b824b2dd73d/[APARTAMENTY%20METRO%20WILANOWSKA_1_1_A_5_54][MK][RZUT][Plan%20mieszkania]_l.jpg?width=276,2026-05-27,,warszawa|APARTAMENTY METRO WILANOWSKA|A|A 54
warszawa,APARTAMENTY METRO WILANOWSKA,A,,A 71,35.832,2 pokoje z aneksem,6 piętro,LOGGIA,,,False,/pl-pl/warszawa/mieszkanie?id=apartamenty metro wilanowska_1_1_a_mk_71,/getmedia/4c6ae9a0-fee4-43a0-8cf2-af9cf51cba95/[APARTAMENTY%20METRO%20WILANOWSKA_1_1_A_6_71][MK][RZUT][Plan%20mieszkania]_l.jpg?width=276,2026-05-27,,warszawa|APARTAMENTY METRO WILANOWSKA|A|A 71
warszawa,DZIELNICA MIESZKANIOWA METRO ZACHÓD,E,,E 31,36.352,2 pokoje z aneksem,2 piętro,BALKON,,,False,/pl-pl/warszawa/mieszkanie?id=metro zachod_8_3_e_mk_31,/getmedia/bb2824ce-9f00-4a75-9ea2-b78731c34b37/METRO%20ZACH%c3%93D_8_3_E_MK_31_Rzut%203D_1.jpg?width=276,2026-05-27,,warszawa|DZIELNICA MIESZKANIOWA METRO ZACHÓD|E|E 31
warszawa,DZIELNICA MIESZKANIOWA METRO ZACHÓD,E,,E 97,36.272,2 pokoje z aneksem,3 piętro,BALKON,,,False,/pl-pl/warszawa/mieszkanie?id=metro zachod_8_3_e_mk_97,/getmedia/7ca1ede9-8c16-470b-9489-78b47731b117/METRO%20ZACH%c3%93D_8_3_E_MK_97_Rzut%203D_1.jpg?width=276,2026-05-27,,warszawa|DZIELNICA MIESZKANIOWA METRO ZACHÓD|E|E 97
warszawa,OSIEDLE BOKSERSKA 71,D,,D 66,45.752,2 pokoje z aneksem,Parter,BALKON,,,False,/pl-pl/warszawa/mieszkanie?id=bokserska 71_2_3_d_mk_66,/getmedia/717733ef-437d-4248-b69b-b618c4ed4408/BOKSERSKA%2071_2_3_D_MK_66_Rzut%203D_1.jpg?width=276,2026-05-27,,warszawa|OSIEDLE BOKSERSKA 71|D|D 66
