city,investment,building,handover_date,flat,area_m2,rooms,floor,logy,price_new_zlm2,price_old_zlm2,promo,link,img,date_scraped,total_price_zl,key
krakow,APARTAMENTY PARK MATECZNEGO,D,,D-66,47.922,2 pokoje z aneksem,5 piętro,BALKON,,,False,/pl-pl/krakow/mieszkanie?id=apartamenty park matecznego_1_3_d_mk_66,/getmedia/fd0ef190-c566-43cb-9c4f-9be186c7a6b0/APARTAMENTY%20PARK%20MATECZNEGO_1_3_D_MK_66_Rzut%203D_1.jpg?width=276,2026-08-25,,krakow|APARTAMENTY PARK MATECZNEGO|D|D-66
krakow,OSIEDLE PRZY WIELICKIEJ,B,,B-20,39.362,2 pokoje z aneksem,3 piętro,LOGGIA,,,False,/pl-pl/krakow/mieszkanie?id=osiedle przy wielickiej_1_2_b_mk_20,/getmedia/1531b36d-7785-4d28-9192-0bf9542bda41/OSIEDLE%20PRZY%20WIELICKIEJ_1_2_B_MK_20_Rzut%203D_1.jpg?width=276,2026-08-25,,krakow|OSIEDLE PRZY WIELICKIEJ|B|B-20
wroclaw,OSOBOWICKA 114,A,,A 22,72.182,4 pokoje z aneksem,2 piętro,BALKON,,,False,/pl-pl/wroclaw/mieszkanie?id=osobowicka 114_1_1_a_mk_22,/getmedia/88af5a32-c22f-48d5-a5c3-30ee99c3441f/OSOBOWICKA%20114_1_1_A_MK_22_Rzut%203D_1.jpg?width=276,2026-08-25,,wroclaw|OSOBOWICKA 114|A|A 22
warszawa,OSIEDLE MYŚLIBORSKA,A,,A 84,35.692,2 pokoje z aneksem,4 piętro,BALKON,,,False,/pl-pl/warszawa/mieszkanie?id=mysliborska 27_1_1_a_mk_84,/getmedia/806b46e6-4c32-4a2e-bcb9-c86feeca1773/MY%c5%9aLIBORSKA%2027_1_1_A_MK_84_Rzut%203D_1.jpg?width=276,2026-08-25,,warszawa|OSIEDLE MYŚLIBORSKA|A|A 84
trojmiasto,OSIEDLE PRZY BŁONIACH 3,B6,,B6 2,35.242,2 pokoje z aneksem,Parter,,,,False,/pl-pl/trojmiasto/mieszkanie?id=przy bloniach 3_1_4_b6_mk_2,/getmedia/4447b167-a402-4505-b354-4509f45950e8/PRZY%20B%c5%81ONIACH%203_1_4_B6_MK_2_Rzut%203D_1.png?width=276,2026-08-25,,trojmiasto|OSIEDLE PRZY BŁONIACH 3|B6|B6 2
krakow,APARTAMENTY PARK MATECZNEGO,H,,H-21,74.392,4 pokoje z aneksem,1 piętro,,,,False,/pl-pl/krakow/mieszkanie?id=apartamenty park matecznego_2_2_h_mk_21,/getmedia/0e3a24b5-f01b-4ec9-894b-4091f8fa24df/APARTAMENTY%20PARK%20MATECZNEGO_2_2_H_MK_21_Rzut%203D_1.jpg?width=276,2026-08-26,,krakow|APARTAMENTY PARK MATECZNEGO|H|H-21
krakow,APARTAMENTY PARK MATECZNEGO,H,,H-48,45.322,2 pokoje z aneksem,1 piętro,BALKON,,,False,/pl-pl/krakow/mieszkanie?id=apartamenty park matecznego_2_2_h_mk_48,/getmedia/c2085db2-7871-47b4-afc0-efac427b9229/APARTAMENTY%20PARK%20MATECZNEGO_2_2_H_MK_48_Rzut%203D_1.jpg?width=276,2026-08-26,,krakow|APARTAMENTY PARK MATECZNEGO|H|H-48
krakow,OSIEDLE PRZY WIELICKIEJ,B,,B-74,86.552,4 pokoje z aneksem,5 piętro,BALKON,,,False,/pl-pl/krakow/mieszkanie?id=osiedle przy wielickiej_1_2_b_mk_74,/getmedia/292c9053-e051-47c7-a980-15aadf85ee21/OSIEDLE%20PRZY%20WIELICKIEJ_1_2_B_MK_74_Rzut%203D_1.jpg?width=276,2026-08-26,,krakow|OSIEDLE PRZY WIELICKIEJ|B|B-74
warszawa,APARTAMENTY LITERACKA,F,,F 79,40.012,2 pokoje z aneksem,3 piętro,LOGGIA,,,False,/pl-pl/warszawa/mieszkanie?id=apartamenty literacka_2_3_f_mk_79,/getmedia/fdaa4e82-5f68-44b7-82ac-a6c1ca3a7b5c/APARTAMENTY%20LITERACKA_2_3_F_MK_79_Rzut%203D_1.jpg?width=276,2026-08-26,,warszawa|APARTAMENTY LITERACKA|F|F 79
warszawa,MOKOTÓW SPORTOWY,E,,E 20,74.232,4 pokoje z aneksem,4 piętro,BALKON,,,False,/pl-pl/warszawa/mieszkanie?id=mokotow sportowy_1_3_e_mk_20,/getmedia/8af8b4de-40d3-4d81-a133-19a4aeaa4c4b/MOKOT%c3%93W%20SPORTOWY_1_3_E_MK_20_Rzut%203D_1.jpg?width=276,2026-08-26,,warszawa|MOKOTÓW SPORTOWY|E|E 20
