inwestycja,miasto,liczba_zdjetych,liczba_dodanych,dostepnych_2026-08-23,dostepnych_2026-08-29
29. ALEJA,krakow,7,0,35,28
APARTAMENTY BEETHOVENA,warszawa,2,4,46,48
APARTAMENTY KAMIEŃSKIEGO,wroclaw,2,0,26,24
APARTAMENTY LITERACKA,warszawa,10,3,148,142
APARTAMENTY MYŚLIBORSKA PARK,warszawa,1,0,141,140
APARTAMENTY NAD OŁAWKĄ,wroclaw,2,1,12,11
APARTAMENTY NAD RZEKĄ,wroclaw,1,0,3,2
APARTAMENTY PARK MATECZNEGO,krakow,6,4,141,139
DOKI,trojmiasto,4,0,114,110
DZIELNICA MIESZKANIOWA METRO ZACHÓD,warszawa,6,3,47,44
HUBSKA 100,wroclaw,1,0,9,8
KONSTELACJA,trojmiasto,8,73,34,104
LEŚNA GÓRA,trojmiasto,2,0,31,29
LOCUS 2,trojmiasto,3,0,58,55
MOKOTÓW SPORTOWY,warszawa,14,6,269,262
ORZECHOWA,trojmiasto,2,0,117,115
OSIEDLE ARKADIA,wroclaw,5,0,53,48
OSIEDLE BOKSERSKA 71,warszawa,6,4,216,214
OSIEDLE MIESZKANIOWE GÓRKA NARODOWA,krakow,2,0,4,2
OSIEDLE MIĘDZYLESKA,wroclaw,2,0,197,193
OSIEDLE MYŚLIBORSKA,warszawa,4,3,77,76
OSIEDLE PARK ŚWIETLIKÓW,wroclaw,2,1,59,58
OSIEDLE PRZY BŁONIACH 3,trojmiasto,5,1,111,107
OSIEDLE PRZY MALBORSKIEJ,krakow,2,0,8,6
OSIEDLE PRZY WIELICKIEJ,krakow,6,13,181,188
OSIEDLE RAPSODIA,wroclaw,4,1,74,71
OSIEDLE URBINO,warszawa,30,107,60,148
OSIEDLE WILNO,warszawa,6,5,305,305
OSOBOWICKA 114,wroclaw,2,1,37,36
PRZYSTANEK PRĄDNIK,krakow,3,1,69,67
PRZYSTAŃ BRZEŹNO,trojmiasto,2,0,119,117
WARSZAWSKA,trojmiasto,3,0,90,87
WILLE BISKUPIN,wroclaw,4,0,65,61
WZGÓRZE MARKOWCA,trojmiasto,1,0,64,63
APARTAMENTY METRO WILANOWSKA,warszawa,0,1,207,208
APARTAMENTY GRZYBOWSKA 11,warszawa,0,0,77,77
ESENCJA,trojmiasto,0,0,51,51
GDAŃSKIE ZACISZE,trojmiasto,0,0,65,65
OSIEDLE PRZY RYŻOWEJ,warszawa,0,0,1,1
OSIEDLE ZIELNA,wroclaw,0,0,1,1
SYNTEZA,trojmiasto,0,0,7,7
ZAJEZDNIA MOTŁAWA,trojmiasto,0,0,44,44
