inwestycja,miasto,liczba_zdjetych,liczba_dodanych,dostepnych_2026-04-26,dostepnych_2026-05-02
29. ALEJA,krakow,5,0,69,64
APARTAMENTY GRZYBOWSKA 11,warszawa,1,0,90,89
APARTAMENTY KAMIEŃSKIEGO,wroclaw,2,0,47,45
APARTAMENTY LITERACKA,warszawa,5,5,214,214
APARTAMENTY NAD OŁAWKĄ,wroclaw,4,1,41,38
APARTAMENTY PARK MATECZNEGO,krakow,6,0,198,192
APARTAMENTY RUDNICKIEGO,warszawa,1,1,7,7
DOKI,trojmiasto,4,0,138,134
DZIELNICA MIESZKANIOWA METRO ZACHÓD,warszawa,14,5,151,143
ESENCJA,trojmiasto,1,0,57,56
HUBSKA 100,wroclaw,2,1,31,30
KONSTELACJA,trojmiasto,2,0,67,65
LEŚNA GÓRA,trojmiasto,1,0,36,35
LOCUS 2,trojmiasto,2,0,79,77
MOKOTÓW SPORTOWY,warszawa,12,1,47,38
OSIEDLE ARKADIA,wroclaw,2,0,86,84
OSIEDLE BOKSERSKA 71,warszawa,10,10,104,104
OSIEDLE MIESZKANIOWE GÓRKA NARODOWA,krakow,1,0,14,13
OSIEDLE MIĘDZYLESKA,wroclaw,4,0,91,87
OSIEDLE MYŚLIBORSKA,warszawa,3,1,112,111
OSIEDLE PRZY BŁONIACH 3,trojmiasto,3,0,109,106
OSIEDLE PRZY WIELICKIEJ,krakow,1,0,218,217
OSIEDLE RAPSODIA,wroclaw,2,1,99,98
OSIEDLE URBINO,warszawa,11,1,179,169
OSIEDLE WILNO,warszawa,5,2,164,159
OSIEDLE ZIELNA,wroclaw,1,0,4,3
PRZYSTANEK PRĄDNIK,krakow,2,1,108,107
PRZYSTAŃ BRZEŹNO,trojmiasto,3,0,102,99
WARSZAWSKA,trojmiasto,2,0,52,50
WILLE BISKUPIN,wroclaw,1,3,78,80
ZAJEZDNIA MOTŁAWA,trojmiasto,2,0,48,46
APARTAMENTY BEETHOVENA,warszawa,0,2,54,56
APARTAMENTY NAD RZEKĄ,wroclaw,0,1,3,4
BRANIBORSKA 80,wroclaw,0,1,1,2
WZGÓRZE MARKOWCA,trojmiasto,0,85,0,85
GDAŃSKIE ZACISZE,trojmiasto,0,0,75,75
OSIEDLE PRZY ALEJACH,warszawa,0,0,1,1
OSIEDLE PRZY MALBORSKIEJ,krakow,0,0,19,19
OSIEDLE PRZY RYŻOWEJ,warszawa,0,0,2,2
OSOBOWICKA 114,wroclaw,0,0,47,47
SYNTEZA,trojmiasto,0,0,24,24
WIDOKI,trojmiasto,0,0,1,1
