inwestycja,miasto,liczba_zdjetych,liczba_dodanych,dostepnych_2026-01-04,dostepnych_2026-01-10
29. ALEJA,krakow,2,0,102,100
APARTAMENTY GRZYBOWSKA 11,warszawa,1,3,104,106
APARTAMENTY LITERACKA,warszawa,2,3,21,22
APARTAMENTY NAD OŁAWKĄ,wroclaw,3,0,84,81
APARTAMENTY PARK MATECZNEGO,krakow,1,0,167,166
APARTAMENTY RUDNICKIEGO,warszawa,1,1,24,24
DZIELNICA MIESZKANIOWA METRO ZACHÓD,warszawa,8,13,298,303
HUBSKA 100,wroclaw,1,0,59,58
JASKÓŁCZA,trojmiasto,1,0,2,1
KONSTELACJA,trojmiasto,3,0,121,118
OSIEDLE BOKSERSKA 71,warszawa,6,1,166,161
OSIEDLE HARMONIA MOKOTÓW,warszawa,2,0,10,8
OSIEDLE MYŚLIBORSKA,warszawa,3,0,146,143
OSIEDLE PRZY BŁONIACH 3,trojmiasto,1,0,155,154
OSIEDLE PRZY RYŻOWEJ,warszawa,1,0,3,2
OSIEDLE PRZY WIELICKIEJ,krakow,1,0,89,88
OSIEDLE RAPSODIA,wroclaw,2,0,50,48
OSIEDLE URBINO,warszawa,2,4,174,173
OSIEDLE WILNO,warszawa,7,1,126,119
OSOBOWICKA 114,wroclaw,1,1,60,60
PRZYSTAŃ BRZEŹNO,trojmiasto,1,0,35,34
SYNTEZA,trojmiasto,1,0,46,45
WIDOKI,trojmiasto,1,0,1,0
ZAJEZDNIA MOTŁAWA,trojmiasto,1,1,62,62
OSIEDLE MIĘDZYLESKA,wroclaw,0,2,132,134
OSIEDLE ZIELNA,wroclaw,0,1,11,12
APARTAMENTY BEETHOVENA,warszawa,0,0,104,104
APARTAMENTY NAD RZEKĄ,wroclaw,0,0,6,6
BRANIBORSKA 80,wroclaw,0,0,3,3
DOKI,trojmiasto,0,0,160,160
ESENCJA,trojmiasto,0,0,62,62
LEMA,trojmiasto,0,0,1,1
LEŚNA GÓRA,trojmiasto,0,0,42,42
LOCUS 2,trojmiasto,0,0,53,53
MOKOTÓW SPORTOWY,warszawa,0,0,97,97
OSIEDLE ARKADIA,wroclaw,0,0,34,34
OSIEDLE HARMONIA,wroclaw,0,0,2,2
OSIEDLE MIESZKANIOWE GÓRKA NARODOWA,krakow,0,0,43,43
OSIEDLE PRZY ALEJACH,warszawa,0,0,4,4
OSIEDLE PRZY FORCIE,warszawa,0,0,1,1
OSIEDLE PRZY MALBORSKIEJ,krakow,0,0,20,20
PERSPEKTYWA,trojmiasto,0,0,1,1
WARSZAWSKA,trojmiasto,0,0,102,102
WILLE BISKUPIN,wroclaw,0,0,58,58
WZGÓRZE HOPLITY,trojmiasto,0,0,4,4
