inwestycja,miasto,liczba_zdjetych,liczba_dodanych,dostepnych_2026-09-13,dostepnych_2026-09-19
29. ALEJA,krakow,4,0,26,22
APARTAMENTY BEETHOVENA,warszawa,7,3,47,44
APARTAMENTY LITERACKA,warszawa,4,0,129,125
APARTAMENTY METRO WILANOWSKA,warszawa,9,2,204,197
APARTAMENTY MYŚLIBORSKA PARK,warszawa,5,0,137,132
APARTAMENTY NAD OŁAWKĄ,wroclaw,4,0,12,8
APARTAMENTY NAD RZEKĄ,wroclaw,1,0,2,1
APARTAMENTY PARK MATECZNEGO,krakow,3,0,135,132
APARTAMENTY RUDNICKIEGO,warszawa,1,0,1,0
DOKI,trojmiasto,3,0,108,105
DZIELNICA MIESZKANIOWA METRO ZACHÓD,warszawa,7,1,32,27
ESENCJA,trojmiasto,1,0,53,52
KONSTELACJA,trojmiasto,2,0,94,93
LOCUS 2,trojmiasto,2,0,54,52
MOKOTÓW SPORTOWY,warszawa,24,6,238,221
ORZECHOWA,trojmiasto,1,0,115,114
OSIEDLE ARKADIA,wroclaw,1,0,44,43
OSIEDLE BOKSERSKA 71,warszawa,8,6,207,205
OSIEDLE MIESZKANIOWE GÓRKA NARODOWA,krakow,1,0,4,3
OSIEDLE MIĘDZYLESKA,wroclaw,1,1,189,188
OSIEDLE MYŚLIBORSKA,warszawa,6,1,66,61
OSIEDLE PARK ŚWIETLIKÓW,wroclaw,2,0,57,55
OSIEDLE PRZY BŁONIACH 3,trojmiasto,5,1,102,98
OSIEDLE PRZY MALBORSKIEJ,krakow,2,0,7,5
OSIEDLE RAPSODIA,wroclaw,3,0,63,60
OSIEDLE URBINO,warszawa,19,6,144,130
OSIEDLE WILNO,warszawa,1,1,296,296
PRZYSTANEK PRĄDNIK,krakow,4,1,275,272
PRZYSTAŃ BRZEŹNO,trojmiasto,10,0,106,96
WARSZAWSKA,trojmiasto,3,0,82,79
WILLE BISKUPIN,wroclaw,4,0,53,50
ZAJEZDNIA MOTŁAWA,trojmiasto,3,1,126,124
APARTAMENTY GRZYBOWSKA 11,warszawa,0,1,76,77
LEŚNA GÓRA,trojmiasto,0,1,26,27
OSIEDLE PRZY WIELICKIEJ,krakow,0,1,185,186
APARTAMENTY KAMIEŃSKIEGO,wroclaw,0,0,24,24
GDAŃSKIE ZACISZE,trojmiasto,0,0,65,65
HUBSKA 100,wroclaw,0,0,1,1
OSIEDLE PRZY RYŻOWEJ,warszawa,0,0,1,1
OSIEDLE ZIELNA,wroclaw,0,0,1,1
OSOBOWICKA 114,wroclaw,0,0,34,34
SYNTEZA,trojmiasto,0,0,4,4
WZGÓRZE MARKOWCA,trojmiasto,0,0,61,61
