city,investment,building,handover_date,flat,area_m2,rooms,floor,logy,price_new_zlm2,price_old_zlm2,promo,link,img,date_scraped,total_price_zl,key
krakow,29. ALEJA,C,,C-55,42.682,2 pokoje z aneksem,1 piętro,LOGGIA,,,False,/pl-pl/krakow/mieszkanie?id=29. aleja_2_2_c_mk_55,/getmedia/24b3713b-d8b5-4a05-be71-d94061552844/29.%20ALEJA_2_2_C_MK_55_Rzut%203D_1.jpg?width=276,2026-08-18,,krakow|29. ALEJA|C|C-55
krakow,OSIEDLE PRZY WIELICKIEJ,B,,B-86,72.772,4 pokoje z aneksem,1 piętro,,,,False,/pl-pl/krakow/mieszkanie?id=osiedle przy wielickiej_1_2_b_mk_86,/getmedia/1611ef37-6955-4ebf-9a5c-5b0681412475/OSIEDLE%20PRZY%20WIELICKIEJ_1_2_B_MK_86_Rzut%203D_1.jpg?width=276,2026-08-18,,krakow|OSIEDLE PRZY WIELICKIEJ|B|B-86
warszawa,APARTAMENTY BEETHOVENA,A,,A 54,75.952,4 pokoje z aneksem,1 piętro,BALKON,,,False,/pl-pl/warszawa/mieszkanie?id=apartamenty beethovena_1_1_a_mk_54,/getmedia/db6aa5b9-3eed-42ba-a215-93224069b8e0/APARTAMENTY%20BEETHOVENA_1_1_A_MK_54_Rzut%203D_1.jpg?width=276,2026-08-18,,warszawa|APARTAMENTY BEETHOVENA|A|A 54
warszawa,APARTAMENTY LITERACKA,E,,E 21,42.172,2 pokoje z aneksem,3 piętro,LOGGIA,,,False,/pl-pl/warszawa/mieszkanie?id=apartamenty literacka_2_2_e_mk_21,/getmedia/40a15eb1-78e9-46e9-9574-74e47a19fe80/APARTAMENTY%20LITERACKA_2_2_E_MK_21_Rzut%203D_1.jpg?width=276,2026-08-18,,warszawa|APARTAMENTY LITERACKA|E|E 21
warszawa,APARTAMENTY METRO WILANOWSKA,A,,A 239,48.222,3 pokoje z aneksem,4 piętro,LOGGIA,239502.0,255002.0,True,/pl-pl/warszawa/mieszkanie?id=apartamenty metro wilanowska_1_1_a_mk_239,/getmedia/83442932-0c9e-49a9-8677-e60ff70c1c25/APARTAMENTY%20METRO%20WILANOWSKA_1_1_A_MK_239_Rzut%203D_1.jpg?width=276,2026-08-18,11549265.444,warszawa|APARTAMENTY METRO WILANOWSKA|A|A 239
krakow,29. ALEJA,C,,C-99,42.922,2 pokoje z aneksem,6 piętro,LOGGIA,167442.0,182002.0,True,/pl-pl/krakow/mieszkanie?id=29. aleja_2_2_c_mk_99,/getmedia/78aca359-cce2-48bc-a0fd-6701d26c1d61/29.%20ALEJA_2_2_C_MK_99_Rzut%203D_1.jpg?width=276,2026-08-19,7186945.523999999,krakow|29. ALEJA|C|C-99
krakow,OSIEDLE PRZY WIELICKIEJ,B,,B-47,40.112,2 pokoje z aneksem,1 piętro,BALKON,,,False,/pl-pl/krakow/mieszkanie?id=osiedle przy wielickiej_1_2_b_mk_47,/getmedia/4df791e0-0369-4656-95ee-a3b3eb47e234/OSIEDLE%20PRZY%20WIELICKIEJ_1_2_B_MK_47_Rzut%203D_1.jpg?width=276,2026-08-19,,krakow|OSIEDLE PRZY WIELICKIEJ|B|B-47
krakow,PRZYSTANEK PRĄDNIK,D,,D-97,104.292,5 pokoi z aneksem,1 piętro,LOGGIA,118442.0,126002.0,True,/pl-pl/krakow/mieszkanie?id=przystanek pradnik_1_1_d_mk_97,/getmedia/3295038e-745f-441f-814e-d2670c51ae14/PRZYSTANEK%20PR%c4%84DNIK_1_1_D_MK_97_Rzut%203D_1.jpg?width=276,2026-08-19,12352553.064,krakow|PRZYSTANEK PRĄDNIK|D|D-97
krakow,PRZYSTANEK PRĄDNIK,D,,D-43,35.582,2 pokoje z aneksem,5 piętro,BALKON,,,False,/pl-pl/krakow/mieszkanie?id=przystanek pradnik_1_1_d_mk_43,/getmedia/55ced459-6cd8-4a6a-9344-f437329fb5bb/PRZYSTANEK%20PR%c4%84DNIK_1_1_D_MK_43_Rzut%203D_1.jpg?width=276,2026-08-19,,krakow|PRZYSTANEK PRĄDNIK|D|D-43
wroclaw,OSIEDLE ARKADIA,B1,,B1 20,38.452,2 pokoje z aneksem,2 piętro,BALKON,127302.0,134002.0,True,/pl-pl/wroclaw/mieszkanie?id=osiedle arkadia_2_1_b1_mk_20,/getmedia/cf2911b3-976d-4b78-bce0-b1931f457020/OSIEDLE%20ARKADIA_2_1_B1_MK_20_Rzut%203D_1.jpg?width=276,2026-08-20,4895016.504,wroclaw|OSIEDLE ARKADIA|B1|B1 20
