inwestycja,miasto,liczba_zdjetych,liczba_dodanych,dostepnych_2025-10-20,dostepnych_2025-10-26
29. ALEJA,krakow,139,0,140,1
APARTAMENTY BEETHOVENA,warszawa,112,0,112,4
APARTAMENTY GRZYBOWSKA 11,warszawa,125,2,129,12
APARTAMENTY LITERACKA,warszawa,50,0,47,3
APARTAMENTY NAD OŁAWKĄ,wroclaw,113,0,115,2
APARTAMENTY NAD RZEKĄ,wroclaw,6,0,6,0
APARTAMENTY PARK MATECZNEGO,krakow,212,0,211,5
APARTAMENTY RUDNICKIEGO,warszawa,46,0,50,4
BRANIBORSKA 80,wroclaw,4,0,5,1
DOKI,trojmiasto,184,0,187,3
DZIELNICA MIESZKANIOWA METRO ZACHÓD,warszawa,195,3,191,7
ESENCJA,trojmiasto,67,0,67,0
HUBSKA 100,wroclaw,72,0,76,5
JASKÓŁCZA,trojmiasto,5,0,6,1
KONSTELACJA,trojmiasto,54,0,55,2
LEŚNA GÓRA,trojmiasto,44,0,44,0
LOCUS 2,trojmiasto,67,0,69,2
MOKOTÓW SPORTOWY,warszawa,120,1,126,7
OSIEDLE ARKADIA,wroclaw,42,0,44,2
OSIEDLE BOKSERSKA 71,warszawa,203,0,207,6
OSIEDLE HARMONIA,wroclaw,2,0,3,1
OSIEDLE HARMONIA MOKOTÓW,warszawa,28,0,34,8
OSIEDLE MIESZKANIOWE GÓRKA NARODOWA,krakow,64,0,69,4
OSIEDLE MIĘDZYLESKA,wroclaw,146,0,147,1
OSIEDLE MYŚLIBORSKA,warszawa,163,0,164,5
OSIEDLE PRZY ALEJACH,warszawa,13,2,20,10
OSIEDLE PRZY BŁONIACH 3,trojmiasto,170,0,172,2
OSIEDLE PRZY FORCIE,warszawa,2,0,1,0
OSIEDLE PRZY MALBORSKIEJ,krakow,25,0,25,0
OSIEDLE PRZY RYŻOWEJ,warszawa,3,0,3,1
OSIEDLE PRZY WIELICKIEJ,krakow,102,0,103,2
OSIEDLE RAPSODIA,wroclaw,88,0,91,3
OSIEDLE URBINO,warszawa,114,1,113,10
OSIEDLE WILNO,warszawa,134,1,142,8
OSIEDLE ZIELNA,wroclaw,24,0,25,1
OSOBOWICKA 114,wroclaw,64,0,64,0
PERSPEKTYWA,trojmiasto,1,0,1,0
PRZYSTAŃ BRZEŹNO,trojmiasto,56,2,63,11
SYNTEZA,trojmiasto,63,0,66,3
WARSZAWSKA,trojmiasto,138,0,141,3
WIDOKI,trojmiasto,1,0,1,0
WILLE BISKUPIN,wroclaw,56,0,61,5
WZGÓRZE HOPLITY,trojmiasto,19,0,21,2
