inwestycja,miasto,liczba_zdjetych,liczba_dodanych,dostepnych_2025-11-30,dostepnych_2025-12-06
29. ALEJA,krakow,3,2,115,114
APARTAMENTY GRZYBOWSKA 11,warszawa,4,2,114,115
APARTAMENTY LITERACKA,warszawa,1,1,28,28
APARTAMENTY NAD OŁAWKĄ,wroclaw,1,0,97,96
APARTAMENTY NAD RZEKĄ,wroclaw,1,0,6,5
APARTAMENTY PARK MATECZNEGO,krakow,2,0,181,179
APARTAMENTY RUDNICKIEGO,warszawa,2,1,29,28
DZIELNICA MIESZKANIOWA METRO ZACHÓD,warszawa,15,5,338,331
KONSTELACJA,trojmiasto,1,1,43,43
LOCUS 2,trojmiasto,1,0,63,62
MOKOTÓW SPORTOWY,warszawa,2,3,110,111
OSIEDLE HARMONIA MOKOTÓW,warszawa,6,1,13,12
OSIEDLE MIESZKANIOWE GÓRKA NARODOWA,krakow,4,1,56,53
OSIEDLE MIĘDZYLESKA,wroclaw,1,3,134,136
OSIEDLE MYŚLIBORSKA,warszawa,5,0,158,153
OSIEDLE PRZY ALEJACH,warszawa,4,1,7,5
OSIEDLE PRZY BŁONIACH 3,trojmiasto,4,4,159,159
OSIEDLE RAPSODIA,wroclaw,4,1,68,65
OSIEDLE URBINO,warszawa,5,86,75,195
OSIEDLE WILNO,warszawa,10,5,157,148
OSIEDLE ZIELNA,wroclaw,2,0,12,10
PRZYSTAŃ BRZEŹNO,trojmiasto,1,1,51,51
SYNTEZA,trojmiasto,1,8,49,56
WARSZAWSKA,trojmiasto,5,3,114,112
WILLE BISKUPIN,wroclaw,1,1,59,59
WZGÓRZE HOPLITY,trojmiasto,1,0,8,7
ZAJEZDNIA MOTŁAWA,trojmiasto,10,0,79,69
APARTAMENTY BEETHOVENA,warszawa,0,3,103,106
ESENCJA,trojmiasto,0,1,66,67
LEŚNA GÓRA,trojmiasto,0,1,42,43
OSIEDLE BOKSERSKA 71,warszawa,0,5,172,177
BRANIBORSKA 80,wroclaw,0,0,2,2
DOKI,trojmiasto,0,0,175,175
HUBSKA 100,wroclaw,0,0,62,62
JASKÓŁCZA,trojmiasto,0,0,2,2
LEMA,trojmiasto,0,0,1,1
OSIEDLE ARKADIA,wroclaw,0,0,39,39
OSIEDLE HARMONIA,wroclaw,0,0,2,2
OSIEDLE PRZY FORCIE,warszawa,0,0,1,1
OSIEDLE PRZY MALBORSKIEJ,krakow,0,0,24,24
OSIEDLE PRZY RYŻOWEJ,warszawa,0,0,2,2
OSIEDLE PRZY WIELICKIEJ,krakow,0,0,99,99
OSOBOWICKA 114,wroclaw,0,0,61,61
PERSPEKTYWA,trojmiasto,0,0,1,1
WIDOKI,trojmiasto,0,0,1,1
