inwestycja,miasto,liczba_zdjetych,liczba_dodanych,dostepnych_2026-05-24,dostepnych_2026-05-30
APARTAMENTY BEETHOVENA,warszawa,2,3,52,53
APARTAMENTY GRZYBOWSKA 11,warszawa,3,2,88,87
APARTAMENTY KAMIEŃSKIEGO,wroclaw,1,0,44,43
APARTAMENTY LITERACKA,warszawa,4,5,200,201
APARTAMENTY METRO WILANOWSKA,warszawa,5,7,222,224
APARTAMENTY NAD OŁAWKĄ,wroclaw,4,0,34,30
APARTAMENTY PARK MATECZNEGO,krakow,8,0,185,177
APARTAMENTY RUDNICKIEGO,warszawa,1,0,3,2
DOKI,trojmiasto,2,0,130,128
DZIELNICA MIESZKANIOWA METRO ZACHÓD,warszawa,13,6,113,107
KONSTELACJA,trojmiasto,7,0,59,52
LOCUS 2,trojmiasto,4,0,75,71
MOKOTÓW SPORTOWY,warszawa,4,4,33,35
OSIEDLE ARKADIA,wroclaw,2,0,80,78
OSIEDLE BOKSERSKA 71,warszawa,7,8,252,254
OSIEDLE MIESZKANIOWE GÓRKA NARODOWA,krakow,2,1,12,10
OSIEDLE MIĘDZYLESKA,wroclaw,3,0,84,81
OSIEDLE MYŚLIBORSKA,warszawa,4,1,108,105
OSIEDLE PRZY BŁONIACH 3,trojmiasto,7,1,100,94
OSIEDLE PRZY WIELICKIEJ,krakow,3,0,216,213
OSIEDLE RAPSODIA,wroclaw,5,1,90,86
OSIEDLE URBINO,warszawa,5,1,146,142
OSIEDLE WILNO,warszawa,3,2,146,145
OSOBOWICKA 114,wroclaw,3,0,47,44
PRZYSTAŃ BRZEŹNO,trojmiasto,4,0,129,125
SYNTEZA,trojmiasto,1,0,22,21
WARSZAWSKA,trojmiasto,5,0,134,130
WZGÓRZE MARKOWCA,trojmiasto,2,0,72,70
ZAJEZDNIA MOTŁAWA,trojmiasto,3,1,43,42
29. ALEJA,krakow,0,0,62,62
APARTAMENTY NAD RZEKĄ,wroclaw,0,0,4,4
BRANIBORSKA 80,wroclaw,0,0,1,1
ESENCJA,trojmiasto,0,0,56,56
GDAŃSKIE ZACISZE,trojmiasto,0,0,73,73
HUBSKA 100,wroclaw,0,0,27,27
LEŚNA GÓRA,trojmiasto,0,0,34,34
OSIEDLE PRZY MALBORSKIEJ,krakow,0,0,15,15
OSIEDLE PRZY RYŻOWEJ,warszawa,0,0,1,1
OSIEDLE ZIELNA,wroclaw,0,0,3,3
PRZYSTANEK PRĄDNIK,krakow,0,0,103,103
WILLE BISKUPIN,wroclaw,0,0,75,75
