inwestycja,miasto,liczba_zdjetych,liczba_dodanych,dostepnych_2026-08-16,dostepnych_2026-08-22
29. ALEJA,krakow,6,2,38,35
APARTAMENTY BEETHOVENA,warszawa,6,4,46,47
APARTAMENTY LITERACKA,warszawa,12,5,157,150
APARTAMENTY METRO WILANOWSKA,warszawa,8,4,211,207
APARTAMENTY MYŚLIBORSKA PARK,warszawa,1,0,142,141
APARTAMENTY PARK MATECZNEGO,krakow,5,0,148,143
DOKI,trojmiasto,1,0,115,114
DZIELNICA MIESZKANIOWA METRO ZACHÓD,warszawa,6,2,50,47
ESENCJA,trojmiasto,1,0,52,51
HUBSKA 100,wroclaw,2,1,10,9
KONSTELACJA,trojmiasto,5,0,39,34
LEŚNA GÓRA,trojmiasto,3,0,34,31
LOCUS 2,trojmiasto,1,0,60,59
MOKOTÓW SPORTOWY,warszawa,8,2,274,268
OSIEDLE ARKADIA,wroclaw,4,2,55,53
OSIEDLE BOKSERSKA 71,warszawa,11,1,227,217
OSIEDLE MIESZKANIOWE GÓRKA NARODOWA,krakow,1,0,4,3
OSIEDLE MYŚLIBORSKA,warszawa,1,0,80,79
OSIEDLE PARK ŚWIETLIKÓW,wroclaw,1,0,60,59
OSIEDLE PRZY BŁONIACH 3,trojmiasto,6,0,117,111
OSIEDLE RAPSODIA,wroclaw,1,0,75,74
OSIEDLE URBINO,warszawa,8,3,65,62
OSIEDLE WILNO,warszawa,8,1,313,307
OSOBOWICKA 114,wroclaw,1,0,38,37
PRZYSTANEK PRĄDNIK,krakow,3,2,70,69
PRZYSTAŃ BRZEŹNO,trojmiasto,1,0,120,119
WARSZAWSKA,trojmiasto,7,0,97,90
WILLE BISKUPIN,wroclaw,2,0,67,65
ZAJEZDNIA MOTŁAWA,trojmiasto,1,0,45,44
OSIEDLE PRZY WIELICKIEJ,krakow,0,2,181,183
APARTAMENTY GRZYBOWSKA 11,warszawa,0,0,77,77
APARTAMENTY KAMIEŃSKIEGO,wroclaw,0,0,26,26
APARTAMENTY NAD OŁAWKĄ,wroclaw,0,0,12,12
APARTAMENTY NAD RZEKĄ,wroclaw,0,0,3,3
GDAŃSKIE ZACISZE,trojmiasto,0,0,65,65
ORZECHOWA,trojmiasto,0,0,117,117
OSIEDLE MIĘDZYLESKA,wroclaw,0,0,197,197
OSIEDLE PRZY MALBORSKIEJ,krakow,0,0,9,9
OSIEDLE PRZY RYŻOWEJ,warszawa,0,0,1,1
OSIEDLE ZIELNA,wroclaw,0,0,1,1
SYNTEZA,trojmiasto,0,0,7,7
WZGÓRZE MARKOWCA,trojmiasto,0,0,64,64
