city,investment,building,handover_date,flat,area_m2,rooms,floor,logy,price_new_zlm2,price_old_zlm2,promo,link,img,date_scraped,total_price_zl,key
wroclaw,WILLE BISKUPIN,O,,O 6,63.972,3 pokoje z aneksem,1 piętro,BALKON,,,False,/pl-pl/wroclaw/mieszkanie?id=wille biskupin_1_3_o_mk_6,/getmedia/b1f3946c-732e-403a-87d4-c88fd7a5573f/WILLE%20BISKUPIN_1_3_O_MK_6_Rzut%203D_1.jpg?width=276,2025-11-18,,wroclaw|WILLE BISKUPIN|O|O 6
warszawa,APARTAMENTY GRZYBOWSKA 11,A,,A 102,51.982,1 pokój z aneksem,5 piętro,LOGGIA,,,False,/pl-pl/warszawa/mieszkanie?id=apartamenty grzybowska 11_1_1_a_mk_102,/getmedia/58174852-93b0-4ceb-94ec-c39221d836d0/APARTAMENTY%20GRZYBOWSKA%2011_1_1_A_MK_102_Rzut%203D_1.jpg?width=276,2025-11-18,,warszawa|APARTAMENTY GRZYBOWSKA 11|A|A 102
warszawa,APARTAMENTY GRZYBOWSKA 11,A,,A 117,28.752,1 pokój z aneksem,6 piętro,BALKON,,,False,/pl-pl/warszawa/mieszkanie?id=apartamenty grzybowska 11_1_1_a_mk_117,/getmedia/31c56584-2599-40c6-96d4-ff76ee57e03c/APARTAMENTY%20GRZYBOWSKA%2011_1_1_A_MK_117_Rzut%203D_1.jpg?width=276,2025-11-18,,warszawa|APARTAMENTY GRZYBOWSKA 11|A|A 117
warszawa,APARTAMENTY GRZYBOWSKA 11,A,,A 136,46.812,3 pokoje z aneksem,6 piętro,LOGGIA,,,False,/pl-pl/warszawa/mieszkanie?id=apartamenty grzybowska 11_1_1_a_mk_136,/getmedia/0509124b-d64a-4e5c-b0a0-2df7e99e5107/APARTAMENTY%20GRZYBOWSKA%2011_1_1_A_MK_136_Rzut%203D_1.jpg?width=276,2025-11-18,,warszawa|APARTAMENTY GRZYBOWSKA 11|A|A 136
warszawa,OSIEDLE URBINO,A,,A 53,66.222,3 pokoje z aneksem,1 piętro,BALKON,,,False,/pl-pl/warszawa/mieszkanie?id=urbino_2_1_a_mk_53,/getmedia/bc314343-b951-4f0c-b7ee-11e06f958861/URBINO_2_1_A_MK_53_Rzut%203D_1.jpg?width=276,2025-11-18,,warszawa|OSIEDLE URBINO|A|A 53
warszawa,OSIEDLE URBINO,A,,A 71,34.362,2 pokoje z aneksem,4 piętro,LOGGIA,,,False,/pl-pl/warszawa/mieszkanie?id=urbino_5_1_a_mk_71,/getmedia/127c3e14-ca9e-4eec-8fa7-f73b3aa57e6b/URBINO_5_1_A_MK_71_Rzut%203D_1.jpg?width=276,2025-11-18,,warszawa|OSIEDLE URBINO|A|A 71
warszawa,APARTAMENTY RUDNICKIEGO,D,,D 63,28.012,1 pokój z aneksem,6 piętro,BALKON,,,False,/pl-pl/warszawa/mieszkanie?id=apartamenty rudnickiego_1_1_d_mk_63,/getmedia/8f6be879-0307-4cb8-8af2-31d99f84a1e2/APARTAMENTY%20RUDNICKIEGO_1_1_D_MK_63_Rzut%203D_1.jpg?width=276,2025-11-19,,warszawa|APARTAMENTY RUDNICKIEGO|D|D 63
warszawa,MOKOTÓW SPORTOWY,A,,A 19,72.782,4 pokoje z aneksem,3 piętro,BALKON,134502.0,143002.0,True,/pl-pl/warszawa/mieszkanie?id=mokotow sportowy_3_1_a_mk_19,/getmedia/a66a9093-ac4e-40a8-a532-909b8a136c46/MOKOT%c3%93W%20SPORTOWY_3_1_A_MK_19_Rzut%203D_1.jpg?width=276,2025-11-19,9789324.564,warszawa|MOKOTÓW SPORTOWY|A|A 19
warszawa,OSIEDLE URBINO,A,,A 80,36.932,2 pokoje z aneksem,5 piętro,BALKON,,,False,/pl-pl/warszawa/mieszkanie?id=urbino_5_1_a_mk_80,/getmedia/c8ecd50e-69bd-4ee9-a3fa-e2bea021c9f5/URBINO_5_1_A_MK_80_Rzut%203D_1.jpg?width=276,2025-11-19,,warszawa|OSIEDLE URBINO|A|A 80
trojmiasto,LEMA,A,,A 23,68.822,4 pokoje z aneksem,1 piętro,BALKON,,,False,/pl-pl/trojmiasto/mieszkanie?id=lema_1_1_a_mk_23,/getmedia/9d33f41f-ffd2-44cd-b908-4db8a934a7f7/LEMA_1_1_A_MK_23_Rzut%203D_1.png?width=276,2025-11-19,,trojmiasto|LEMA|A|A 23
krakow,OSIEDLE MIESZKANIOWE GÓRKA NARODOWA,A,,A-4,51.492,2 pokoje z aneksem,2 piętro,BALKON,,,False,/pl-pl/krakow/mieszkanie?id=gorka narodowa_5_1_a_mk_4,/getmedia/66b5c143-e879-4f71-a8f2-0bf1497d74af/G%c3%93RKA%20NARODOWA_5_1_A_MK_4_Rzut%203D_1.jpg?width=276,2025-11-20,,krakow|OSIEDLE MIESZKANIOWE GÓRKA NARODOWA|A|A-4
krakow,OSIEDLE MIESZKANIOWE GÓRKA NARODOWA,A,,A-33,47.142,2 pokoje z aneksem,2 piętro,BALKON,,,False,/pl-pl/krakow/mieszkanie?id=gorka narodowa_5_1_a_mk_33,/getmedia/c4a23f0e-c388-41fb-9b5a-5a87e64b0676/G%c3%93RKA%20NARODOWA_5_1_A_MK_33_Rzut%203D_1.jpg?width=276,2025-11-20,,krakow|OSIEDLE MIESZKANIOWE GÓRKA NARODOWA|A|A-33
krakow,OSIEDLE MIESZKANIOWE GÓRKA NARODOWA,A,,A-34,41.572,2 pokoje z aneksem,2 piętro,BALKON,,,False,/pl-pl/krakow/mieszkanie?id=gorka narodowa_5_1_a_mk_34,/getmedia/ddc8b4a1-0022-4d85-8c3b-9e985775db1e/G%c3%93RKA%20NARODOWA_5_1_A_MK_34_Rzut%203D_1.jpg?width=276,2025-11-20,,krakow|OSIEDLE MIESZKANIOWE GÓRKA NARODOWA|A|A-34
krakow,OSIEDLE MIESZKANIOWE GÓRKA NARODOWA,A,,A-36,40.962,2 pokoje z aneksem,2 piętro,BALKON,,,False,/pl-pl/krakow/mieszkanie?id=gorka narodowa_5_1_a_mk_36,/getmedia/44b4b98c-a533-499a-a3ca-0396ff3e9d06/G%c3%93RKA%20NARODOWA_5_1_A_MK_36_Rzut%203D_1.jpg?width=276,2025-11-20,,krakow|OSIEDLE MIESZKANIOWE GÓRKA NARODOWA|A|A-36
