city,investment,building,handover_date,flat,area_m2,rooms,floor,logy,price_new_zlm2,price_old_zlm2,promo,link,img,date_scraped,total_price_zl,key
wroclaw,OSIEDLE ARKADIA,B1,,B1 79,77.112,4 pokoje,2 piętro,BALKON,,,False,/pl-pl/wroclaw/mieszkanie?id=osiedle arkadia_2_1_b1_mk_79,/getmedia/c78e343b-8e61-4ed1-be69-44f340eb719c/OSIEDLE%20ARKADIA_2_1_B1_MK_79_Rzut%203D_1.jpg?width=276,2026-06-23,,wroclaw|OSIEDLE ARKADIA|B1|B1 79
wroclaw,OSIEDLE RAPSODIA,E,,E 30,75.062,4 pokoje z aneksem,4 piętro,BALKON,,,False,/pl-pl/wroclaw/mieszkanie?id=osiedle rapsodia_3_1_e_mk_30,/getmedia/488a0f2d-13b4-4be0-88f3-4cfc77ac0dac/OSIEDLE%20RAPSODIA_3_1_E_MK_30_Rzut%203D_1.jpg?width=276,2026-06-23,,wroclaw|OSIEDLE RAPSODIA|E|E 30
wroclaw,OSIEDLE RAPSODIA,E,,E 42,75.062,4 pokoje z aneksem,6 piętro,BALKON,,,False,/pl-pl/wroclaw/mieszkanie?id=osiedle rapsodia_3_1_e_mk_42,/getmedia/6e10e265-703d-43cf-9d38-27cbd618ba63/OSIEDLE%20RAPSODIA_3_1_E_MK_42_Rzut%203D_1.jpg?width=276,2026-06-23,,wroclaw|OSIEDLE RAPSODIA|E|E 42
wroclaw,OSIEDLE RAPSODIA,E,,E 66,72.452,4 pokoje z aneksem,Parter,,,,False,/pl-pl/wroclaw/mieszkanie?id=osiedle rapsodia_3_1_e_mk_66,/getmedia/52c545d3-3c78-4065-9fc7-f501eb141a58/OSIEDLE%20RAPSODIA_3_1_E_MK_66_Rzut%203D_1.jpg?width=276,2026-06-23,,wroclaw|OSIEDLE RAPSODIA|E|E 66
wroclaw,OSIEDLE RAPSODIA,E,,E 71,81.832,4 pokoje z aneksem,1 piętro,BALKON,,,False,/pl-pl/wroclaw/mieszkanie?id=osiedle rapsodia_3_1_e_mk_71,/getmedia/13858041-11f7-4a51-9c25-a2ccd1624230/OSIEDLE%20RAPSODIA_3_1_E_MK_71_Rzut%203D_1.jpg?width=276,2026-06-23,,wroclaw|OSIEDLE RAPSODIA|E|E 71
wroclaw,OSIEDLE RAPSODIA,E,,E 94,81.832,4 pokoje z aneksem,4 piętro,BALKON,,,False,/pl-pl/wroclaw/mieszkanie?id=osiedle rapsodia_3_1_e_mk_94,/getmedia/803aa528-e2dc-40f7-9821-7fe9b9919651/OSIEDLE%20RAPSODIA_3_1_E_MK_94_Rzut%203D_1.jpg?width=276,2026-06-23,,wroclaw|OSIEDLE RAPSODIA|E|E 94
warszawa,APARTAMENTY LITERACKA,A,,A 23,45.822,2 pokoje z aneksem,1 piętro,LOGGIA,,,False,/pl-pl/warszawa/mieszkanie?id=apartamenty literacka_1_1_a_mk_23,/getmedia/998f9b30-2394-4f91-8ee2-4bcfc5ec3973/APARTAMENTY%20LITERACKA_1_1_A_MK_23_Rzut%203D_1.jpg?width=276,2026-06-23,,warszawa|APARTAMENTY LITERACKA|A|A 23
warszawa,DZIELNICA MIESZKANIOWA METRO ZACHÓD,B,,B 84,81.572,4 pokoje z aneksem,2 piętro,BALKON,,,False,/pl-pl/warszawa/mieszkanie?id=metro zachod_8_2_b_mk_84,/getmedia/e05e23a3-73ce-4fff-92df-26e9112fd051/METRO%20ZACH%c3%93D_8_2_B_MK_84_Rzut%203D_1.jpg?width=276,2026-06-23,,warszawa|DZIELNICA MIESZKANIOWA METRO ZACHÓD|B|B 84
warszawa,DZIELNICA MIESZKANIOWA METRO ZACHÓD,F,,F 53,36.002,2 pokoje z aneksem,2 piętro,BALKON,,,False,/pl-pl/warszawa/mieszkanie?id=metro zachod_8_3_f_mk_53,/getmedia/a894a6a9-e9f4-458d-b0ed-f0654b2af7b8/METRO%20ZACH%c3%93D_8_3_F_MK_53_Rzut%203D_1.jpg?width=276,2026-06-23,,warszawa|DZIELNICA MIESZKANIOWA METRO ZACHÓD|F|F 53
warszawa,OSIEDLE URBINO,D,,D 17,70.372,4 pokoje z aneksem,4 piętro,BALKON,,,False,/pl-pl/warszawa/mieszkanie?id=urbino_4_2_d_mk_17,/getmedia/71c06d6a-a345-4b2a-b1a1-6a8453ed3b92/URBINO_4_2_D_MK_17_Rzut%203D_1.jpg?width=276,2026-06-23,,warszawa|OSIEDLE URBINO|D|D 17
wroclaw,OSIEDLE MIĘDZYLESKA,A,,A 2,80.362,4 pokoje z aneksem,Parter,,,,False,/pl-pl/wroclaw/mieszkanie?id=miedzyleska_4_1_a_mk_2,/getmedia/3e7e01ec-81cf-4779-8064-4f4b0b34dc5d/[MI%c4%98DZYLESKA_4_1_A_0_2][MK][RZUT][Plan%20mieszkania]_l.jpg?width=276,2026-06-24,,wroclaw|OSIEDLE MIĘDZYLESKA|A|A 2
wroclaw,OSIEDLE MIĘDZYLESKA,A,,A 5,59.692,3 pokoje z aneksem,1 piętro,BALKON,,,False,/pl-pl/wroclaw/mieszkanie?id=miedzyleska_4_1_a_mk_5,/getmedia/3c66b585-32de-4474-be92-5053ea3eb3b3/[MI%c4%98DZYLESKA_4_1_A_1_5][MK][RZUT][Plan%20mieszkania]_l.jpg?width=276,2026-06-24,,wroclaw|OSIEDLE MIĘDZYLESKA|A|A 5
wroclaw,OSIEDLE MIĘDZYLESKA,A,,A 7,80.362,4 pokoje z aneksem,2 piętro,BALKON,,,False,/pl-pl/wroclaw/mieszkanie?id=miedzyleska_4_1_a_mk_7,/getmedia/a18ef513-c476-4fc6-b403-459337d16993/[MI%c4%98DZYLESKA_4_1_A_2_7][MK][RZUT][Plan%20mieszkania]_l.jpg?width=276,2026-06-24,,wroclaw|OSIEDLE MIĘDZYLESKA|A|A 7
wroclaw,OSIEDLE MIĘDZYLESKA,A,,A 9,60.962,4 pokoje z aneksem,3 piętro,LOGGIA,,,False,/pl-pl/wroclaw/mieszkanie?id=miedzyleska_4_1_a_mk_9,/getmedia/45aac41f-edce-479a-8fc7-8218ef5ef791/[MI%c4%98DZYLESKA_4_1_A_3_9][MK][RZUT][Plan%20mieszkania]_l.jpg?width=276,2026-06-24,,wroclaw|OSIEDLE MIĘDZYLESKA|A|A 9
wroclaw,OSIEDLE MIĘDZYLESKA,A,,A 20,37.252,2 pokoje z aneksem,Parter,,,,False,/pl-pl/wroclaw/mieszkanie?id=miedzyleska_4_1_a_mk_20,/getmedia/2d743ce7-4082-456d-adba-543e4ccac7f4/[MI%c4%98DZYLESKA_4_1_A_0_20][MK][RZUT][Plan%20mieszkania]_l.jpg?width=276,2026-06-24,,wroclaw|OSIEDLE MIĘDZYLESKA|A|A 20
wroclaw,OSIEDLE MIĘDZYLESKA,A,,A 22,41.492,2 pokoje z aneksem,Parter,,,,False,/pl-pl/wroclaw/mieszkanie?id=miedzyleska_4_1_a_mk_22,/getmedia/4d4ddb88-7e62-4ac1-b192-a27b2c1e99db/[MI%c4%98DZYLESKA_4_1_A_0_22][MK][RZUT][Plan%20mieszkania]_l.jpg?width=276,2026-06-24,,wroclaw|OSIEDLE MIĘDZYLESKA|A|A 22
