inwestycja,miasto,liczba_zdjetych,liczba_dodanych,dostepnych_2026-04-05,dostepnych_2026-04-11
APARTAMENTY BEETHOVENA,warszawa,1,0,62,61
APARTAMENTY GRZYBOWSKA 11,warszawa,1,4,97,100
APARTAMENTY KAMIEŃSKIEGO,wroclaw,3,1,56,54
APARTAMENTY LITERACKA,warszawa,4,1,222,219
APARTAMENTY NAD OŁAWKĄ,wroclaw,1,1,46,47
APARTAMENTY PARK MATECZNEGO,krakow,1,1,208,208
APARTAMENTY RUDNICKIEGO,warszawa,2,2,5,5
DOKI,trojmiasto,1,0,142,142
DZIELNICA MIESZKANIOWA METRO ZACHÓD,warszawa,4,3,163,162
GDAŃSKIE ZACISZE,trojmiasto,3,0,62,59
HUBSKA 100,wroclaw,1,0,36,35
KONSTELACJA,trojmiasto,2,1,76,75
LOCUS 2,trojmiasto,2,0,87,85
MOKOTÓW SPORTOWY,warszawa,6,9,44,48
OSIEDLE ARKADIA,wroclaw,5,1,93,89
OSIEDLE BOKSERSKA 71,warszawa,8,1,125,118
OSIEDLE MYŚLIBORSKA,warszawa,2,0,116,114
OSIEDLE PRZY ALEJACH,warszawa,1,0,1,0
OSIEDLE PRZY BŁONIACH 3,trojmiasto,4,0,118,114
OSIEDLE PRZY WIELICKIEJ,krakow,3,0,228,225
OSIEDLE RAPSODIA,wroclaw,2,0,105,103
OSIEDLE URBINO,warszawa,3,2,94,92
OSIEDLE WILNO,warszawa,2,2,34,33
OSIEDLE ZIELNA,wroclaw,1,0,6,5
OSOBOWICKA 114,wroclaw,1,0,49,48
PRZYSTANEK PRĄDNIK,krakow,4,0,116,112
PRZYSTAŃ BRZEŹNO,trojmiasto,1,0,62,61
SYNTEZA,trojmiasto,1,1,27,27
APARTAMENTY NAD RZEKĄ,wroclaw,0,1,1,2
OSIEDLE MIĘDZYLESKA,wroclaw,0,1,92,93
OSIEDLE PRZY MALBORSKIEJ,krakow,0,1,19,20
WILLE BISKUPIN,wroclaw,0,1,45,46
29. ALEJA,krakow,0,0,74,74
BEAUFORTA 2,trojmiasto,0,0,1,1
BRANIBORSKA 80,wroclaw,0,0,1,1
ESENCJA,trojmiasto,0,0,57,57
LEŚNA GÓRA,trojmiasto,0,0,36,36
OSIEDLE MIESZKANIOWE GÓRKA NARODOWA,krakow,0,0,20,20
OSIEDLE PRZY RYŻOWEJ,warszawa,0,0,1,1
WARSZAWSKA,trojmiasto,0,0,62,62
ZAJEZDNIA MOTŁAWA,trojmiasto,0,0,51,51
