inwestycja,miasto,liczba_zdjetych,liczba_dodanych,dostepnych_2026-03-15,dostepnych_2026-03-21
29. ALEJA,krakow,2,0,83,81
APARTAMENTY BEETHOVENA,warszawa,5,2,70,67
APARTAMENTY GRZYBOWSKA 11,warszawa,7,2,105,100
APARTAMENTY LITERACKA,warszawa,7,4,242,240
APARTAMENTY PARK MATECZNEGO,krakow,5,0,221,216
APARTAMENTY RUDNICKIEGO,warszawa,4,0,11,7
DOKI,trojmiasto,2,0,149,147
DZIELNICA MIESZKANIOWA METRO ZACHÓD,warszawa,15,0,204,189
ESENCJA,trojmiasto,2,0,58,56
KONSTELACJA,trojmiasto,6,0,84,78
LOCUS 2,trojmiasto,1,3,90,92
MOKOTÓW SPORTOWY,warszawa,3,4,60,61
OSIEDLE ARKADIA,wroclaw,7,0,109,102
OSIEDLE BOKSERSKA 71,warszawa,8,4,140,136
OSIEDLE MIESZKANIOWE GÓRKA NARODOWA,krakow,2,1,30,29
OSIEDLE MIĘDZYLESKA,wroclaw,6,0,103,97
OSIEDLE MYŚLIBORSKA,warszawa,4,2,123,121
OSIEDLE PRZY BŁONIACH 3,trojmiasto,5,1,130,126
OSIEDLE RAPSODIA,wroclaw,3,0,116,113
OSIEDLE URBINO,warszawa,10,1,116,107
OSIEDLE WILNO,warszawa,3,1,56,51
PRZYSTAŃ BRZEŹNO,trojmiasto,1,45,25,69
SYNTEZA,trojmiasto,3,0,32,29
WARSZAWSKA,trojmiasto,3,0,74,71
WILLE BISKUPIN,wroclaw,1,0,53,52
BEAUFORTA 2,trojmiasto,0,1,0,1
OSIEDLE PRZY WIELICKIEJ,krakow,0,1,76,77
PRZYSTANEK PRĄDNIK,krakow,0,121,0,121
ZAJEZDNIA MOTŁAWA,trojmiasto,0,1,59,60
APARTAMENTY NAD OŁAWKĄ,wroclaw,0,0,53,53
APARTAMENTY NAD RZEKĄ,wroclaw,0,0,1,1
BRANIBORSKA 80,wroclaw,0,0,1,1
HUBSKA 100,wroclaw,0,0,38,38
LEŚNA GÓRA,trojmiasto,0,0,37,37
OSIEDLE PRZY MALBORSKIEJ,krakow,0,0,21,21
OSIEDLE PRZY RYŻOWEJ,warszawa,0,0,1,1
OSIEDLE ZIELNA,wroclaw,0,0,7,7
OSOBOWICKA 114,wroclaw,0,0,51,51
