inwestycja,miasto,liczba_zdjetych,liczba_dodanych,dostepnych_2025-12-21,dostepnych_2025-12-27
29. ALEJA,krakow,4,0,106,102
APARTAMENTY GRZYBOWSKA 11,warszawa,1,0,108,107
APARTAMENTY LITERACKA,warszawa,3,2,20,20
APARTAMENTY PARK MATECZNEGO,krakow,2,0,176,174
APARTAMENTY RUDNICKIEGO,warszawa,4,1,27,25
DOKI,trojmiasto,3,0,164,161
DZIELNICA MIESZKANIOWA METRO ZACHÓD,warszawa,7,0,315,308
ESENCJA,trojmiasto,2,0,65,63
KONSTELACJA,trojmiasto,1,2,127,128
MOKOTÓW SPORTOWY,warszawa,4,0,105,100
OSIEDLE ARKADIA,wroclaw,2,1,35,34
OSIEDLE BOKSERSKA 71,warszawa,4,0,173,169
OSIEDLE HARMONIA MOKOTÓW,warszawa,2,1,13,12
OSIEDLE MIĘDZYLESKA,wroclaw,2,0,134,132
OSIEDLE MYŚLIBORSKA,warszawa,2,1,146,145
OSIEDLE PRZY MALBORSKIEJ,krakow,1,0,22,21
OSIEDLE RAPSODIA,wroclaw,1,0,57,56
OSIEDLE URBINO,warszawa,4,1,175,172
PRZYSTAŃ BRZEŹNO,trojmiasto,1,0,39,38
SYNTEZA,trojmiasto,2,0,50,48
APARTAMENTY BEETHOVENA,warszawa,0,1,104,105
HUBSKA 100,wroclaw,0,1,58,59
OSIEDLE MIESZKANIOWE GÓRKA NARODOWA,krakow,0,1,47,48
OSIEDLE PRZY WIELICKIEJ,krakow,0,1,90,91
APARTAMENTY NAD OŁAWKĄ,wroclaw,0,0,90,90
APARTAMENTY NAD RZEKĄ,wroclaw,0,0,6,6
BRANIBORSKA 80,wroclaw,0,0,3,3
JASKÓŁCZA,trojmiasto,0,0,2,2
LEMA,trojmiasto,0,0,1,1
LEŚNA GÓRA,trojmiasto,0,0,42,42
LOCUS 2,trojmiasto,0,0,58,58
OSIEDLE HARMONIA,wroclaw,0,0,2,2
OSIEDLE PRZY ALEJACH,warszawa,0,0,4,4
OSIEDLE PRZY BŁONIACH 3,trojmiasto,0,0,156,156
OSIEDLE PRZY FORCIE,warszawa,0,0,1,1
OSIEDLE PRZY RYŻOWEJ,warszawa,0,0,2,2
OSIEDLE WILNO,warszawa,0,0,136,138
OSIEDLE ZIELNA,wroclaw,0,0,11,11
OSOBOWICKA 114,wroclaw,0,0,60,60
PERSPEKTYWA,trojmiasto,0,0,1,1
WARSZAWSKA,trojmiasto,0,0,107,107
WIDOKI,trojmiasto,0,0,1,1
WILLE BISKUPIN,wroclaw,0,0,59,59
WZGÓRZE HOPLITY,trojmiasto,0,0,5,5
ZAJEZDNIA MOTŁAWA,trojmiasto,0,0,65,65
