inwestycja,miasto,liczba_zdjetych,liczba_dodanych,dostepnych_2026-02-22,dostepnych_2026-02-28
29. ALEJA,krakow,5,0,91,86
APARTAMENTY BEETHOVENA,warszawa,6,3,83,81
APARTAMENTY GRZYBOWSKA 11,warszawa,3,2,104,103
APARTAMENTY LITERACKA,warszawa,19,273,8,278
APARTAMENTY NAD OŁAWKĄ,wroclaw,3,0,61,58
APARTAMENTY NAD RZEKĄ,wroclaw,1,0,3,2
APARTAMENTY PARK MATECZNEGO,krakow,14,0,238,224
APARTAMENTY RUDNICKIEGO,warszawa,9,2,15,10
DOKI,trojmiasto,3,0,153,150
DZIELNICA MIESZKANIOWA METRO ZACHÓD,warszawa,18,4,232,217
KONSTELACJA,trojmiasto,5,1,92,88
LOCUS 2,trojmiasto,2,0,93,91
MOKOTÓW SPORTOWY,warszawa,5,0,75,70
OSIEDLE ARKADIA,wroclaw,3,1,125,123
OSIEDLE BOKSERSKA 71,warszawa,6,1,151,146
OSIEDLE HARMONIA,wroclaw,1,0,1,0
OSIEDLE MIESZKANIOWE GÓRKA NARODOWA,krakow,1,0,33,32
OSIEDLE MIĘDZYLESKA,wroclaw,2,1,111,110
OSIEDLE MYŚLIBORSKA,warszawa,8,1,131,124
OSIEDLE PRZY BŁONIACH 3,trojmiasto,1,0,136,135
OSIEDLE PRZY WIELICKIEJ,krakow,3,1,80,79
OSIEDLE RAPSODIA,wroclaw,3,0,131,128
OSIEDLE URBINO,warszawa,9,1,133,124
OSIEDLE WILNO,warszawa,9,2,72,66
OSIEDLE ZIELNA,wroclaw,1,1,8,9
OSOBOWICKA 114,wroclaw,1,1,55,55
PRZYSTAŃ BRZEŹNO,trojmiasto,2,0,29,27
SYNTEZA,trojmiasto,3,0,37,34
WARSZAWSKA,trojmiasto,3,0,84,81
WILLE BISKUPIN,wroclaw,1,1,55,55
WZGÓRZE HOPLITY,trojmiasto,2,0,2,0
ZAJEZDNIA MOTŁAWA,trojmiasto,3,1,66,64
BRANIBORSKA 80,wroclaw,0,0,1,1
ESENCJA,trojmiasto,0,0,60,60
HUBSKA 100,wroclaw,0,0,43,43
LEŚNA GÓRA,trojmiasto,0,0,38,38
OSIEDLE PRZY MALBORSKIEJ,krakow,0,0,21,21
OSIEDLE PRZY RYŻOWEJ,warszawa,0,0,2,2
PERSPEKTYWA,trojmiasto,0,0,1,1
