inwestycja,miasto,liczba_zdjetych,liczba_dodanych,dostepnych_2026-02-01,dostepnych_2026-02-07
29. ALEJA,krakow,2,1,98,97
APARTAMENTY BEETHOVENA,warszawa,1,2,94,95
APARTAMENTY GRZYBOWSKA 11,warszawa,1,0,104,103
APARTAMENTY LITERACKA,warszawa,3,0,15,12
APARTAMENTY NAD OŁAWKĄ,wroclaw,2,0,71,69
APARTAMENTY PARK MATECZNEGO,krakow,1,1,155,155
APARTAMENTY RUDNICKIEGO,warszawa,1,0,19,18
DOKI,trojmiasto,1,0,158,158
DZIELNICA MIESZKANIOWA METRO ZACHÓD,warszawa,13,5,266,260
HUBSKA 100,wroclaw,5,0,47,42
KONSTELACJA,trojmiasto,3,1,103,101
MOKOTÓW SPORTOWY,warszawa,2,0,93,91
OSIEDLE BOKSERSKA 71,warszawa,3,2,158,157
OSIEDLE HARMONIA MOKOTÓW,warszawa,2,0,2,0
OSIEDLE MIĘDZYLESKA,wroclaw,2,0,123,121
OSIEDLE MYŚLIBORSKA,warszawa,2,0,137,135
OSIEDLE PRZY BŁONIACH 3,trojmiasto,4,1,149,146
OSIEDLE PRZY RYŻOWEJ,warszawa,1,1,1,1
OSIEDLE RAPSODIA,wroclaw,3,2,142,141
OSIEDLE URBINO,warszawa,5,0,152,146
OSIEDLE WILNO,warszawa,4,0,92,87
SYNTEZA,trojmiasto,1,2,41,42
WARSZAWSKA,trojmiasto,1,1,92,92
WILLE BISKUPIN,wroclaw,1,0,56,55
ZAJEZDNIA MOTŁAWA,trojmiasto,4,0,73,69
LOCUS 2,trojmiasto,0,29,69,98
APARTAMENTY NAD RZEKĄ,wroclaw,0,0,6,6
BRANIBORSKA 80,wroclaw,0,0,2,2
ESENCJA,trojmiasto,0,0,60,60
LEŚNA GÓRA,trojmiasto,0,0,39,39
OSIEDLE ARKADIA,wroclaw,0,0,32,32
OSIEDLE HARMONIA,wroclaw,0,0,1,1
OSIEDLE MIESZKANIOWE GÓRKA NARODOWA,krakow,0,0,35,35
OSIEDLE PRZY MALBORSKIEJ,krakow,0,0,20,20
OSIEDLE PRZY WIELICKIEJ,krakow,0,0,82,82
OSIEDLE ZIELNA,wroclaw,0,0,8,8
OSOBOWICKA 114,wroclaw,0,0,57,57
PERSPEKTYWA,trojmiasto,0,0,1,1
PRZYSTAŃ BRZEŹNO,trojmiasto,0,0,33,33
WZGÓRZE HOPLITY,trojmiasto,0,0,3,3
